algorithm,tiles,n,m,objective_type,avg_objective,stdev_objective,avg_runtime,stdev_runtime
genetic_greedy,100,1,2,area,5.0,0.0,1.628,0.0783
genetic_greedy,100,1,4,area,19.3,0.46,3.0775,0.5078
genetic_greedy,100,1,8,area,185.1,8.94,25.8462,8.6618
genetic_greedy,10,1,2,area,4.5,0.5,0.0889,0.0215
genetic_greedy,10,1,4,area,13.4,1.56,0.1395,0.0344
genetic_greedy,10,1,8,area,45.3,4.2,0.2877,0.137
genetic_greedy,200,1,2,area,5.0,0.0,4.2296,0.0831
genetic_greedy,200,1,8,area,242.3,4.75,100.0146,14.914
genetic_greedy,20,1,2,area,4.9,0.3,0.1618,0.0118
genetic_greedy,20,1,4,area,16.8,0.75,0.3308,0.0453
genetic_greedy,20,1,8,area,74.0,5.67,0.8797,0.2123
genetic_greedy,300,1,8,area,262.8,5.6,279.4316,92.4999
genetic_greedy,50,1,2,area,5.0,0.0,0.6534,0.0133
genetic_greedy,50,1,4,area,18.5,0.67,1.2581,0.4357
genetic_greedy,50,1,8,area,131.3,13.84,7.273,3.3862
genetic_stochastic,100,1,2,area,5.0,0.0,1.6195,0.0746
genetic_stochastic,100,1,4,area,19.0,0.0,4.0477,1.3011
genetic_stochastic,100,1,8,area,183.4,9.32,25.341,4.3868
genetic_stochastic,10,1,2,area,4.5,0.5,0.0746,0.0056
genetic_stochastic,10,1,4,area,13.2,1.54,0.1516,0.0565
genetic_stochastic,10,1,8,area,44.8,4.38,0.3997,0.1456
genetic_stochastic,200,1,2,area,5.0,0.0,4.3736,0.0318
genetic_stochastic,200,1,8,area,238.0,5.81,126.5433,30.6599
genetic_stochastic,20,1,2,area,4.9,0.3,0.1544,0.0187
genetic_stochastic,20,1,4,area,16.5,0.5,0.5088,0.1277
genetic_stochastic,20,1,8,area,71.4,6.23,1.4162,0.2968
genetic_stochastic,300,1,8,area,258.3,2.45,332.6367,59.3632
genetic_stochastic,50,1,2,area,5.0,0.0,0.6562,0.0112
genetic_stochastic,50,1,4,area,18.4,0.49,1.7156,0.4646
genetic_stochastic,50,1,8,area,127.1,13.4,6.8528,1.8005
greedy,100,1,2,area,5.2,0.4,0.0041,0.0004
greedy,100,1,4,area,20.0,1.1,0.0066,0.0008
greedy,100,1,8,area,198.5,11.72,0.3986,0.0608
greedy,10,1,2,area,4.6,0.66,0.0009,0.0001
greedy,10,1,4,area,13.8,1.99,0.0013,0.0002
greedy,10,1,8,area,49.5,3.56,0.0068,0.0009
greedy,200,1,2,area,5.0,0.0,0.0082,0.0008
greedy,200,1,8,area,258.1,9.93,0.9562,0.1203
greedy,20,1,2,area,5.2,0.6,0.0011,0.0001
greedy,20,1,4,area,18.3,1.1,0.0028,0.001
greedy,20,1,8,area,77.0,7.97,0.0251,0.0075
greedy,300,1,8,area,280.5,8.75,1.3903,0.0507
greedy,50,1,2,area,5.2,0.4,0.0026,0.0002
greedy,50,1,4,area,21.1,1.92,0.0043,0.0004
greedy,50,1,8,area,135.1,14.82,0.1479,0.0446
merge_greedy,100,1,2,area,5.0,0.0,1.1881,0.0125
merge_greedy,100,1,4,area,20.6,1.43,4.9481,0.0136
merge_greedy,100,1,8,area,178.2,11.41,37.0709,1.8358
merge_greedy,10,1,2,area,4.5,0.5,0.0038,0.002
merge_greedy,10,1,4,area,14.0,2.1,0.0151,0.006
merge_greedy,10,1,8,area,45.9,4.3,0.0572,0.0073
merge_greedy,200,1,2,area,5.33,0.47,9.4181,0.0108
merge_greedy,20,1,2,area,5.1,0.54,0.0131,0.0028
merge_greedy,20,1,4,area,18.1,1.87,0.0458,0.0023
merge_greedy,20,1,8,area,71.4,6.41,0.4155,0.0508
merge_greedy,50,1,2,area,5.5,0.5,0.1485,0.0045
merge_greedy,50,1,4,area,19.3,1.1,0.6258,0.0041
merge_greedy,50,1,8,area,123.6,13.51,5.47,0.6108
stochastic_greedy,100,1,2,area,5.4,0.49,0.0045,0.0011
stochastic_greedy,100,1,4,area,21.3,1.55,0.0065,0.0008
stochastic_greedy,100,1,8,area,196.1,10.15,0.3802,0.0625
stochastic_greedy,10,1,2,area,4.7,0.78,0.0008,0.0002
stochastic_greedy,10,1,4,area,13.9,2.02,0.0015,0.0006
stochastic_greedy,10,1,8,area,48.2,4.98,0.0073,0.0021
stochastic_greedy,200,1,2,area,5.33,0.47,0.0085,0.0004
stochastic_greedy,200,1,8,area,252.9,7.23,0.8804,0.0809
stochastic_greedy,20,1,2,area,5.1,0.54,0.0012,0.0002
stochastic_greedy,20,1,4,area,19.1,1.97,0.0025,0.0013
stochastic_greedy,20,1,8,area,77.3,5.92,0.0446,0.0248
stochastic_greedy,300,1,8,area,278.8,6.11,1.3527,0.0668
stochastic_greedy,50,1,2,area,5.4,0.49,0.0027,0.0007
stochastic_greedy,50,1,4,area,20.9,1.7,0.004,0.0008
stochastic_greedy,50,1,8,area,136.5,13.03,0.191,0.096
