scale,tiles,n,m,run,seed,algorithm,objective_type,status,objective,runtime,bbox_width,bbox_height,num_tiles,total_crossovers,crossovers_needing_completion,total_tiles_completed,completion_rate,avg_tiles_per_incomplete
1d,10,1,8,1,42,greedy,area,success,48,0.006513195,48,1,10,,,,,
1d,10,1,8,1,42,stochastic_greedy,area,success,48,0.006848877,48,1,10,,,,,
1d,10,1,8,1,42,genetic_greedy,area,success,44,0.213144404,44,1,10,12597,69,552,0.005477494641581329,8.0
1d,10,1,8,1,42,genetic_stochastic,area,success,44,0.215920008,44,1,10,12489,54,323,0.004323804948354552,5.981481481481482
1d,10,1,8,2,142,greedy,area,success,51,0.007225997,51,1,10,,,,,
1d,10,1,8,2,142,stochastic_greedy,area,success,42,0.0063797,42,1,10,,,,,
1d,10,1,8,2,142,genetic_greedy,area,success,41,0.277499211,41,1,10,12528,109,361,0.008700510855683269,3.311926605504587
1d,10,1,8,2,142,genetic_stochastic,area,success,41,0.247456039,41,1,10,12602,175,1174,0.013886684653229646,6.708571428571428
1d,10,1,8,3,242,greedy,area,success,53,0.007890856,53,1,10,,,,,
1d,10,1,8,3,242,stochastic_greedy,area,success,51,0.00750802,51,1,10,,,,,
1d,10,1,8,3,242,genetic_greedy,area,success,51,0.661910929,51,1,10,12584,464,1422,0.036872218690400506,3.064655172413793
1d,10,1,8,3,242,genetic_stochastic,area,success,51,0.606845083,51,1,10,12708,627,3373,0.049338999055712936,5.379585326953748
1d,10,1,8,4,342,greedy,area,success,50,0.006875438,50,1,10,,,,,
1d,10,1,8,4,342,stochastic_greedy,area,success,40,0.004124346,40,1,10,,,,,
1d,10,1,8,4,342,genetic_greedy,area,success,42,0.264348663,42,1,10,12554,80,527,0.006372470925601402,6.5875
1d,10,1,8,4,342,genetic_stochastic,area,success,40,0.509596063,40,1,10,12592,495,2933,0.039310673443456165,5.925252525252525
1d,10,1,8,5,442,greedy,area,success,46,0.006318604,46,1,10,,,,,
1d,10,1,8,5,442,stochastic_greedy,area,success,52,0.011531021,52,1,10,,,,,
1d,10,1,8,5,442,genetic_greedy,area,success,46,0.223404788,46,1,10,12681,33,96,0.0026023184291459663,2.909090909090909
1d,10,1,8,5,442,genetic_stochastic,area,success,46,0.280653216,46,1,10,12538,166,981,0.013239751156484288,5.909638554216867
1d,10,1,8,6,542,greedy,area,success,50,0.006688091,50,1,10,,,,,
1d,10,1,8,6,542,stochastic_greedy,area,success,51,0.007636214,51,1,10,,,,,
1d,10,1,8,6,542,genetic_greedy,area,success,48,0.240295449,48,1,10,12642,36,216,0.0028476506881822496,6.0
1d,10,1,8,6,542,genetic_stochastic,area,success,47,0.411778574,47,1,10,12671,326,2214,0.025728040407229105,6.791411042944786
1d,10,1,8,7,642,greedy,area,success,55,0.008320777,55,1,10,,,,,
1d,10,1,8,7,642,stochastic_greedy,area,success,55,0.008988278,55,1,10,,,,,
1d,10,1,8,7,642,genetic_greedy,area,success,46,0.253837419,46,1,10,12623,59,400,0.004674007763606116,6.779661016949152
1d,10,1,8,7,642,genetic_stochastic,area,success,45,0.372405915,45,1,10,12639,252,1393,0.019938286256824117,5.527777777777778
1d,10,1,8,8,742,greedy,area,success,53,0.007401613,53,1,10,,,,,
