algorithm,tiles,n,m,num_runs,successful_runs,obj_mean,obj_min,obj_max,obj_std,runtime_mean,runtime_min,runtime_max,runtime_std,crossovers_mean,completion_rate_mean,tiles_completed_mean,cplex_optimal,cplex_feasible,cplex_infeasible,cplex_timeout,cplex_failed
greedy,10,1,8,10,10,49.5,43,55,3.556683848755748,0.0067978649000000006,0.004848921,0.008320777,0.0009488814155403666,,,,,,,,
stochastic_greedy,10,1,8,10,10,48.2,40,55,4.975942121849891,0.0072990658,0.004124346,0.011531021,0.002113623073984801,,,,,,,,
genetic_greedy,10,1,8,10,10,45.3,39,53,4.196427051671457,0.28768359070000005,0.145407361,0.661910929,0.1370012448477127,12591.2,0.008658633686405622,447.5,,,,,
genetic_stochastic,10,1,8,10,10,44.8,39,53,4.377213725647858,0.3996695589,0.215920008,0.642657898,0.14563019179003617,12589.6,0.02808652612994141,2103.6,,,,,
merge_greedy,10,1,8,10,10,45.9,40,54,4.3,0.057181317499999995,0.044403679,0.070385301,0.007339624520471645,,,,,,,,
greedy,20,1,8,10,10,77.0,65,91,7.974960814950754,0.0251012264,0.013651182,0.041089659,0.007469797894821816,,,,,,,,
stochastic_greedy,20,1,8,10,10,77.3,68,88,5.916924876994806,0.044596372300000006,0.018250871,0.099385758,0.024763749675293642,,,,,,,,
genetic_greedy,20,1,8,10,10,74.0,66,82,5.674504383644443,0.8796757828,0.613713224,1.257917384,0.21231312402122626,12598.1,0.011154753039584466,2109.3,,,,,
genetic_stochastic,20,1,8,10,10,71.4,62,81,6.232174580353154,1.4162046047,1.097200183,2.091484431,0.2967545842375243,12584.8,0.04218179280043148,7601.0,,,,,
merge_greedy,20,1,8,10,10,71.4,62,80,6.406246951218788,0.41553789500000005,0.332192448,0.486092593,0.05081386596844397,,,,,,,,
greedy,50,1,8,10,10,135.1,107,158,14.82194319244275,0.1478829566,0.065324989,0.214563279,0.0445557316668499,,,,,,,,
stochastic_greedy,50,1,8,10,10,136.5,116,159,13.032651303552933,0.19099073049999998,0.082395496,0.352937725,0.09597130118080184,,,,,,,,
genetic_greedy,50,1,8,10,10,131.3,106,151,13.835100288758301,7.2729819987,3.484632545,15.012670582,3.386220886904997,12644.3,0.03944156456703796,12671.8,,,,,
genetic_stochastic,50,1,8,10,10,127.1,104,149,13.404849868610986,6.8528084815,5.115779812,11.126983968,1.8004708088909271,12595.2,0.04421323416271955,23578.9,,,,,
merge_greedy,50,1,8,10,10,123.6,102,149,13.507035203922436,5.4700096836,4.932541937,6.893284947,0.6107984454608829,,,,,,,,
