algorithm,tiles,n,m,objective_type,avg_objective,stdev_objective,avg_runtime,stdev_runtime
beam_search,100,2,4,area,267.8,8.65,1227.5206,71.2926
beam_search,100,3,3,area,306.2,38.33,660.4205,183.9163
beam_search,10,2,4,area,50.0,3.66,0.0866,0.0082
beam_search,10,3,3,area,62.4,4.65,0.0857,0.0047
beam_search,10,4,6,area,221.0,5.6,0.5178,0.0364
beam_search,10,5,5,area,236.0,5.39,0.5107,0.0073
beam_search,20,2,4,area,81.4,7.85,1.4702,0.2182
beam_search,20,3,3,area,98.1,2.7,1.2093,0.0812
beam_search,20,4,6,area,435.8,13.64,10.3854,0.5631
beam_search,20,5,5,area,454.0,6.63,10.3273,0.2305
beam_search,30,2,4,area,116.1,8.6,7.0706,1.3321
beam_search,30,3,3,area,131.2,9.18,5.0557,0.4173
beam_search,30,4,6,area,644.6,19.52,47.4728,4.0991
beam_search,30,5,5,area,674.7,13.26,47.9717,4.3828
beam_search,50,2,4,area,169.0,13.57,54.2927,5.8722
beam_search,50,3,3,area,187.1,10.4,34.2032,5.8175
beam_search,50,4,6,area,1023.6,26.42,351.2463,25.0346
beam_search,50,5,5,area,1094.2,15.99,335.3348,28.4585
beam_search,60,2,4,area,186.4,13.88,149.3556,16.6957
beam_search,60,3,3,area,214.7,10.35,90.373,13.147
beam_search,6,2,4,area,33.7,3.23,0.0159,0.0013
beam_search,6,3,3,area,41.0,3.0,0.0199,0.0054
beam_search,6,4,6,area,136.2,4.85,0.0775,0.0046
beam_search,6,5,5,area,142.5,2.5,0.0795,0.0037
beam_search,80,2,4,area,232.8,14.03,481.9426,5.7414
beam_search,80,3,3,area,262.5,15.69,295.6041,42.3939
beam_search,8,2,4,area,42.5,3.07,0.0414,0.0036
beam_search,8,3,3,area,52.6,3.5,0.0445,0.004
beam_search,8,4,6,area,179.2,5.95,0.2208,0.0105
beam_search,8,5,5,area,190.0,3.16,0.2196,0.0044
cplex,10,2,4,area,51.25,2.17,300.4799,0.3247
cplex,10,3,3,area,70.5,6.5,300.4491,0.0154
cplex,6,2,4,area,34.33,4.14,197.8462,118.7907
cplex,6,3,3,area,39.9,2.98,267.3002,67.7844
cplex,6,4,6,area,132.0,0.0,302.3611,0.0
cplex,6,5,5,area,140.0,0.0,304.8188,0.0
cplex,8,2,4,area,42.0,2.62,300.6183,0.7927
cplex,8,3,3,area,51.67,3.4,300.4143,0.3926
genetic_greedy,100,1,2,area,5.0,0.0,1.628,0.0783
genetic_greedy,100,1,4,area,19.3,0.46,3.0775,0.5078
genetic_greedy,100,1,8,area,185.1,8.94,25.8462,8.6618
genetic_greedy,100,2,4,area,235.2,9.8,54.9413,15.5391
genetic_greedy,100,3,3,area,306.2,11.07,122.1761,34.8741
genetic_greedy,10,10,10,area,998.0,4.0,114.6929,16.1128
genetic_greedy,10,1,2,area,4.5,0.5,0.0889,0.0215
genetic_greedy,10,1,4,area,13.4,1.56,0.1395,0.0344
genetic_greedy,10,1,8,area,45.3,4.2,0.2877,0.137
genetic_greedy,10,2,4,area,51.3,3.82,0.1643,0.0234
genetic_greedy,10,3,3,area,62.3,4.8,0.1949,0.0611
genetic_greedy,10,4,6,area,222.2,5.4,1.7729,0.5829
genetic_greedy,10,5,5,area,237.0,5.57,1.5299,0.2754
genetic_greedy,200,1,2,area,5.0,0.0,4.2296,0.0831
genetic_greedy,200,1,8,area,242.3,4.75,100.0146,14.914
genetic_greedy,20,10,10,area,1606.1,777.83,1162.9381,403.9802
genetic_greedy,20,1,2,area,4.9,0.3,0.1618,0.0118
genetic_greedy,20,1,4,area,16.8,0.75,0.3308,0.0453
