algorithm,tiles,n,m,objective_type,avg_objective,stdev_objective,avg_runtime,stdev_runtime
beam_search,100,2,4,area,267.8,8.65,1227.5206,71.2926
beam_search,100,3,3,area,306.2,38.33,660.4205,183.9163
beam_search,60,2,4,area,186.4,13.88,149.3556,16.6957
beam_search,60,3,3,area,214.7,10.35,90.373,13.147
beam_search,80,2,4,area,232.8,14.03,481.9426,5.7414
beam_search,80,3,3,area,262.5,15.69,295.6041,42.3939
genetic_greedy,100,2,4,area,235.2,9.8,54.9413,15.5391
genetic_greedy,100,3,3,area,306.2,11.07,122.1761,34.8741
genetic_greedy,60,2,4,area,173.3,8.79,14.4618,1.0147
genetic_greedy,60,3,3,area,223.3,10.08,28.9473,10.1584
genetic_greedy,80,2,4,area,207.4,11.47,32.7438,4.4415
genetic_greedy,80,3,3,area,268.2,9.81,54.3563,16.1232
genetic_stochastic,100,2,4,area,235.4,7.64,73.362,16.8158
genetic_stochastic,100,3,3,area,311.3,11.11,114.7857,14.3753
genetic_stochastic,60,2,4,area,171.8,7.97,20.8471,2.0277
genetic_stochastic,60,3,3,area,220.2,6.69,35.8599,6.6943
genetic_stochastic,80,2,4,area,210.0,8.69,39.4731,6.7602
genetic_stochastic,80,3,3,area,270.4,8.62,57.3635,11.4574
greedy,100,2,4,area,285.2,9.93,0.2764,0.0454
greedy,100,3,3,area,414.3,26.08,0.3365,0.1034
greedy,60,2,4,area,202.2,11.29,0.0991,0.0132
greedy,60,3,3,area,278.7,21.83,0.1516,0.0536
greedy,80,2,4,area,241.5,12.36,0.1565,0.0322
greedy,80,3,3,area,349.4,27.53,0.1955,0.0786
merge_greedy,100,2,4,area,252.0,6.2,19.2554,3.2589
merge_greedy,100,3,3,area,356.9,19.04,15.5546,1.1225
merge_greedy,60,2,4,area,181.3,9.82,4.3527,0.3842
merge_greedy,60,3,3,area,249.4,16.34,3.2832,0.3356
merge_greedy,80,2,4,area,217.5,12.22,10.3375,1.0717
merge_greedy,80,3,3,area,307.2,21.25,7.8212,0.6077
stochastic_greedy,100,2,4,area,279.8,13.64,0.2663,0.0626
stochastic_greedy,100,3,3,area,421.7,20.46,0.3585,0.0894
stochastic_greedy,60,2,4,area,205.8,13.04,0.1053,0.0141
stochastic_greedy,60,3,3,area,283.6,28.22,0.1638,0.0815
stochastic_greedy,80,2,4,area,242.1,13.74,0.1617,0.0342
stochastic_greedy,80,3,3,area,347.9,23.94,0.1956,0.0693
