scale,tiles,n,m,run,seed,algorithm,objective_type,status,objective,runtime,bbox_width,bbox_height,num_tiles,total_crossovers,crossovers_needing_completion,total_tiles_completed,completion_rate,avg_tiles_per_incomplete
large,60,3,3,1,42,greedy,area,success,250,0.09184,5,50,60,,,,,
large,60,3,3,1,42,stochastic_greedy,area,success,265,0.094686,5,53,60,,,,,
large,60,3,3,1,42,genetic_greedy,area,success,225,52.07832,15,15,60,50326,2324,118586,0.046178913484083775,51.026678141135974
large,60,3,3,1,42,genetic_stochastic,area,success,225,45.444487,15,15,60,50385,1590,80745,0.03155701101518309,50.783018867924525
large,60,3,3,2,142,greedy,area,success,250,0.092943,5,50,60,,,,,
large,60,3,3,2,142,stochastic_greedy,area,success,309,0.251556,103,3,60,,,,,
large,60,3,3,2,142,genetic_greedy,area,success,210,35.829513,14,15,60,50305,1512,74006,0.030056654408110527,48.945767195767196
large,60,3,3,2,142,genetic_stochastic,area,success,224,40.170081,14,16,60,50415,1282,67364,0.0254289397996628,52.546021840873635
large,60,3,3,3,242,greedy,area,success,303,0.266332,101,3,60,,,,,
large,60,3,3,3,242,stochastic_greedy,area,success,294,0.258333,98,3,60,,,,,
large,60,3,3,3,242,genetic_greedy,area,success,225,27.870239,15,15,60,50139,872,46438,0.017391651209637208,53.2545871559633
large,60,3,3,3,242,genetic_stochastic,area,success,210,37.417885,14,15,60,50792,1331,68023,0.026204914159710192,51.10668670172802
large,60,3,3,4,342,greedy,area,success,282,0.201265,3,94,60,,,,,
large,60,3,3,4,342,stochastic_greedy,area,success,260,0.113409,65,4,60,,,,,
large,60,3,3,4,342,genetic_greedy,area,success,210,39.758464,15,14,60,50741,2082,98373,0.04103190713624091,47.2492795389049
large,60,3,3,4,342,genetic_stochastic,area,success,210,44.168216,14,15,60,50415,2056,103561,0.04078151343846077,50.37013618677043
large,60,3,3,5,442,greedy,area,success,297,0.200618,99,3,60,,,,,
large,60,3,3,5,442,stochastic_greedy,area,success,306,0.316869,3,102,60,,,,,
large,60,3,3,5,442,genetic_greedy,area,success,231,19.04434,7,33,60,50474,618,32962,0.012243927566667987,53.336569579288025
large,60,3,3,5,442,genetic_stochastic,area,success,224,38.445683,16,14,60,50373,1485,75007,0.02948007861354297,50.50976430976431
large,60,3,3,6,542,greedy,area,success,256,0.13293,64,4,60,,,,,
large,60,3,3,6,542,stochastic_greedy,area,success,276,0.126199,4,69,60,,,,,
large,60,3,3,6,542,genetic_greedy,area,success,210,23.86521,15,14,60,50274,804,42392,0.01599236185702351,52.72636815920398
large,60,3,3,6,542,genetic_stochastic,area,success,224,37.833345,14,16,60,50370,1526,81275,0.030295810998610284,53.26015727391874
large,60,3,3,7,642,greedy,area,success,264,0.112149,4,66,60,,,,,
large,60,3,3,7,642,stochastic_greedy,area,success,234,0.081729,6,39,60,,,,,
large,60,3,3,7,642,genetic_greedy,area,success,222,17.131721,37,6,60,50481,552,28813,0.01093480715516729,52.197463768115945
large,60,3,3,7,642,genetic_stochastic,area,success,210,28.995927,14,15,60,50563,1382,69121,0.02733223898898404,50.015195369030394
large,60,3,3,8,742,greedy,area,success,276,0.112037,4,69,60,,,,,
large,60,3,3,8,742,stochastic_greedy,area,success,309,0.154785,3,103,60,,,,,
large,60,3,3,8,742,genetic_greedy,area,success,240,26.843047,60,4,60,50401,2141,60340,0.04247931588658955,28.183092013078
large,60,3,3,8,742,genetic_stochastic,area,success,225,30.588573,15,15,60,50437,1429,74179,0.028332375042131767,51.90972708187544
large,60,3,3,9,842,greedy,area,success,312,0.164052,104,3,60,,,,,
large,60,3,3,9,842,stochastic_greedy,area,success,327,0.17911,109,3,60,,,,,
large,60,3,3,9,842,genetic_greedy,area,success,225,25.070699,15,15,60,50483,1030,53681,0.02040290790959333,52.11747572815534
large,60,3,3,9,842,genetic_stochastic,area,success,225,22.77817,15,15,60,50489,907,47310,0.017964309057418446,52.160970231532524
large,60,3,3,10,942,greedy,area,success,297,0.142107,3,99,60,,,,,
large,60,3,3,10,942,stochastic_greedy,area,success,256,0.061203,4,64,60,,,,,
large,60,3,3,10,942,genetic_greedy,area,success,235,21.981444,5,47,60,50602,900,46140,0.01778585826647168,51.266666666666666
large,60,3,3,10,942,genetic_stochastic,area,success,225,32.756987,15,15,60,50436,1505,78323,0.029839796970417956,52.04186046511628
large,80,3,3,1,42,greedy,area,success,328,0.130755,4,82,80,,,,,
large,80,3,3,1,42,stochastic_greedy,area,success,390,0.294752,3,130,80,,,,,
