algorithm,tiles,n,m,num_runs,successful_runs,obj_mean,obj_min,obj_max,obj_std,runtime_mean,runtime_min,runtime_max,runtime_std,crossovers_mean,completion_rate_mean,tiles_completed_mean,cplex_optimal,cplex_feasible,cplex_infeasible,cplex_timeout,cplex_failed
greedy,60,3,3,10,10,278.7,250,312,21.831399405443527,0.1516273553,0.091840118,0.266332392,0.05362846223072077,,,,,,,,
stochastic_greedy,60,3,3,10,10,283.6,234,327,28.224811779709,0.163787939,0.061203356,0.316868822,0.08147093505117764,,,,,,,,
genetic_greedy,60,3,3,10,10,223.3,210,240,10.080178569846865,28.947299742400002,17.13172082,52.078319731,10.15841266547053,50422.6,0.025449830487958576,60173.1,,,,,
genetic_stochastic,60,3,3,10,10,220.2,210,225,6.690291473471092,35.8599354693,22.778170359,45.444486968,6.694317730035092,50467.5,0.028721698808412233,74490.8,,,,,
merge_greedy,60,3,3,10,10,249.4,224,272,16.3413585726524,3.2832011237000005,2.908975216,4.024665952,0.3355505221864913,,,,,,,,
beam_search,60,3,3,10,10,214.7,198,232,10.354226190305097,90.3730158943,70.855288149,111.729643323,13.146961174247943,,,,,,,,
greedy,80,3,3,10,10,349.4,320,405,27.532526219001408,0.1954727899,0.115642541,0.334272047,0.07858827832581051,,,,,,,,
stochastic_greedy,80,3,3,10,10,347.9,308,390,23.93929823532845,0.1955890559,0.102782925,0.294752324,0.06932112194876744,,,,,,,,
genetic_greedy,80,3,3,10,10,268.2,256,289,9.80612053770501,54.35633069640001,37.067115354,88.45298839,16.123197997877362,50435.5,0.0234250756045286,81352.5,,,,,
genetic_stochastic,80,3,3,10,10,270.4,256,288,8.616263691415206,57.36346313719999,36.195841609,77.87783197,11.457356642307404,50382.9,0.03164077829003795,88879.7,,,,,
merge_greedy,80,3,3,10,10,307.2,266,340,21.24994117638917,7.8212490055,6.758703347,8.964318806,0.6077139818371676,,,,,,,,
beam_search,80,3,3,10,10,262.5,240,288,15.692354826475215,295.6040518041,232.290101308,341.938755453,42.39391045365112,,,,,,,,
greedy,100,3,3,10,10,414.3,360,450,26.08083587617544,0.3364673235,0.162399637,0.455981249,0.10341617756055856,,,,,,,,
stochastic_greedy,100,3,3,10,10,421.7,384,444,20.455072720476945,0.3585489101,0.183424754,0.434705899,0.08941010698881946,,,,,,,,
genetic_greedy,100,3,3,10,10,306.2,289,324,11.070682002478438,122.17608886000001,89.246972178,196.275428671,34.8740957751153,50425.3,0.03493806366975835,147437.6,,,,,
genetic_stochastic,100,3,3,10,10,311.3,289,324,11.109005356016352,114.7857446814,93.093102491,133.978509604,14.375318391039485,50383.4,0.02988952137819374,134288.6,,,,,
merge_greedy,100,3,3,10,10,356.9,323,380,19.04442175546425,15.554613699999999,13.964005327,17.393665599,1.1224603253906376,,,,,,,,
beam_search,100,3,3,10,10,306.2,266,411,38.33223186823329,660.4205058878999,503.377838877,1142.480235907,183.9162511472572,,,,,,,,
merge_greedy,60,2,4,10,10,181.3,161,198,9.81885940422817,4.352657927,3.837952934,5.087802589,0.38416164037901807,,,,,,,,
greedy,60,2,4,10,10,202.2,176,212,11.294246322796399,0.0991437833,0.071163922,0.118502925,0.01323035418103306,,,,,,,,
stochastic_greedy,60,2,4,10,10,205.8,178,220,13.03687079018581,0.1053461738,0.075822192,0.123142222,0.014138775413491015,,,,,,,,
genetic_greedy,60,2,4,10,10,173.3,156,186,8.786922100485471,14.4618105396,13.384603153,16.60141768,1.0147082785410808,50395.7,0.014143506686817514,37572.8,,,,,
genetic_stochastic,60,2,4,10,10,171.8,156,182,7.972452571197899,20.8470692032,17.371535319,24.69334352,2.027743311877147,50459.2,0.027433953206582234,71606.2,,,,,
beam_search,60,2,4,10,10,186.4,168,216,13.879481258317977,149.3555895557,99.906481421,160.328443383,16.69567435396059,,,,,,,,
merge_greedy,80,2,4,10,10,217.5,204,240,12.216791722870616,10.3374544301,8.7818511,12.055472484,1.0717164364082201,,,,,,,,
greedy,80,2,4,10,10,241.5,220,258,12.355160864998885,0.1564804557,0.08468887,0.188426501,0.03224413591889943,,,,,,,,
stochastic_greedy,80,2,4,10,10,242.1,226,268,13.743725841270264,0.1617076126,0.082273266,0.209649557,0.03422785973818473,,,,,,,,
genetic_greedy,80,2,4,10,10,207.4,192,225,11.473447607410774,32.743820699000004,26.477014598,40.314082115,4.441477065281923,50353.4,0.018844230379654627,67289.4,,,,,
genetic_stochastic,80,2,4,10,10,210.0,195,225,8.694826047713663,39.4730601536,31.920973507,55.961994613,6.760245176898637,50381.5,0.025027468703654614,88943.1,,,,,
beam_search,80,2,4,10,10,232.8,210,258,14.034243834279065,481.94262472649996,475.445794126,495.386836272,5.74144134646002,,,,,,,,
merge_greedy,100,2,4,10,10,252.0,240,264,6.196773353931867,19.255364984499998,16.372553928,28.216759006,3.2588757149146876,,,,,,,,
greedy,100,2,4,10,10,285.2,270,302,9.927738916792686,0.2763745945,0.227769709,0.385700723,0.04540921116836785,,,,,,,,
