algorithm,tiles,n,m,objective_type,avg_objective,stdev_objective,avg_runtime,stdev_runtime
beam_search,20,2,4,area,81.4,7.85,1.4702,0.2182
beam_search,20,3,3,area,98.1,2.7,1.2093,0.0812
beam_search,20,4,6,area,435.8,13.64,10.3854,0.5631
beam_search,20,5,5,area,454.0,6.63,10.3273,0.2305
beam_search,30,2,4,area,116.1,8.6,7.0706,1.3321
beam_search,30,3,3,area,131.2,9.18,5.0557,0.4173
beam_search,30,4,6,area,644.6,19.52,47.4728,4.0991
beam_search,30,5,5,area,674.7,13.26,47.9717,4.3828
beam_search,50,2,4,area,169.0,13.57,54.2927,5.8722
beam_search,50,3,3,area,187.1,10.4,34.2032,5.8175
beam_search,50,4,6,area,1023.6,26.42,351.2463,25.0346
beam_search,50,5,5,area,1094.2,15.99,335.3348,28.4585
genetic_greedy,20,10,10,area,1606.1,777.83,1162.9381,403.9802
genetic_greedy,20,2,4,area,84.6,5.94,1.1963,0.204
genetic_greedy,20,3,3,area,104.2,5.06,1.0411,0.3768
genetic_greedy,20,4,6,area,437.6,5.12,18.3907,5.0375
genetic_greedy,20,5,5,area,459.0,8.31,18.0886,5.1653
genetic_greedy,30,2,4,area,109.9,8.19,2.3295,0.2462
genetic_greedy,30,3,3,area,138.4,7.14,2.8212,1.0363
genetic_greedy,30,4,6,area,638.8,8.4,45.8498,9.4362
genetic_greedy,30,5,5,area,680.5,9.86,53.5859,16.0321
genetic_greedy,50,2,4,area,156.5,7.34,6.798,0.6468
genetic_greedy,50,3,3,area,197.9,6.7,13.0965,6.3745
genetic_greedy,50,4,6,area,1031.9,21.82,198.0668,24.5828
genetic_greedy,50,5,5,area,1101.0,11.79,234.1724,46.3933
genetic_stochastic,20,10,10,area,1606.1,777.83,2053.3402,504.2688
genetic_stochastic,20,2,4,area,77.5,4.61,1.427,0.1299
genetic_stochastic,20,3,3,area,96.1,3.81,1.6282,0.2767
genetic_stochastic,20,4,6,area,432.4,7.68,34.618,6.5682
genetic_stochastic,20,5,5,area,452.0,6.0,32.0163,4.6878
genetic_stochastic,30,2,4,area,109.3,7.93,2.8832,0.1978
genetic_stochastic,30,3,3,area,131.9,7.02,3.5181,0.4243
genetic_stochastic,30,4,6,area,633.2,8.77,83.7315,14.0176
genetic_stochastic,30,5,5,area,673.0,11.45,89.1036,8.8448
genetic_stochastic,50,2,4,area,153.1,6.32,8.5551,0.7365
genetic_stochastic,50,3,3,area,191.33,9.01,18.0179,7.2063
genetic_stochastic,50,4,6,area,1024.4,21.87,342.5378,38.311
genetic_stochastic,50,5,5,area,1092.4,8.48,304.8617,28.4577
greedy,20,10,10,area,1801.3,582.79,72.4679,24.1256
greedy,20,2,4,area,98.9,10.06,0.0125,0.0026
greedy,20,3,3,area,120.3,8.26,0.0102,0.003
greedy,20,4,6,area,444.2,7.61,0.7368,0.109
greedy,20,5,5,area,470.0,11.4,0.5622,0.0347
greedy,30,2,4,area,134.8,17.28,0.031,0.0136
greedy,30,3,3,area,154.7,9.95,0.0205,0.0065
greedy,30,4,6,area,656.8,16.35,1.7857,0.4154
greedy,30,5,5,area,694.0,8.89,1.7016,0.0499
greedy,50,2,4,area,181.4,10.0,0.0781,0.0243
greedy,50,3,3,area,227.3,14.45,0.0862,0.0308
greedy,50,4,6,area,1066.1,35.85,6.1183,1.7403
greedy,50,5,5,area,1121.0,16.7,6.497,0.2559
merge_greedy,20,2,4,area,94.3,6.1,0.1472,0.0075
merge_greedy,20,3,3,area,113.4,8.89,0.1303,0.0161
merge_greedy,20,4,6,area,483.0,31.12,4.0015,0.7985
merge_greedy,20,5,5,area,518.4,21.12,3.3902,0.4476
merge_greedy,30,2,4,area,118.8,10.6,0.5257,0.069
merge_greedy,30,3,3,area,143.1,12.51,0.3962,0.0277
merge_greedy,30,4,6,area,710.3,30.83,17.2402,3.6903
merge_greedy,30,5,5,area,752.1,25.58,15.4631,3.2287
merge_greedy,50,2,4,area,164.5,11.86,2.5929,0.2232
merge_greedy,50,3,3,area,211.1,16.83,1.8059,0.2024
merge_greedy,50,4,6,area,1113.0,29.2,126.2474,25.1653
merge_greedy,50,5,5,area,1167.6,35.32,108.5593,15.6455
stochastic_greedy,20,10,10,area,1801.6,581.9,72.289,24.0528
stochastic_greedy,20,2,4,area,100.6,14.7,0.0143,0.0034
stochastic_greedy,20,3,3,area,122.6,10.76,0.0125,0.0051
stochastic_greedy,20,4,6,area,444.2,8.96,0.7402,0.0938
stochastic_greedy,20,5,5,area,467.5,9.01,0.5518,0.0292
stochastic_greedy,30,2,4,area,132.0,14.83,0.0369,0.0225
stochastic_greedy,30,3,3,area,164.8,11.7,0.0238,0.0078
stochastic_greedy,30,4,6,area,656.0,22.11,1.8395,0.3871
stochastic_greedy,30,5,5,area,690.5,10.83,1.6821,0.058
stochastic_greedy,50,2,4,area,181.0,8.64,0.0685,0.0088
stochastic_greedy,50,3,3,area,236.6,15.92,0.0967,0.0704
stochastic_greedy,50,4,6,area,1058.6,36.35,5.999,1.7309
stochastic_greedy,50,5,5,area,1128.5,17.61,6.6184,0.2827
