scale,tiles,n,m,run,seed,algorithm,objective_type,status,objective,runtime,bbox_width,bbox_height,num_tiles,total_crossovers,crossovers_needing_completion,total_tiles_completed,completion_rate,avg_tiles_per_incomplete
medium,20,3,3,1,42,greedy,area,success,132,0.012063701,4,33,20,,,,,
medium,20,3,3,1,42,stochastic_greedy,area,success,132,0.017533023,3,44,20,,,,,
medium,20,3,3,1,42,genetic_greedy,area,success,108,2.110030459,9,12,20,28348,981,13975,0.03460561591646677,14.24566768603466
medium,20,3,3,1,42,genetic_stochastic,area,success,96,1.56282183,12,8,20,28297,939,12598,0.03318372972399901,13.41640042598509
medium,20,3,3,2,142,greedy,area,success,114,0.007631484,6,19,20,,,,,
medium,20,3,3,2,142,stochastic_greedy,area,success,135,0.010290441,5,27,20,,,,,
medium,20,3,3,2,142,genetic_greedy,area,success,114,0.986288227,38,3,20,28274,287,4306,0.010150668458654595,15.003484320557492
medium,20,3,3,2,142,genetic_stochastic,area,success,102,1.879897944,17,6,20,28345,1097,16376,0.0387017110601517,14.927985414767548
medium,20,3,3,3,242,greedy,area,success,105,0.007120539,7,15,20,,,,,
medium,20,3,3,3,242,stochastic_greedy,area,success,119,0.00746075,7,17,20,,,,,
medium,20,3,3,3,242,genetic_greedy,area,success,105,0.736415989,7,15,20,28281,128,1817,0.004526006859729147,14.1953125
medium,20,3,3,3,242,genetic_stochastic,area,success,102,2.06192291,6,17,20,28435,2661,16292,0.09358185334974503,6.1225103344607295
medium,20,3,3,4,342,greedy,area,success,117,0.013588127,3,39,20,,,,,
medium,20,3,3,4,342,stochastic_greedy,area,success,117,0.014856855,3,39,20,,,,,
medium,20,3,3,4,342,genetic_greedy,area,success,104,0.740320645,4,26,20,28325,170,2677,0.006001765225066196,15.74705882352941
medium,20,3,3,4,342,genetic_stochastic,area,success,96,1.648351597,4,24,20,28307,2013,9728,0.07111315222383156,4.832588176850472
medium,20,3,3,5,442,greedy,area,success,116,0.009982203,29,4,20,,,,,
medium,20,3,3,5,442,stochastic_greedy,area,success,124,0.011895989,31,4,20,,,,,
medium,20,3,3,5,442,genetic_greedy,area,success,108,1.044811383,27,4,20,28376,323,5285,0.011382858753876516,16.362229102167184
medium,20,3,3,5,442,genetic_stochastic,area,success,99,2.01920586,11,9,20,28298,1071,15544,0.03784719768181497,14.513538748832866
medium,20,3,3,6,542,greedy,area,success,132,0.017155051,44,3,20,,,,,
medium,20,3,3,6,542,stochastic_greedy,area,success,135,0.023268149,45,3,20,,,,,
medium,20,3,3,6,542,genetic_greedy,area,success,95,0.869885803,5,19,20,28273,321,4429,0.011353588229052454,13.797507788161994
medium,20,3,3,6,542,genetic_stochastic,area,success,95,1.534469351,5,19,20,28359,945,12829,0.03332275468105363,13.575661375661376
medium,20,3,3,7,642,greedy,area,success,120,0.008711523,5,24,20,,,,,
medium,20,3,3,7,642,stochastic_greedy,area,success,125,0.010073216,5,25,20,,,,,
medium,20,3,3,7,642,genetic_greedy,area,success,105,0.931882817,15,7,20,28271,345,4783,0.012203317887587987,13.86376811594203
medium,20,3,3,7,642,genetic_stochastic,area,success,95,1.620075741,5,19,20,28213,986,14738,0.03494842802963173,14.947261663286005
medium,20,3,3,8,742,greedy,area,success,120,0.008748161,24,5,20,,,,,
medium,20,3,3,8,742,stochastic_greedy,area,success,100,0.006230506,20,5,20,,,,,
medium,20,3,3,8,742,genetic_greedy,area,success,100,0.887462842,20,5,20,28306,218,3117,0.007701547375114816,14.29816513761468
medium,20,3,3,8,742,genetic_stochastic,area,success,95,1.454326143,19,5,20,28343,893,11289,0.031506897646685246,12.641657334826428
medium,20,3,3,9,842,greedy,area,success,117,0.007991039,9,13,20,,,,,
medium,20,3,3,9,842,stochastic_greedy,area,success,110,0.007277621,22,5,20,,,,,
medium,20,3,3,9,842,genetic_greedy,area,success,99,1.165015565,9,11,20,28349,662,8682,0.023351793714063988,13.114803625377643
medium,20,3,3,9,842,genetic_stochastic,area,success,90,1.123304371,9,10,20,28254,785,9461,0.02778367664755433,12.052229299363058
medium,20,3,3,10,942,greedy,area,success,130,0.009273152,13,10,20,,,,,
