algorithm,tiles,n,m,num_runs,successful_runs,obj_mean,obj_min,obj_max,obj_std,runtime_mean,runtime_min,runtime_max,runtime_std,crossovers_mean,completion_rate_mean,tiles_completed_mean,cplex_optimal,cplex_feasible,cplex_infeasible,cplex_timeout,cplex_failed
greedy,20,3,3,10,10,120.3,105,132,8.258934555982389,0.010226498,0.007120539,0.017155051,0.002991792859810853,,,,,,,,
stochastic_greedy,20,3,3,10,10,122.6,100,135,10.762899237658969,0.0124929429,0.006230506,0.023268149,0.005123482324759468,,,,,,,,
genetic_greedy,20,3,3,10,10,104.2,95,114,5.055689863905815,1.0410506955,0.736415989,2.110030459,0.37678664959899394,28320.4,0.013426966268368767,5413.8,,,,,
genetic_stochastic,20,3,3,10,10,96.1,90,102,3.8065732621348563,1.6281996005,1.123304371,2.06192291,0.27673574972851755,28314.4,0.04349657556198039,13130.6,,,,,
merge_greedy,20,3,3,10,10,113.4,96,130,8.890444308357148,0.13031857330000002,0.111167079,0.169537543,0.016130167834579705,,,,,,,,
beam_search,20,3,3,10,10,98.1,95,104,2.6999999999999997,1.2092871607,1.098126964,1.324204415,0.08117371993752895,,,,,,,,
greedy,30,3,3,10,10,154.7,136,171,9.950376877284599,0.0204681154,0.011742358,0.033529511,0.006546821997929104,,,,,,,,
stochastic_greedy,30,3,3,10,10,164.8,150,180,11.702991070662234,0.0238056231,0.013410111,0.036900321,0.007812610110512434,,,,,,,,
genetic_greedy,30,3,3,10,10,138.4,126,150,7.1442284397967,2.8211832165,1.935933522,5.693570774,1.0362955945726573,28423.6,0.016887671652452856,11728.2,,,,,
genetic_stochastic,30,3,3,10,10,131.9,120,144,7.020683727387241,3.5180946431000004,2.974232828,4.234945822,0.42430427130413584,28346.4,0.028850527009162602,18774.7,,,,,
merge_greedy,30,3,3,10,10,143.1,130,168,12.509596316428441,0.3961669868,0.347811166,0.436376642,0.02765615466108538,,,,,,,,
beam_search,30,3,3,10,10,131.2,114,145,9.184770002564028,5.0556518413,4.598989845,6.085637252,0.4173243908599372,,,,,,,,
greedy,50,3,3,10,10,227.3,208,252,14.450259513240583,0.086186505,0.048811537,0.141530958,0.030805407808426197,,,,,,,,
stochastic_greedy,50,3,3,10,10,236.6,210,267,15.91979899370592,0.0966679083,0.048325004,0.297325627,0.07044084446356136,,,,,,,,
genetic_greedy,50,3,3,10,10,197.9,188,210,6.7,13.096507255899999,8.385163419,29.799480309,6.374452597791408,28323.8,0.022393141439952618,27344.1,,,,,
genetic_stochastic,50,3,3,9,9,191.33333333333334,169,196,9.006170724070865,18.01789547688889,10.610929282,33.389691287,7.20628620055113,28289.222222222223,0.04083716685776986,39896.333333333336,,,,,
merge_greedy,50,3,3,10,10,211.1,192,240,16.825278600962303,1.8059176189,1.586788263,2.321698924,0.20239120555378626,,,,,,,,
beam_search,50,3,3,10,10,187.1,170,200,10.396634070698074,34.203197823400004,25.319524203,40.333592668,5.817523912216723,,,,,,,,
greedy,20,5,5,10,10,470.0,455,490,11.40175425099138,0.5622022662,0.513021902,0.623599754,0.0347422415382304,,,,,,,,
stochastic_greedy,20,5,5,10,10,467.5,455,485,9.013878188659973,0.5517541246000001,0.510144229,0.609768823,0.029182846653846604,,,,,,,,
