algorithm,tiles,n,m,objective_type,avg_objective,stdev_objective,avg_runtime,stdev_runtime
beam_search,10,2,4,area,50.0,3.66,0.0866,0.0082
beam_search,10,3,3,area,62.4,4.65,0.0857,0.0047
beam_search,10,4,6,area,221.0,5.6,0.5178,0.0364
beam_search,10,5,5,area,236.0,5.39,0.5107,0.0073
beam_search,6,2,4,area,33.7,3.23,0.0159,0.0013
beam_search,6,3,3,area,41.0,3.0,0.0199,0.0054
beam_search,6,4,6,area,136.2,4.85,0.0775,0.0046
beam_search,6,5,5,area,142.5,2.5,0.0795,0.0037
beam_search,8,2,4,area,42.5,3.07,0.0414,0.0036
beam_search,8,3,3,area,52.6,3.5,0.0445,0.004
beam_search,8,4,6,area,179.2,5.95,0.2208,0.0105
beam_search,8,5,5,area,190.0,3.16,0.2196,0.0044
cplex,10,2,4,area,51.25,2.17,300.4799,0.3247
cplex,10,3,3,area,70.5,6.5,300.4491,0.0154
cplex,6,2,4,area,34.33,4.14,197.8462,118.7907
cplex,6,3,3,area,39.9,2.98,267.3002,67.7844
cplex,6,4,6,area,132.0,0.0,302.3611,0.0
cplex,6,5,5,area,140.0,0.0,304.8188,0.0
cplex,8,2,4,area,42.0,2.62,300.6183,0.7927
cplex,8,3,3,area,51.67,3.4,300.4143,0.3926
genetic_greedy,10,10,10,area,998.0,4.0,114.6929,16.1128
genetic_greedy,10,2,4,area,51.3,3.82,0.1643,0.0234
genetic_greedy,10,3,3,area,62.3,4.8,0.1949,0.0611
genetic_greedy,10,4,6,area,222.2,5.4,1.7729,0.5829
genetic_greedy,10,5,5,area,237.0,5.57,1.5299,0.2754
genetic_greedy,6,10,10,area,598.0,4.0,25.8514,3.333
genetic_greedy,6,2,4,area,34.0,3.32,0.1016,0.0162
genetic_greedy,6,3,3,area,41.07,3.82,0.1078,0.029
genetic_greedy,6,4,6,area,136.2,4.85,0.5054,0.1773
genetic_greedy,6,5,5,area,143.0,2.45,0.4914,0.1392
genetic_greedy,8,10,10,area,798.0,4.0,64.9854,13.8237
genetic_greedy,8,2,4,area,44.8,2.32,0.1278,0.0245
genetic_greedy,8,3,3,area,53.31,4.01,0.1422,0.0288
genetic_greedy,8,4,6,area,179.2,6.21,0.8513,0.1318
genetic_greedy,8,5,5,area,190.5,2.69,0.8474,0.1549
genetic_stochastic,10,10,10,area,998.0,4.0,184.8342,21.6322
genetic_stochastic,10,2,4,area,47.2,2.68,0.2142,0.0458
genetic_stochastic,10,3,3,area,59.0,2.72,0.2657,0.0643
genetic_stochastic,10,4,6,area,221.0,5.6,4.0399,1.0496
genetic_stochastic,10,5,5,area,236.0,5.39,4.9758,0.9109
genetic_stochastic,6,10,10,area,598.0,4.0,44.9585,3.9623
genetic_stochastic,6,2,4,area,33.0,2.37,0.0972,0.0261
genetic_stochastic,6,3,3,area,40.03,3.6,0.1334,0.0851
genetic_stochastic,6,4,6,area,136.2,4.85,1.0962,0.4478
genetic_stochastic,6,5,5,area,142.5,2.5,1.0664,0.322
genetic_stochastic,8,10,10,area,798.0,4.0,103.9698,9.4934
genetic_stochastic,8,2,4,area,41.6,1.2,0.1543,0.043
genetic_stochastic,8,3,3,area,51.46,3.2,0.1834,0.0825
genetic_stochastic,8,4,6,area,178.8,6.01,1.9106,0.2485
genetic_stochastic,8,5,5,area,190.0,3.16,2.4724,0.5386
greedy,10,10,10,area,999.0,3.0,11.1219,0.1059
greedy,10,2,4,area,55.1,4.81,0.004,0.0009
greedy,10,3,3,area,69.2,5.1,0.0051,0.0016
greedy,10,4,6,area,225.8,6.95,0.0996,0.0239
greedy,10,5,5,area,240.0,5.92,0.0893,0.0055
greedy,6,10,10,area,599.0,3.0,2.7216,0.0314
greedy,6,2,4,area,35.9,4.04,0.002,0.0005
greedy,6,3,3,area,43.63,5.17,0.0023,0.0006
greedy,6,4,6,area,136.8,5.38,0.025,0.0057
greedy,6,5,5,area,144.0,3.0,0.0253,0.0016
greedy,8,10,10,area,799.0,3.0,5.9619,0.0609
greedy,8,2,4,area,46.8,1.78,0.004,0.0018
greedy,8,3,3,area,56.23,4.39,0.0032,0.0005
greedy,8,4,6,area,182.6,6.33,0.0513,0.0106
greedy,8,5,5,area,195.2,10.02,0.0534,0.0064
merge_greedy,10,2,4,area,58.9,5.73,0.0204,0.003
merge_greedy,10,3,3,area,71.8,7.9,0.0186,0.0026
merge_greedy,10,4,6,area,249.8,21.8,0.2547,0.0542
merge_greedy,10,5,5,area,277.0,19.61,0.2015,0.0241
merge_greedy,6,2,4,area,36.6,3.67,0.0041,0.0007
merge_greedy,6,3,3,area,48.3,4.5,0.0084,0.0042
merge_greedy,6,4,6,area,157.8,9.33,0.0324,0.0047
merge_greedy,6,5,5,area,172.1,14.19,0.0278,0.0025
merge_greedy,8,2,4,area,49.4,4.5,0.0132,0.0049
merge_greedy,8,3,3,area,59.4,6.53,0.0138,0.0065
merge_greedy,8,4,6,area,206.4,14.58,0.0998,0.0146
