algorithm,tiles,n,m,num_runs,successful_runs,obj_mean,obj_min,obj_max,obj_std,runtime_mean,runtime_min,runtime_max,runtime_std,crossovers_mean,completion_rate_mean,tiles_completed_mean,cplex_optimal,cplex_feasible,cplex_infeasible,cplex_timeout,cplex_failed
greedy,6,3,3,30,30,43.63333333333333,30,56,5.17354381015137,0.002259086866666667,0.001367932,0.003833116,0.0005664223754571455,,,,,,,,
stochastic_greedy,6,3,3,30,30,44.13333333333333,36,56,4.75207556991913,0.0021903389,0.001518774,0.003604429,0.0004947644217008299,,,,,,,,
genetic_greedy,6,3,3,30,30,41.06666666666667,30,48,3.820413008505174,0.10782587523333334,0.054864399,0.171235366,0.029010748605528942,12590.0,0.0070810310845185265,210.26666666666668,,,,,
genetic_stochastic,6,3,3,30,30,40.03333333333333,30,48,3.600771522265132,0.13342529446666665,0.048894455,0.469973114,0.08514755733130903,12578.466666666667,0.03773816586867637,1249.0666666666666,,,,,
merge_greedy,6,3,3,10,10,48.3,40,56,4.495553358597805,0.0083638128,0.003324939,0.016363786,0.004242900706188322,,,,,,,,
beam_search,6,3,3,10,10,41.0,36,44,3.0,0.0199303274,0.015008321,0.033746954,0.0053598276707196146,,,,,,,,
cplex,6,3,3,10,10,39.9,35,44,2.981610303175115,267.3002154824,99.824584972,300.384939199,67.78440970363631,,,,2,8,0,0,0
greedy,8,3,3,13,13,56.23076923076923,48,64,4.387987906754357,0.003167724846153846,0.002487362,0.004038374,0.000489591010627135,,,,,,,,
stochastic_greedy,8,3,3,13,13,57.30769230769231,48,64,5.119865013013458,0.0032507255384615383,0.00216773,0.008268207,0.0015690463677656913,,,,,,,,
genetic_greedy,8,3,3,13,13,53.30769230769231,48,60,4.007389623886494,0.14222471484615384,0.106313702,0.224134045,0.028787188711276238,12596.153846153846,0.008982174110580417,466.46153846153845,,,,,
genetic_stochastic,8,3,3,13,13,51.46153846153846,48,56,3.2013310841053557,0.1834046906153846,0.096766873,0.433871439,0.08248712178428197,12610.076923076924,0.0401973241456292,1665.4615384615386,,,,,
merge_greedy,8,3,3,10,10,59.4,49,72,6.529931086925803,0.0137683759,0.007679506,0.029499502,0.006450066471751612,,,,,,,,
beam_search,8,3,3,10,10,52.6,48,57,3.4985711369071804,0.0444847572,0.039229924,0.050966689,0.004038340526526455,,,,,,,,
cplex,8,3,3,6,6,51.666666666666664,48,56,3.39934634239519,300.41429496983335,300.123103317,301.196796041,0.39263603530400754,,,,0,6,0,0,0
greedy,10,3,3,10,10,69.2,60,75,5.095095681142799,0.0050885088000000005,0.003215405,0.008672532,0.0015629526970484934,,,,,,,,
stochastic_greedy,10,3,3,10,10,69.1,60,78,5.717516943569123,0.0048104009,0.002964171,0.01276087,0.0027659101558280036,,,,,,,,
