algorithm,tiles,n,m,objective_type,avg_objective,stdev_objective,avg_runtime,stdev_runtime
beam_search,10,2,4,square,7.8,0.4,0.0756,0.002
beam_search,10,3,3,square,8.4,0.49,0.0783,0.0033
beam_search,10,4,6,square,16.6,0.49,0.3762,0.0118
beam_search,10,5,5,square,16.8,0.4,0.3911,0.0109
beam_search,20,2,4,square,9.5,0.5,1.025,0.0319
beam_search,20,3,3,square,10.6,0.49,1.0472,0.0255
beam_search,20,4,6,square,22.3,0.46,6.4689,0.1694
beam_search,20,5,5,square,23.1,0.54,6.8177,0.1574
beam_search,30,2,4,square,11.1,0.3,4.0545,0.0905
beam_search,30,3,3,square,12.0,0.0,4.14,0.1192
beam_search,30,4,6,square,26.8,0.6,27.1868,0.3508
beam_search,30,5,5,square,27.3,0.46,29.1927,0.315
beam_search,50,2,4,square,13.0,0.0,23.4362,0.4694
beam_search,50,3,3,square,14.1,0.54,24.3317,0.8522
beam_search,50,4,6,square,33.3,0.46,164.7694,2.3961
beam_search,50,5,5,square,34.4,0.49,177.2634,4.0072
beam_search,6,2,4,square,6.4,0.49,0.0147,0.0008
beam_search,6,3,3,square,7.0,0.45,0.0199,0.0044
beam_search,6,4,6,square,12.9,0.54,0.0693,0.0021
beam_search,6,5,5,square,13.8,0.4,0.0742,0.0048
beam_search,8,2,4,square,7.2,0.4,0.0383,0.0015
beam_search,8,3,3,square,7.8,0.4,0.0428,0.0034
beam_search,8,4,6,square,15.2,0.4,0.176,0.0033
beam_search,8,5,5,square,15.2,0.4,0.1798,0.0029
cplex,10,2,4,square,7.4,0.49,38.0921,32.9402
cplex,10,3,3,square,8.0,0.0,127.7399,24.5688
cplex,10,4,6,square,16.67,0.67,303.3265,1.1834
cplex,10,5,5,square,16.5,0.5,302.9489,0.1604
cplex,6,2,4,square,6.4,0.49,0.5531,0.2736
cplex,6,3,3,square,6.6,0.49,1.1943,0.7764
cplex,6,4,6,square,12.0,0.0,21.6921,4.1285
cplex,6,5,5,square,13.0,0.0,292.9298,23.5458
cplex,8,2,4,square,7.0,0.0,3.2702,1.7802
cplex,8,3,3,square,7.3,0.46,18.7366,22.287
cplex,8,4,6,square,14.4,0.49,302.3166,1.4559
cplex,8,5,5,square,14.7,0.46,302.3124,1.802
genetic_greedy,100,3,3,square,17.5,0.5,94.6147,25.1174
genetic_greedy,10,10,10,square,37.1,0.54,58.8761,32.1841
genetic_greedy,10,2,4,square,7.7,0.46,0.2478,0.1043
genetic_greedy,10,3,3,square,8.17,0.37,0.2369,0.1381
genetic_greedy,10,4,6,square,16.5,0.5,1.6369,0.4636
genetic_greedy,10,5,5,square,16.7,0.46,1.786,0.6947
genetic_greedy,20,10,10,square,50.3,0.64,739.7663,229.3089
genetic_greedy,20,2,4,square,9.4,0.49,1.2147,0.4574
genetic_greedy,20,3,3,square,10.27,0.44,1.2798,0.7593
genetic_greedy,20,4,6,square,22.1,0.3,13.3964,5.6817
genetic_greedy,20,5,5,square,22.6,0.49,16.8129,7.1441
genetic_greedy,30,10,10,square,61.38,0.7,2237.0596,662.5729
genetic_greedy,30,2,4,square,11.0,0.45,2.9168,0.8206
genetic_greedy,30,3,3,square,11.93,0.36,2.8966,1.3657
genetic_greedy,30,4,6,square,26.5,0.5,57.4179,19.283
genetic_greedy,30,5,5,square,27.1,0.3,75.3726,74.3409
genetic_greedy,50,2,4,square,12.7,0.46,8.0427,2.1031
genetic_greedy,50,3,3,square,14.13,0.34,12.2079,5.6514
genetic_greedy,50,4,6,square,33.0,0.0,214.4787,68.4422
genetic_greedy,50,5,5,square,33.9,0.3,252.9383,25.0745
genetic_greedy,60,3,3,square,15.0,0.0,43.4149,68.756
genetic_greedy,60,5,5,square,36.0,0.0,471.3586,0.0
genetic_greedy,6,10,10,square,29.6,0.66,5.3111,2.9337
genetic_greedy,6,2,4,square,6.5,0.5,0.1308,0.0732
genetic_greedy,6,3,3,square,7.0,0.37,0.1645,0.1234
genetic_greedy,6,4,6,square,13.1,0.3,0.4001,0.16
genetic_greedy,6,5,5,square,13.5,0.5,0.4757,0.2665
genetic_greedy,80,3,3,square,16.1,0.3,49.0693,13.9183
genetic_greedy,8,10,10,square,31.7,0.9,24.4219,12.0045
genetic_greedy,8,2,4,square,7.2,0.4,0.1941,0.1056
genetic_greedy,8,3,3,square,7.77,0.42,0.3043,0.1871
genetic_greedy,8,4,6,square,14.9,0.3,1.0992,0.7072
genetic_greedy,8,5,5,square,15.1,0.3,1.5609,2.3581
genetic_stochastic,100,3,3,square,17.8,0.4,124.2279,55.4851
genetic_stochastic,10,10,10,square,36.9,0.3,111.9685,39.2866
genetic_stochastic,10,2,4,square,7.5,0.5,0.3395,0.2398
genetic_stochastic,10,3,3,square,8.03,0.18,0.3796,0.3017
