scale,tiles,n,m,run,seed,algorithm,objective_type,status,objective,runtime,bbox_width,bbox_height,num_tiles,total_crossovers,crossovers_needing_completion,total_tiles_completed,completion_rate,avg_tiles_per_incomplete
small,6,3,3,1,42,greedy,square,success,7,0.000606589,7,7,6,,,,,
small,6,3,3,1,42,stochastic_greedy,square,success,8,0.000742464,8,8,6,,,,,
small,6,3,3,1,42,genetic_greedy,square,success,7,0.163186935,7,7,6,12513,695,1245,0.05554223607448254,1.79136690647482
small,6,3,3,1,42,genetic_stochastic,square,success,7,0.180842887,7,7,6,12564,1088,1647,0.0865966252785737,1.5137867647058822
small,6,3,3,2,142,greedy,square,success,7,0.000698962,7,7,6,,,,,
small,6,3,3,2,142,stochastic_greedy,square,success,8,0.000944862,7,8,6,,,,,
small,6,3,3,2,142,genetic_greedy,square,success,7,0.647228763,7,7,6,12578,2944,8693,0.23405946891397678,2.9527853260869565
small,6,3,3,2,142,genetic_stochastic,square,success,6,0.097704093,6,6,6,12597,165,279,0.013098356751607526,1.690909090909091
small,6,3,3,3,242,greedy,square,success,8,0.000655821,8,8,6,,,,,
small,6,3,3,3,242,stochastic_greedy,square,success,8,0.000842333,7,8,6,,,,,
small,6,3,3,3,242,genetic_greedy,square,success,7,0.136031596,7,7,6,12678,23,59,0.0018141662722826945,2.5652173913043477
small,6,3,3,3,242,genetic_stochastic,square,success,7,0.218420743,7,7,6,12561,603,1614,0.0480057320277048,2.6766169154228856
small,6,3,3,4,342,greedy,square,success,7,0.00065006,7,6,6,,,,,
small,6,3,3,4,342,stochastic_greedy,square,success,7,0.000771776,6,7,6,,,,,
small,6,3,3,4,342,genetic_greedy,square,success,7,0.132117129,6,7,6,12563,286,351,0.022765263074106503,1.2272727272727273
small,6,3,3,4,342,genetic_stochastic,square,success,6,0.092795211,6,6,6,12536,258,463,0.020580727504786216,1.7945736434108528
small,6,3,3,5,442,greedy,square,success,7,0.000787741,6,7,6,,,,,
small,6,3,3,5,442,stochastic_greedy,square,success,7,0.000780269,7,7,6,,,,,
small,6,3,3,5,442,genetic_greedy,square,success,7,0.100781008,6,7,6,12550,564,1009,0.0449402390438247,1.7890070921985815
small,6,3,3,5,442,genetic_stochastic,square,success,7,0.237603597,7,7,6,12623,3547,4729,0.28099500911035413,1.3332393572032704
small,6,3,3,6,542,greedy,square,success,7,0.000710561,7,7,6,,,,,
small,6,3,3,6,542,stochastic_greedy,square,success,7,0.000667377,7,7,6,,,,,
small,6,3,3,6,542,genetic_greedy,square,success,7,0.128839178,7,7,6,12574,360,739,0.02863050739621441,2.0527777777777776
small,6,3,3,6,542,genetic_stochastic,square,success,7,0.151397134,6,7,6,12532,728,1113,0.058091286307053944,1.5288461538461537
small,6,3,3,7,642,greedy,square,success,8,0.000641214,8,7,6,,,,,
small,6,3,3,7,642,stochastic_greedy,square,success,7,0.000702572,7,7,6,,,,,
small,6,3,3,7,642,genetic_greedy,square,success,7,0.117267897,7,6,6,12702,642,689,0.05054322153991497,1.073208722741433
small,6,3,3,7,642,genetic_stochastic,square,success,7,0.163994565,7,7,6,12549,1598,2359,0.12734082397003746,1.4762202753441802
small,6,3,3,8,742,greedy,square,success,7,0.000577537,6,7,6,,,,,
small,6,3,3,8,742,stochastic_greedy,square,success,7,0.000767826,7,7,6,,,,,
small,6,3,3,8,742,genetic_greedy,square,success,7,0.093678438,6,7,6,12650,66,130,0.0052173913043478265,1.9696969696969697
small,6,3,3,8,742,genetic_stochastic,square,success,7,0.36213484,7,7,6,12621,1960,4793,0.1552967276760954,2.445408163265306
small,6,3,3,9,842,greedy,square,success,8,0.000567616,7,8,6,,,,,
small,6,3,3,9,842,stochastic_greedy,square,success,7,0.000671214,7,7,6,,,,,
small,6,3,3,9,842,genetic_greedy,square,success,7,0.126470058,7,7,6,12507,3,6,0.00023986567522187575,2.0
small,6,3,3,9,842,genetic_stochastic,square,success,6,0.150826846,6,6,6,12578,1621,2503,0.12887581491493083,1.5441085749537322
small,6,3,3,10,942,greedy,square,success,7,0.000652981,7,7,6,,,,,
small,6,3,3,10,942,stochastic_greedy,square,success,8,0.00075167,8,8,6,,,,,
small,6,3,3,10,942,genetic_greedy,square,success,7,0.174545408,7,7,6,12502,1553,1744,0.12422012478003519,1.1229877656149387
small,6,3,3,10,942,genetic_stochastic,square,success,7,0.200329551,7,7,6,12601,983,1570,0.07800968177128799,1.5971515768056967
small,6,3,3,11,1042,greedy,square,success,7,0.000577144,7,7,6,,,,,
small,6,3,3,11,1042,stochastic_greedy,square,success,8,0.000696362,6,8,6,,,,,
small,6,3,3,11,1042,genetic_greedy,square,success,7,0.13880274,7,7,6,12523,24,65,0.0019164736884133195,2.7083333333333335
small,6,3,3,11,1042,genetic_stochastic,square,success,7,0.760763535,7,7,6,12619,5245,10444,0.41564307789840715,1.9912297426120114
small,6,3,3,12,1142,greedy,square,success,7,0.000724078,7,7,6,,,,,
small,6,3,3,12,1142,stochastic_greedy,square,success,7,0.000530509,7,7,6,,,,,
small,6,3,3,12,1142,genetic_greedy,square,success,7,0.522507642,7,7,6,12644,4794,9610,0.37915216703574817,2.004589069670421
small,6,3,3,12,1142,genetic_stochastic,square,success,7,0.495588476,7,6,6,12509,3588,8671,0.286833479894476,2.4166666666666665
small,6,3,3,13,1242,greedy,square,success,8,0.000791889,7,8,6,,,,,
small,6,3,3,13,1242,stochastic_greedy,square,success,8,0.000885546,8,8,6,,,,,
small,6,3,3,13,1242,genetic_greedy,square,success,8,0.148143573,7,8,6,12613,810,1273,0.06421945611670499,1.5716049382716049
small,6,3,3,13,1242,genetic_stochastic,square,success,7,0.195897168,7,7,6,12599,849,2459,0.06738630050003969,2.8963486454652534
small,6,3,3,14,1342,greedy,square,success,8,0.000752794,8,8,6,,,,,
small,6,3,3,14,1342,stochastic_greedy,square,success,8,0.000828466,7,8,6,,,,,
small,6,3,3,14,1342,genetic_greedy,square,success,7,0.139030953,7,7,6,12452,333,381,0.026742691937038227,1.1441441441441442
small,6,3,3,14,1342,genetic_stochastic,square,success,7,0.170365974,7,7,6,12586,781,1581,0.06205307484506595,2.0243277848911654
small,6,3,3,15,1442,greedy,square,success,7,0.000718235,7,7,6,,,,,
small,6,3,3,15,1442,stochastic_greedy,square,success,8,0.000563373,8,8,6,,,,,
small,6,3,3,15,1442,genetic_greedy,square,success,7,0.245443993,7,7,6,12564,1199,2356,0.09543139127666349,1.9649708090075062
small,6,3,3,15,1442,genetic_stochastic,square,success,7,0.15172353,7,7,6,12498,1095,1486,0.08761401824291887,1.3570776255707762
small,6,3,3,16,1542,greedy,square,success,6,0.000752775,6,6,6,,,,,
small,6,3,3,16,1542,stochastic_greedy,square,success,6,0.000650515,6,6,6,,,,,
small,6,3,3,16,1542,genetic_greedy,square,success,6,0.067381184,6,6,6,12530,0,0,0.0,
small,6,3,3,16,1542,genetic_stochastic,square,success,6,0.099082732,6,6,6,12583,102,136,0.008106174998013192,1.3333333333333333
small,6,3,3,17,1642,greedy,square,success,7,0.000593902,7,7,6,,,,,
small,6,3,3,17,1642,stochastic_greedy,square,success,8,0.000680883,8,8,6,,,,,
small,6,3,3,17,1642,genetic_greedy,square,success,7,0.087803101,7,7,6,12623,341,752,0.027014180464231957,2.2052785923753664
small,6,3,3,17,1642,genetic_stochastic,square,success,7,0.388276475,7,7,6,12653,2901,5863,0.22927369003398404,2.0210272319889695
small,6,3,3,18,1742,greedy,square,success,8,0.000583117,8,8,6,,,,,
