algorithm,tiles,n,m,objective_type,avg_objective,stdev_objective,avg_runtime,stdev_runtime
genetic_greedy,100,3,3,square,17.5,0.5,94.6147,25.1174
genetic_greedy,60,3,3,square,15.0,0.0,43.4149,68.756
genetic_greedy,60,5,5,square,36.0,0.0,471.3586,0.0
genetic_greedy,80,3,3,square,16.1,0.3,49.0693,13.9183
genetic_stochastic,100,3,3,square,17.8,0.4,124.2279,55.4851
genetic_stochastic,60,3,3,square,14.9,0.3,28.197,7.1806
genetic_stochastic,80,3,3,square,16.5,0.5,89.3945,33.6468
greedy,100,3,3,square,18.3,0.46,0.0301,0.0204
greedy,60,3,3,square,15.9,0.3,0.0123,0.0026
greedy,60,5,5,square,39.0,0.0,0.0915,0.0
greedy,80,3,3,square,17.4,0.49,0.0223,0.0107
merge_greedy,60,3,3,square,17.0,1.18,3.2535,0.3456
merge_greedy,60,5,5,square,43.0,0.0,194.834,0.0
stochastic_greedy,100,3,3,square,19.2,0.4,0.0322,0.0142
stochastic_greedy,60,3,3,square,16.6,0.49,0.0169,0.0043
stochastic_greedy,60,5,5,square,40.0,0.0,0.1173,0.0
stochastic_greedy,80,3,3,square,18.1,0.54,0.0337,0.0142
