scale,tiles,n,m,run,seed,algorithm,objective_type,status,objective,runtime,bbox_width,bbox_height,num_tiles,total_crossovers,crossovers_needing_completion,total_tiles_completed,completion_rate,avg_tiles_per_incomplete
large,60,3,3,1,42,greedy,square,success,16,0.01186427,16,16,60,,,,,
large,60,3,3,1,42,stochastic_greedy,square,success,17,0.016820789,17,17,60,,,,,
large,60,3,3,1,42,genetic_greedy,square,success,15,15.211347365,15,15,60,50411,523,25185,0.010374719803217552,48.154875717017205
large,60,3,3,1,42,genetic_stochastic,square,success,15,33.397098355,15,15,60,50410,1710,83000,0.033921840904582425,48.538011695906434
large,60,3,3,2,142,greedy,square,success,16,0.011093294,16,16,60,,,,,
large,60,3,3,2,142,stochastic_greedy,square,success,16,0.021823262,16,16,60,,,,,
large,60,3,3,2,142,genetic_greedy,square,success,15,22.480189847,15,15,60,50444,913,47276,0.018099278407739276,51.78094194961665
large,60,3,3,2,142,genetic_stochastic,square,success,15,34.530371822,15,15,60,50497,1867,88456,0.036972493415450426,47.378682378146756
large,60,3,3,3,242,greedy,square,success,16,0.014368235,15,16,60,,,,,
large,60,3,3,3,242,stochastic_greedy,square,success,17,0.01750959,17,16,60,,,,,
large,60,3,3,3,242,genetic_greedy,square,success,15,17.091281141,15,15,60,50415,526,27692,0.010433402757115937,52.64638783269962
large,60,3,3,3,242,genetic_stochastic,square,success,15,35.081436029,15,15,60,50482,1744,84701,0.03454696723584644,48.5670871559633
large,60,3,3,4,342,greedy,square,success,15,0.007399286,15,15,60,,,,,
large,60,3,3,4,342,stochastic_greedy,square,success,16,0.010213587,16,16,60,,,,,
large,60,3,3,4,342,genetic_greedy,square,success,15,249.304600307,14,15,60,50358,12255,618439,0.24335755987132135,50.46421868625051
large,60,3,3,4,342,genetic_stochastic,square,success,14,17.984847879,14,14,60,50163,807,39404,0.01608755457209497,48.827757125154896
large,60,3,3,5,442,greedy,square,success,16,0.012515287,16,16,60,,,,,
large,60,3,3,5,442,stochastic_greedy,square,success,16,0.013107208,16,16,60,,,,,
large,60,3,3,5,442,genetic_greedy,square,success,15,26.757224521,15,15,60,50197,1104,56397,0.02199334621590932,51.08423913043478
large,60,3,3,5,442,genetic_stochastic,square,success,15,18.688977436,15,15,60,50462,844,42203,0.016725456779358727,50.00355450236967
large,60,3,3,6,542,greedy,square,success,16,0.009828034,14,16,60,,,,,
large,60,3,3,6,542,stochastic_greedy,square,success,17,0.015970269,17,17,60,,,,,
large,60,3,3,6,542,genetic_greedy,square,success,15,18.553917422,15,15,60,50350,687,32998,0.013644488579940417,48.03202328966521
large,60,3,3,6,542,genetic_stochastic,square,success,15,32.043203914,15,15,60,50287,1724,83722,0.03428321434963311,48.56264501160093
large,60,3,3,7,642,greedy,square,success,16,0.017007355,16,16,60,,,,,
large,60,3,3,7,642,stochastic_greedy,square,success,16,0.026400414,16,16,60,,,,,
large,60,3,3,7,642,genetic_greedy,square,success,15,28.594459802,15,15,60,50305,1445,73357,0.02872477884902097,50.766089965397924
large,60,3,3,7,642,genetic_stochastic,square,success,15,20.544428444,15,15,60,50501,1081,50697,0.02140551672244114,46.89824236817761
large,60,3,3,8,742,greedy,square,success,16,0.015352755,16,16,60,,,,,
large,60,3,3,8,742,stochastic_greedy,square,success,17,0.01454989,17,17,60,,,,,
large,60,3,3,8,742,genetic_greedy,square,success,15,20.887351762,15,15,60,50537,804,40942,0.015909135880641904,50.9228855721393
large,60,3,3,8,742,genetic_stochastic,square,success,15,36.800309284,15,15,60,50372,1822,91713,0.036170888588898595,50.3364434687157
large,60,3,3,9,842,greedy,square,success,16,0.011618132,16,16,60,,,,,
large,60,3,3,9,842,stochastic_greedy,square,success,17,0.017728467,17,17,60,,,,,
large,60,3,3,9,842,genetic_greedy,square,success,15,16.101494094,15,14,60,50620,606,30444,0.011971552745950218,50.23762376237624
large,60,3,3,9,842,genetic_stochastic,square,success,15,21.307079024,15,15,60,50462,1022,50637,0.020252863540882248,49.54696673189824
large,60,3,3,10,942,greedy,square,success,16,0.012196093,15,16,60,,,,,
large,60,3,3,10,942,stochastic_greedy,square,success,17,0.014596544,17,17,60,,,,,
large,60,3,3,10,942,genetic_greedy,square,success,15,19.167013153,15,15,60,50513,700,35523,0.013857818779324134,50.747142857142855
large,60,3,3,10,942,genetic_stochastic,square,success,15,31.592153508,15,15,60,50340,1740,83744,0.03456495828367104,48.12873563218391
large,60,3,3,1,42,merge_greedy,square,success,17,4.044849643,16,17,60,,,,,
large,60,3,3,2,142,merge_greedy,square,success,17,2.864078932,17,15,60,,,,,
large,60,3,3,3,242,merge_greedy,square,success,16,2.898544196,16,14,60,,,,,
large,60,3,3,4,342,merge_greedy,square,success,16,3.107403602,16,14,60,,,,,
