algorithm,tiles,n,m,num_runs,successful_runs,obj_mean,obj_min,obj_max,obj_std,runtime_mean,runtime_min,runtime_max,runtime_std,crossovers_mean,completion_rate_mean,tiles_completed_mean,cplex_optimal,cplex_feasible,cplex_infeasible,cplex_timeout,cplex_failed
greedy,60,3,3,10,10,15.9,15,16,0.3,0.0123242741,0.007399286,0.017007355,0.002608561109629155,,,,,,,,
stochastic_greedy,60,3,3,10,10,16.6,16,17,0.4898979485566356,0.016872002,0.010213587,0.026400414,0.004316705736819919,,,,,,,,
genetic_greedy,60,3,3,10,10,15.0,15,15,0.0,43.414887941399996,15.211347365,249.304600307,68.7559951683343,50415.0,0.03883660818901811,98825.3,,,,,
genetic_stochastic,60,3,3,10,10,14.9,14,15,0.3,28.196990569500002,17.984847879,36.800309284,7.180590296042509,50397.6,0.028493175439285912,69827.7,,,,,
merge_greedy,60,3,3,10,10,17.0,16,20,1.1832159566199232,3.2535234984,2.864078932,4.044849643,0.34562698826505495,,,,,,,,
greedy,80,3,3,10,10,17.4,17,18,0.4898979485566356,0.0222860556,0.012555188,0.0406713,0.010742488636690107,,,,,,,,
stochastic_greedy,80,3,3,10,10,18.1,17,19,0.5385164807134504,0.0336873761,0.017532027,0.059535924,0.014181821686984465,,,,,,,,
genetic_greedy,80,3,3,10,10,16.1,16,17,0.3,49.0692957325,27.709625785,79.882393622,13.918271180381906,50361.6,0.02221004451085931,78087.5,,,,,
genetic_stochastic,80,3,3,10,10,16.5,16,17,0.5,89.3944706899,48.295332002,163.830030756,33.64677552557706,50367.3,0.05143208600469543,165732.8,,,,,
greedy,100,3,3,10,10,18.3,18,19,0.45825756949558405,0.0300578988,0.015134146,0.074021818,0.020429980628818723,,,,,,,,
stochastic_greedy,100,3,3,10,10,19.2,19,20,0.4,0.0321508419,0.015535697,0.058632282,0.014236613266851026,,,,,,,,
genetic_greedy,100,3,3,10,10,17.5,17,18,0.5,94.6146889915,61.404175918,135.68524762,25.117410230450787,50425.8,0.02607462298924982,115039.1,,,,,
genetic_stochastic,100,3,3,10,10,17.8,17,18,0.4,124.22791969229999,75.829055915,268.234968665,55.48505939737678,50430.1,0.036600198719652935,157377.2,,,,,
merge_greedy,60,5,5,1,1,43.0,43,43,0.0,194.834035683,194.834035683,194.834035683,0.0,,,,,,,,
greedy,60,5,5,1,1,39.0,39,39,0.0,0.091483271,0.091483271,0.091483271,0.0,,,,,,,,
stochastic_greedy,60,5,5,1,1,40.0,40,40,0.0,0.117315187,0.117315187,0.117315187,0.0,,,,,,,,
genetic_greedy,60,5,5,1,1,36.0,36,36,0.0,471.358644283,471.358644283,471.358644283,0.0,50451.0,0.018136409585538443,49353.0,,,,,
