algorithm,tiles,n,m,objective_type,avg_objective,stdev_objective,avg_runtime,stdev_runtime
beam_search,20,2,4,square,9.5,0.5,1.025,0.0319
beam_search,20,3,3,square,10.6,0.49,1.0472,0.0255
beam_search,20,4,6,square,22.3,0.46,6.4689,0.1694
beam_search,20,5,5,square,23.1,0.54,6.8177,0.1574
beam_search,30,2,4,square,11.1,0.3,4.0545,0.0905
beam_search,30,3,3,square,12.0,0.0,4.14,0.1192
beam_search,30,4,6,square,26.8,0.6,27.1868,0.3508
beam_search,30,5,5,square,27.3,0.46,29.1927,0.315
beam_search,50,2,4,square,13.0,0.0,23.4362,0.4694
beam_search,50,3,3,square,14.1,0.54,24.3317,0.8522
beam_search,50,4,6,square,33.3,0.46,164.7694,2.3961
beam_search,50,5,5,square,34.4,0.49,177.2634,4.0072
genetic_greedy,20,10,10,square,50.3,0.64,739.7663,229.3089
genetic_greedy,20,2,4,square,9.4,0.49,1.2147,0.4574
genetic_greedy,20,3,3,square,10.27,0.44,1.2798,0.7593
genetic_greedy,20,4,6,square,22.1,0.3,13.3964,5.6817
genetic_greedy,20,5,5,square,22.6,0.49,16.8129,7.1441
genetic_greedy,30,10,10,square,61.38,0.7,2237.0596,662.5729
genetic_greedy,30,2,4,square,11.0,0.45,2.9168,0.8206
genetic_greedy,30,3,3,square,11.93,0.36,2.8966,1.3657
genetic_greedy,30,4,6,square,26.5,0.5,57.4179,19.283
genetic_greedy,30,5,5,square,27.1,0.3,75.3726,74.3409
genetic_greedy,50,2,4,square,12.7,0.46,8.0427,2.1031
genetic_greedy,50,3,3,square,14.13,0.34,12.2079,5.6514
genetic_greedy,50,4,6,square,33.0,0.0,214.4787,68.4422
genetic_greedy,50,5,5,square,33.9,0.3,252.9383,25.0745
genetic_stochastic,20,10,10,square,50.0,0.0,1088.1632,360.2828
genetic_stochastic,20,2,4,square,9.3,0.46,1.2625,0.9106
genetic_stochastic,20,3,3,square,10.13,0.34,2.3145,1.9883
genetic_stochastic,20,4,6,square,22.0,0.0,20.7603,4.8981
genetic_stochastic,20,5,5,square,22.8,0.4,27.8941,5.5882
genetic_stochastic,30,10,10,square,61.25,0.43,3447.7919,664.9115
genetic_stochastic,30,2,4,square,10.8,0.6,4.1464,3.0585
genetic_stochastic,30,3,3,square,11.9,0.3,5.085,5.8139
genetic_stochastic,30,4,6,square,26.9,0.3,86.626,22.5264
genetic_stochastic,30,5,5,square,27.4,0.49,108.5127,44.0529
genetic_stochastic,50,2,4,square,12.7,0.46,19.9898,25.6376
genetic_stochastic,50,3,3,square,14.2,0.48,18.4737,13.0702
genetic_stochastic,50,4,6,square,33.4,0.49,337.2118,113.5107
genetic_stochastic,50,5,5,square,34.4,0.49,306.2442,52.1563
greedy,20,10,10,square,53.6,1.11,0.1134,0.0048
greedy,20,2,4,square,10.3,0.64,0.0018,0.0002
greedy,20,3,3,square,11.33,0.47,0.0017,0.0001
greedy,20,4,6,square,24.0,0.45,0.0064,0.0004
greedy,20,5,5,square,24.0,0.45,0.0076,0.0008
greedy,30,10,10,square,64.44,1.34,0.3235,0.0238
greedy,30,2,4,square,12.0,0.45,0.0022,0.0002
greedy,30,3,3,square,12.83,0.52,0.0029,0.0014
greedy,30,4,6,square,27.9,0.83,0.0146,0.001
greedy,30,5,5,square,28.7,1.0,0.0189,0.0043
greedy,50,2,4,square,13.6,0.66,0.0037,0.0002
greedy,50,3,3,square,15.0,0.52,0.0058,0.0008
greedy,50,4,6,square,34.4,0.49,0.045,0.0017
greedy,50,5,5,square,35.0,0.63,0.0568,0.0047
merge_greedy,20,10,10,square,105.5,2.5,129.0089,13.7708
merge_greedy,20,2,4,square,14.8,2.23,0.1471,0.0075
merge_greedy,20,3,3,square,11.8,0.75,0.1268,0.015
merge_greedy,20,4,6,square,29.7,3.87,3.9928,0.7943
merge_greedy,20,5,5,square,26.4,3.32,3.3312,0.4576
merge_greedy,30,2,4,square,17.8,2.75,0.5193,0.0602
merge_greedy,30,3,3,square,13.8,1.72,0.3906,0.0312
merge_greedy,30,4,6,square,37.5,6.74,17.2045,3.6842
merge_greedy,30,5,5,square,30.6,2.76,15.0566,3.1598
merge_greedy,50,2,4,square,23.5,3.23,2.5891,0.2304
merge_greedy,50,3,3,square,16.3,1.19,1.7932,0.1995
merge_greedy,50,4,6,square,48.7,7.67,123.4113,24.5205
merge_greedy,50,5,5,square,38.7,3.44,108.7814,15.7303
stochastic_greedy,20,10,10,square,53.4,0.92,0.1353,0.0129
stochastic_greedy,20,2,4,square,11.0,0.45,0.0014,0.0002
stochastic_greedy,20,3,3,square,11.77,0.56,0.0016,0.0002
stochastic_greedy,20,4,6,square,24.0,0.77,0.007,0.0005
stochastic_greedy,20,5,5,square,24.0,0.77,0.0102,0.0013
stochastic_greedy,30,10,10,square,64.67,0.67,0.3525,0.0225
stochastic_greedy,30,2,4,square,12.2,0.75,0.0021,0.0002
stochastic_greedy,30,3,3,square,13.57,0.56,0.0035,0.002
stochastic_greedy,30,4,6,square,28.4,0.66,0.0165,0.0017
stochastic_greedy,30,5,5,square,29.1,0.7,0.0298,0.0093
stochastic_greedy,50,2,4,square,14.4,0.66,0.0039,0.0002
stochastic_greedy,50,3,3,square,15.77,0.8,0.0076,0.0013
stochastic_greedy,50,4,6,square,35.2,0.6,0.0643,0.0088
stochastic_greedy,50,5,5,square,36.2,0.6,0.0811,0.0086
