scale,tiles,n,m,run,seed,algorithm,objective_type,status,objective,runtime,bbox_width,bbox_height,num_tiles,total_crossovers,crossovers_needing_completion,total_tiles_completed,completion_rate,avg_tiles_per_incomplete
medium,20,3,3,1,42,greedy,square,success,11,0.001374875,11,11,20,,,,,
medium,20,3,3,1,42,stochastic_greedy,square,success,13,0.001521777,12,13,20,,,,,
medium,20,3,3,1,42,genetic_greedy,square,success,10,1.126670302,10,10,20,28371,791,8809,0.02788058228472736,11.13653603034134
medium,20,3,3,1,42,genetic_stochastic,square,success,10,1.208625031,10,10,20,28391,1736,10851,0.061146137860589624,6.250576036866359
medium,20,3,3,2,142,greedy,square,success,11,0.001406133,11,11,20,,,,,
medium,20,3,3,2,142,stochastic_greedy,square,success,12,0.00165985,12,12,20,,,,,
medium,20,3,3,2,142,genetic_greedy,square,success,11,2.027972433,11,11,20,28403,7793,21715,0.27437242544801604,2.7864750417040933
medium,20,3,3,2,142,genetic_stochastic,square,success,10,1.545128435,10,10,20,28382,1787,14826,0.06296244098372207,8.29658645775042
medium,20,3,3,3,242,greedy,square,success,11,0.001682473,11,11,20,,,,,
medium,20,3,3,3,242,stochastic_greedy,square,success,13,0.001845247,13,12,20,,,,,
medium,20,3,3,3,242,genetic_greedy,square,success,11,1.062244969,11,11,20,28340,431,6106,0.015208186309103741,14.167053364269142
medium,20,3,3,3,242,genetic_stochastic,square,success,10,1.266200206,10,10,20,28425,1732,13093,0.06093227792436236,7.559468822170901
medium,20,3,3,4,342,greedy,square,success,12,0.001529823,11,12,20,,,,,
medium,20,3,3,4,342,stochastic_greedy,square,success,12,0.001334053,12,12,20,,,,,
medium,20,3,3,4,342,genetic_greedy,square,success,10,0.869081683,10,10,20,28346,292,4082,0.01030127707613067,13.979452054794521
medium,20,3,3,4,342,genetic_stochastic,square,success,10,1.423313201,10,10,20,28373,1289,13769,0.045430514926162194,10.681923972071374
medium,20,3,3,5,442,greedy,square,success,12,0.001712861,11,12,20,,,,,
medium,20,3,3,5,442,stochastic_greedy,square,success,12,0.001559496,12,12,20,,,,,
medium,20,3,3,5,442,genetic_greedy,square,success,11,2.540216204,10,11,20,28290,8961,31949,0.31675503711558856,3.5653386898783617
medium,20,3,3,5,442,genetic_stochastic,square,success,11,2.630367249,11,11,20,28422,6500,33760,0.22869608050102033,5.193846153846154
medium,20,3,3,6,542,greedy,square,success,12,0.001498191,11,12,20,,,,,
medium,20,3,3,6,542,stochastic_greedy,square,success,11,0.001421744,11,11,20,,,,,
medium,20,3,3,6,542,genetic_greedy,square,success,10,0.598665866,10,10,20,28321,124,1652,0.004378376469757424,13.32258064516129
