algorithm,tiles,n,m,num_runs,successful_runs,obj_mean,obj_min,obj_max,obj_std,runtime_mean,runtime_min,runtime_max,runtime_std,crossovers_mean,completion_rate_mean,tiles_completed_mean,cplex_optimal,cplex_feasible,cplex_infeasible,cplex_timeout,cplex_failed
greedy,20,3,3,30,30,11.333333333333334,11,12,0.4714045207910317,0.0016558474333333334,0.001344105,0.0019726,0.00014663487559483327,,,,,,,,
stochastic_greedy,20,3,3,30,30,11.766666666666667,11,13,0.5587684871413403,0.0015720741666666667,0.001316204,0.00200972,0.00017169418491901685,,,,,,,,
genetic_greedy,20,3,3,30,30,10.266666666666667,10,11,0.4422166387140533,1.2798424093333334,0.576450447,3.657518885,0.7593075183064003,28354.566666666666,0.07271933713132432,11289.966666666667,,,,,
genetic_stochastic,20,3,3,30,30,10.133333333333333,10,11,0.339934634239519,2.3145463226666667,1.033047753,9.842393188,1.9882681593589269,28379.233333333334,0.10291028202783249,24257.633333333335,,,,,
merge_greedy,20,3,3,10,10,11.8,11,13,0.7483314773547883,0.1267640633,0.110836774,0.164214612,0.015047863584034956,,,,,,,,
beam_search,20,3,3,10,10,10.6,10,11,0.4898979485566356,1.0471907015,1.018063546,1.097143584,0.02548038268574519,,,,,,,,
greedy,30,3,3,30,30,12.833333333333334,12,14,0.521749194749951,0.002851844233333333,0.001913134,0.010154127,0.0014185253565301935,,,,,,,,
stochastic_greedy,30,3,3,30,30,13.566666666666666,12,14,0.5587684871413403,0.0034592590333333336,0.00221894,0.010961895,0.0020086948163447406,,,,,,,,
genetic_greedy,30,3,3,30,30,11.933333333333334,11,13,0.3590109871423003,2.8965960833333333,1.466999752,6.844370706,1.3657018136166554,28323.933333333334,0.046126830673211404,15356.6,,,,,
genetic_stochastic,30,3,3,30,30,11.9,11,12,0.3,5.0850288122,2.2028476,35.072301343,5.813937187530727,28358.7,0.08967379059935016,34936.8,,,,,
merge_greedy,30,3,3,10,10,13.8,12,17,1.7204650534085253,0.3905917649,0.341061472,0.439907913,0.031231739171622558,,,,,,,,
beam_search,30,3,3,10,10,12.0,12,12,0.0,4.139991945899999,3.919303507,4.384674915,0.11923671930743233,,,,,,,,
greedy,50,3,3,30,30,15.0,14,16,0.5163977794943222,0.0057571387,0.004204638,0.007621182,0.0008470800889657029,,,,,,,,
