algorithm,tiles,n,m,objective_type,avg_objective,stdev_objective,avg_runtime,stdev_runtime
beam_search,10,2,4,square,7.8,0.4,0.0756,0.002
beam_search,10,3,3,square,8.4,0.49,0.0783,0.0033
beam_search,10,4,6,square,16.6,0.49,0.3762,0.0118
beam_search,10,5,5,square,16.8,0.4,0.3911,0.0109
beam_search,6,2,4,square,6.4,0.49,0.0147,0.0008
beam_search,6,3,3,square,7.0,0.45,0.0199,0.0044
beam_search,6,4,6,square,12.9,0.54,0.0693,0.0021
beam_search,6,5,5,square,13.8,0.4,0.0742,0.0048
beam_search,8,2,4,square,7.2,0.4,0.0383,0.0015
beam_search,8,3,3,square,7.8,0.4,0.0428,0.0034
beam_search,8,4,6,square,15.2,0.4,0.176,0.0033
beam_search,8,5,5,square,15.2,0.4,0.1798,0.0029
cplex,10,2,4,square,7.4,0.49,38.0921,32.9402
cplex,10,3,3,square,8.0,0.0,127.7399,24.5688
cplex,10,4,6,square,16.67,0.67,303.3265,1.1834
cplex,10,5,5,square,16.5,0.5,302.9489,0.1604
cplex,6,2,4,square,6.4,0.49,0.5531,0.2736
cplex,6,3,3,square,6.6,0.49,1.1943,0.7764
cplex,6,4,6,square,12.0,0.0,21.6921,4.1285
cplex,6,5,5,square,13.0,0.0,292.9298,23.5458
cplex,8,2,4,square,7.0,0.0,3.2702,1.7802
cplex,8,3,3,square,7.3,0.46,18.7366,22.287
cplex,8,4,6,square,14.4,0.49,302.3166,1.4559
cplex,8,5,5,square,14.7,0.46,302.3124,1.802
genetic_greedy,10,10,10,square,37.1,0.54,58.8761,32.1841
genetic_greedy,10,2,4,square,7.7,0.46,0.2478,0.1043
genetic_greedy,10,3,3,square,8.17,0.37,0.2369,0.1381
genetic_greedy,10,4,6,square,16.5,0.5,1.6369,0.4636
genetic_greedy,10,5,5,square,16.7,0.46,1.786,0.6947
genetic_greedy,6,10,10,square,29.6,0.66,5.3111,2.9337
genetic_greedy,6,2,4,square,6.5,0.5,0.1308,0.0732
genetic_greedy,6,3,3,square,7.0,0.37,0.1645,0.1234
genetic_greedy,6,4,6,square,13.1,0.3,0.4001,0.16
genetic_greedy,6,5,5,square,13.5,0.5,0.4757,0.2665
genetic_greedy,8,10,10,square,31.7,0.9,24.4219,12.0045
genetic_greedy,8,2,4,square,7.2,0.4,0.1941,0.1056
genetic_greedy,8,3,3,square,7.77,0.42,0.3043,0.1871
genetic_greedy,8,4,6,square,14.9,0.3,1.0992,0.7072
genetic_greedy,8,5,5,square,15.1,0.3,1.5609,2.3581
genetic_stochastic,10,10,10,square,36.9,0.3,111.9685,39.2866
genetic_stochastic,10,2,4,square,7.5,0.5,0.3395,0.2398
genetic_stochastic,10,3,3,square,8.03,0.18,0.3796,0.3017
genetic_stochastic,10,4,6,square,16.1,0.3,3.6262,2.6652
genetic_stochastic,10,5,5,square,16.5,0.5,6.6917,6.8099
genetic_stochastic,6,10,10,square,28.9,0.3,14.19,6.4149
genetic_stochastic,6,2,4,square,6.4,0.49,0.1259,0.0411
genetic_stochastic,6,3,3,square,6.77,0.42,0.2254,0.1454
genetic_stochastic,6,4,6,square,12.4,0.49,0.5712,0.3624
genetic_stochastic,6,5,5,square,13.1,0.3,1.3762,1.4765
genetic_stochastic,8,10,10,square,30.6,0.49,40.4235,11.1115
genetic_stochastic,8,2,4,square,7.0,0.0,0.2245,0.0813
genetic_stochastic,8,3,3,square,7.37,0.48,0.2851,0.1781
genetic_stochastic,8,4,6,square,14.7,0.46,1.9619,1.0536
genetic_stochastic,8,5,5,square,15.0,0.0,2.7927,1.7901
greedy,10,10,10,square,39.6,1.2,0.0244,0.0026
greedy,10,2,4,square,8.7,0.46,0.0012,0.0001
greedy,10,3,3,square,8.97,0.41,0.0011,0.0002
greedy,10,4,6,square,17.4,0.66,0.0024,0.0002
greedy,10,5,5,square,17.9,0.7,0.0023,0.0007
greedy,6,10,10,square,31.8,1.25,0.0089,0.0015
greedy,6,2,4,square,6.9,0.3,0.0007,0.0001
greedy,6,3,3,square,7.33,0.54,0.0007,0.0001
greedy,6,4,6,square,14.4,0.49,0.0015,0.0002
greedy,6,5,5,square,14.9,1.04,0.0011,0.0001
greedy,8,10,10,square,34.3,1.27,0.0164,0.0074
greedy,8,2,4,square,7.9,0.3,0.0009,0.0001
greedy,8,3,3,square,8.23,0.56,0.0008,0.0001
greedy,8,4,6,square,16.0,1.0,0.0022,0.0002
greedy,8,5,5,square,16.3,0.64,0.0015,0.0001
merge_greedy,10,10,10,square,51.5,5.0,5.9385,0.5742
merge_greedy,10,2,4,square,11.0,1.84,0.0226,0.0042
merge_greedy,10,3,3,square,9.2,0.4,0.0197,0.0024
merge_greedy,10,4,6,square,24.5,3.11,0.2489,0.0505
