scale,tiles,n,m,run,seed,algorithm,objective_type,status,objective,runtime,bbox_width,bbox_height,num_tiles,total_crossovers,crossovers_needing_completion,total_tiles_completed,completion_rate,avg_tiles_per_incomplete
small,6,3,3,1,42,greedy,square,success,7,0.000606589,7,7,6,,,,,
small,6,3,3,1,42,stochastic_greedy,square,success,8,0.000742464,8,8,6,,,,,
small,6,3,3,1,42,genetic_greedy,square,success,7,0.163186935,7,7,6,12513,695,1245,0.05554223607448254,1.79136690647482
small,6,3,3,1,42,genetic_stochastic,square,success,7,0.180842887,7,7,6,12564,1088,1647,0.0865966252785737,1.5137867647058822
small,6,3,3,2,142,greedy,square,success,7,0.000698962,7,7,6,,,,,
small,6,3,3,2,142,stochastic_greedy,square,success,8,0.000944862,7,8,6,,,,,
small,6,3,3,2,142,genetic_greedy,square,success,7,0.647228763,7,7,6,12578,2944,8693,0.23405946891397678,2.9527853260869565
small,6,3,3,2,142,genetic_stochastic,square,success,6,0.097704093,6,6,6,12597,165,279,0.013098356751607526,1.690909090909091
small,6,3,3,3,242,greedy,square,success,8,0.000655821,8,8,6,,,,,
small,6,3,3,3,242,stochastic_greedy,square,success,8,0.000842333,7,8,6,,,,,
small,6,3,3,3,242,genetic_greedy,square,success,7,0.136031596,7,7,6,12678,23,59,0.0018141662722826945,2.5652173913043477
small,6,3,3,3,242,genetic_stochastic,square,success,7,0.218420743,7,7,6,12561,603,1614,0.0480057320277048,2.6766169154228856
small,6,3,3,4,342,greedy,square,success,7,0.00065006,7,6,6,,,,,
small,6,3,3,4,342,stochastic_greedy,square,success,7,0.000771776,6,7,6,,,,,
small,6,3,3,4,342,genetic_greedy,square,success,7,0.132117129,6,7,6,12563,286,351,0.022765263074106503,1.2272727272727273
small,6,3,3,4,342,genetic_stochastic,square,success,6,0.092795211,6,6,6,12536,258,463,0.020580727504786216,1.7945736434108528
small,6,3,3,5,442,greedy,square,success,7,0.000787741,6,7,6,,,,,
small,6,3,3,5,442,stochastic_greedy,square,success,7,0.000780269,7,7,6,,,,,
small,6,3,3,5,442,genetic_greedy,square,success,7,0.100781008,6,7,6,12550,564,1009,0.0449402390438247,1.7890070921985815
small,6,3,3,5,442,genetic_stochastic,square,success,7,0.237603597,7,7,6,12623,3547,4729,0.28099500911035413,1.3332393572032704
small,6,3,3,6,542,greedy,square,success,7,0.000710561,7,7,6,,,,,
small,6,3,3,6,542,stochastic_greedy,square,success,7,0.000667377,7,7,6,,,,,
small,6,3,3,6,542,genetic_greedy,square,success,7,0.128839178,7,7,6,12574,360,739,0.02863050739621441,2.0527777777777776
small,6,3,3,6,542,genetic_stochastic,square,success,7,0.151397134,6,7,6,12532,728,1113,0.058091286307053944,1.5288461538461537
small,6,3,3,7,642,greedy,square,success,8,0.000641214,8,7,6,,,,,
small,6,3,3,7,642,stochastic_greedy,square,success,7,0.000702572,7,7,6,,,,,
small,6,3,3,7,642,genetic_greedy,square,success,7,0.117267897,7,6,6,12702,642,689,0.05054322153991497,1.073208722741433
small,6,3,3,7,642,genetic_stochastic,square,success,7,0.163994565,7,7,6,12549,1598,2359,0.12734082397003746,1.4762202753441802
small,6,3,3,8,742,greedy,square,success,7,0.000577537,6,7,6,,,,,
small,6,3,3,8,742,stochastic_greedy,square,success,7,0.000767826,7,7,6,,,,,
small,6,3,3,8,742,genetic_greedy,square,success,7,0.093678438,6,7,6,12650,66,130,0.0052173913043478265,1.9696969696969697
small,6,3,3,8,742,genetic_stochastic,square,success,7,0.36213484,7,7,6,12621,1960,4793,0.1552967276760954,2.445408163265306
small,6,3,3,9,842,greedy,square,success,8,0.000567616,7,8,6,,,,,
small,6,3,3,9,842,stochastic_greedy,square,success,7,0.000671214,7,7,6,,,,,
small,6,3,3,9,842,genetic_greedy,square,success,7,0.126470058,7,7,6,12507,3,6,0.00023986567522187575,2.0
small,6,3,3,9,842,genetic_stochastic,square,success,6,0.150826846,6,6,6,12578,1621,2503,0.12887581491493083,1.5441085749537322
small,6,3,3,10,942,greedy,square,success,7,0.000652981,7,7,6,,,,,
small,6,3,3,10,942,stochastic_greedy,square,success,8,0.00075167,8,8,6,,,,,
small,6,3,3,10,942,genetic_greedy,square,success,7,0.174545408,7,7,6,12502,1553,1744,0.12422012478003519,1.1229877656149387
small,6,3,3,10,942,genetic_stochastic,square,success,7,0.200329551,7,7,6,12601,983,1570,0.07800968177128799,1.5971515768056967
small,6,5,5,1,42,greedy,square,success,15,0.001149,15,15,6,,,,,
small,6,5,5,1,42,stochastic_greedy,square,success,14,0.001284,13,14,6,,,,,
small,6,5,5,1,42,genetic_greedy,square,success,13,0.29609,13,13,6,12558,124,364,0.009874183787227266,2.935483870967742
small,6,5,5,1,42,genetic_stochastic,square,success,14,3.086588,14,13,6,12584,1853,5272,0.14725047679593134,2.845116028062601
small,6,5,5,2,142,greedy,square,success,13,0.001153,13,13,6,,,,,
small,6,5,5,2,142,stochastic_greedy,square,success,16,0.001254,12,16,6,,,,,
small,6,5,5,2,142,genetic_greedy,square,success,14,0.576969,12,14,6,12598,477,1045,0.03786315288140975,2.190775681341719
small,6,5,5,2,142,genetic_stochastic,square,success,13,5.18906,13,13,6,12597,3658,9115,0.2903865999841232,2.491798797156916
small,6,5,5,3,242,greedy,square,success,16,0.001249,16,16,6,,,,,
small,6,5,5,3,242,stochastic_greedy,square,success,15,0.001364,14,15,6,,,,,
small,6,5,5,3,242,genetic_greedy,square,success,14,0.304956,14,14,6,12598,136,237,0.010795364343546594,1.7426470588235294
small,6,5,5,3,242,genetic_stochastic,square,success,13,0.61759,13,13,6,12667,613,1263,0.04839346332991237,2.060358890701468
small,6,5,5,4,342,greedy,square,success,15,0.001203,15,13,6,,,,,
small,6,5,5,4,342,stochastic_greedy,square,success,15,0.001304,14,15,6,,,,,
small,6,5,5,4,342,genetic_greedy,square,success,14,0.938141,14,14,6,12722,618,1491,0.04857726772520044,2.412621359223301
small,6,5,5,4,342,genetic_stochastic,square,success,13,0.369357,13,13,6,12614,242,557,0.019185032503567463,2.3016528925619837
small,6,5,5,5,442,greedy,square,success,15,0.001084,15,15,6,,,,,
small,6,5,5,5,442,stochastic_greedy,square,success,15,0.001423,14,15,6,,,,,
small,6,5,5,5,442,genetic_greedy,square,success,13,0.516103,13,13,6,12626,394,701,0.031205449073340726,1.7791878172588833
small,6,5,5,5,442,genetic_stochastic,square,success,13,0.401218,13,13,6,12640,214,543,0.016930379746835443,2.5373831775700935
small,6,5,5,6,542,greedy,square,success,15,0.001048,12,15,6,,,,,
small,6,5,5,6,542,stochastic_greedy,square,success,15,0.001226,15,12,6,,,,,
small,6,5,5,6,542,genetic_greedy,square,success,14,0.986921,14,14,6,12583,1381,1458,0.10975125168878645,1.055756698044895
small,6,5,5,6,542,genetic_stochastic,square,success,13,0.843119,13,13,6,12561,523,1147,0.04163681235570416,2.1931166347992352
small,6,5,5,7,642,greedy,square,success,16,0.001268,15,16,6,,,,,
small,6,5,5,7,642,stochastic_greedy,square,success,14,0.001219,14,12,6,,,,,
small,6,5,5,7,642,genetic_greedy,square,success,13,0.254445,13,13,6,12639,103,293,0.008149378906559063,2.8446601941747574
small,6,5,5,7,642,genetic_stochastic,square,success,13,0.623178,13,13,6,12608,377,976,0.029901649746192895,2.5888594164456236
small,6,5,5,8,742,greedy,square,success,15,0.00108,13,15,6,,,,,
small,6,5,5,8,742,stochastic_greedy,square,success,15,0.00135,14,15,6,,,,,
