algorithm,tiles,n,m,num_runs,successful_runs,obj_mean,obj_min,obj_max,obj_std,runtime_mean,runtime_min,runtime_max,runtime_std,crossovers_mean,completion_rate_mean,tiles_completed_mean,cplex_optimal,cplex_feasible,cplex_infeasible,cplex_timeout,cplex_failed
greedy,6,3,3,30,30,7.333333333333333,6,8,0.5374838498865699,0.0006645478,0.000532111,0.000791889,7.263475689750741e-05,,,,,,,,
stochastic_greedy,6,3,3,30,30,7.466666666666667,6,8,0.5617433182117573,0.0006966151000000001,0.000527733,0.000944862,0.0001014472325758076,,,,,,,,
genetic_greedy,6,3,3,30,30,7.0,6,8,0.3651483716701107,0.16451884686666668,0.067381184,0.647228763,0.1233536451020204,12590.333333333334,0.05561663491178057,1299.2,,,,,
genetic_stochastic,6,3,3,30,30,6.766666666666667,6,7,0.4229525846816507,0.22535352893333332,0.07826708,0.760763535,0.14541569491311918,12593.233333333334,0.12190313129618006,2814.0666666666666,,,,,
cplex,6,3,3,10,10,6.6,6,7,0.4898979485566356,1.1943461594,0.27409071,2.547103724,0.7764020304588934,,,,10,0,0,0,0
merge_greedy,6,3,3,10,10,7.7,6,9,0.9,0.006566904399999999,0.003877776,0.010643255,0.0021774032121171863,,,,,,,,
beam_search,6,3,3,10,10,7.0,6,8,0.4472135954999579,0.0199157172,0.013331478,0.028794814,0.004440800663768501,,,,,,,,
greedy,8,3,3,30,30,8.233333333333333,7,9,0.5587684871413403,0.0008485291,0.000626471,0.001187047,0.00012615408740408165,,,,,,,,
stochastic_greedy,8,3,3,30,30,8.4,7,9,0.5537749241945383,0.0008737407,0.000619742,0.003394395,0.00048212148730765296,,,,,,,,
genetic_greedy,8,3,3,30,30,7.766666666666667,7,8,0.4229525846816507,0.30427832573333335,0.098162456,0.968817793,0.18711684767458006,12605.366666666667,0.1054770454539699,3033.366666666667,,,,,
genetic_stochastic,8,3,3,30,30,7.366666666666666,7,8,0.4818944098266987,0.2851297461333333,0.082566712,0.771813792,0.17812725453660633,12604.866666666667,0.11909021417535819,3707.133333333333,,,,,
cplex,8,3,3,10,10,7.3,7,8,0.45825756949558405,18.7366012955,2.762432587,63.791393905,22.28700617717821,,,,10,0,0,0,0
