scale,tiles,n,m,run,seed,algorithm,objective_type,status,objective,runtime,bbox_width,bbox_height,num_tiles,total_crossovers,crossovers_needing_completion,total_tiles_completed,completion_rate,avg_tiles_per_incomplete
structured,,,,1,,merge_greedy,square,success,15,1.74833912,12,15,50,,,,,
structured,,,,1,,greedy,square,success,13,0.00446769,13,13,50,,,,,
structured,,,,1,,stochastic_greedy,square,success,14,0.005037901,14,14,50,,,,,
structured,,,,1,,genetic_greedy,square,success,13,5.824638022,13,13,50,28371,301,11934,0.010609425117197138,39.647840531561464
structured,,,,1,,genetic_stochastic,square,success,13,13.878516796,13,13,50,28410,1601,47046,0.05635339669130588,29.38538413491568
structured,,,,1,,beam_search,square,success,13,27.395022168,13,13,50,,,,,
structured,,,,1,,merge_greedy,square,success,14,7.097419096,14,14,50,,,,,
structured,,,,1,,greedy,square,success,14,0.00938213,14,14,50,,,,,
structured,,,,1,,stochastic_greedy,square,success,14,0.00846851,14,14,50,,,,,
structured,,,,1,,genetic_greedy,square,success,14,175.0683369,14,14,50,28387,9461,162021,0.33328636347623913,17.12514533347426
structured,,,,1,,genetic_stochastic,square,success,14,42.584915439,14,14,50,28270,9181,54821,0.3247612309869119,5.971136041825509
structured,,,,1,,beam_search,square,success,14,124.652022059,14,14,50,,,,,
structured,,,,1,,merge_greedy,square,success,17,1.82194872,13,17,50,,,,,
structured,,,,1,,greedy,square,success,14,0.004744236,14,14,50,,,,,
structured,,,,1,,stochastic_greedy,square,success,16,0.005392934,16,16,50,,,,,
structured,,,,1,,genetic_greedy,square,success,14,10.962904791,14,14,50,28363,667,27328,0.023516553256002538,40.97151424287856
structured,,,,1,,genetic_stochastic,square,success,14,22.431017334,13,14,50,28270,1933,65517,0.06837637071100106,33.89394723228143
structured,,,,1,,beam_search,square,success,14,25.978636354,14,14,50,,,,,
structured,,,,1,,merge_greedy,square,success,38,52.329831064,38,25,50,,,,,
structured,,,,1,,greedy,square,success,33,0.130428726,33,33,50,,,,,
structured,,,,1,,stochastic_greedy,square,success,34,0.099154332,34,33,50,,,,,
structured,,,,1,,genetic_greedy,square,success,32,358.620971966,32,32,50,28377,757,31996,0.026676533812594706,42.2668428005284
structured,,,,1,,genetic_stochastic,square,success,31,470.639047087,31,31,50,28198,1141,48521,0.04046386268529683,42.52497808939527
structured,,,,1,,beam_search,square,success,30,197.054588004,30,29,50,,,,,
structured,,,,1,,merge_greedy,square,success,18,2.193676275,13,18,50,,,,,
structured,,,,1,,greedy,square,success,16,0.005115378,16,16,50,,,,,
structured,,,,1,,stochastic_greedy,square,success,16,0.005553804,15,16,50,,,,,
structured,,,,1,,genetic_greedy,square,success,15,16.453063148,15,15,50,28273,1146,45956,0.040533371060729316,40.10122164048865
structured,,,,1,,genetic_stochastic,square,success,15,17.369793354,15,15,50,28294,1199,46964,0.042376475577861034,39.169307756463716
structured,,,,1,,beam_search,square,success,15,25.834911181,14,15,50,,,,,
structured,,,,1,,merge_greedy,square,success,40,128.207188865,40,28,50,,,,,
structured,,,,1,,greedy,square,success,34,0.050345861,34,34,50,,,,,
structured,,,,1,,stochastic_greedy,square,success,36,0.058032999,34,36,50,,,,,
structured,,,,1,,genetic_greedy,square,success,33,458.199439566,33,33,50,28282,1400,60439,0.04950144968531221,43.17071428571428
structured,,,,1,,merge_greedy,square,success,15,1.228962787,9,15,50,,,,,
structured,,,,1,,greedy,square,success,11,0.003605556,11,11,50,,,,,
structured,,,,1,,stochastic_greedy,square,success,12,0.003766125,12,12,50,,,,,
structured,,,,1,,genetic_greedy,square,success,10,8.155632993,10,10,50,28342,2282,47831,0.08051654787947216,20.960122699386503
structured,,,,1,,genetic_stochastic,square,success,11,44.871436322,11,11,50,28475,7748,258772,0.27209833187006144,33.39855446566856
structured,,,,1,,beam_search,square,success,11,29.446588982,11,11,50,,,,,
structured,,,,1,,merge_greedy,square,success,16,6.760125187,14,16,50,,,,,
structured,,,,1,,greedy,square,success,15,0.008833674,14,15,50,,,,,
structured,,,,1,,stochastic_greedy,square,success,17,0.009669554,17,17,50,,,,,
structured,,,,1,,genetic_greedy,square,success,14,25.355734549,14,14,50,28209,1740,29441,0.06168244177390195,16.920114942528734
structured,,,,1,,genetic_stochastic,square,success,14,40.830886895,14,14,50,28222,6086,53623,0.21564736730210474,8.810877423595137
structured,,,,1,,beam_search,square,success,14,130.070654095,14,14,50,,,,,
structured,,,,1,,merge_greedy,square,success,16,1.993201414,16,13,50,,,,,
structured,,,,1,,greedy,square,success,14,0.004626443,14,14,50,,,,,
structured,,,,1,,stochastic_greedy,square,success,16,0.005416566,16,15,50,,,,,
structured,,,,1,,genetic_greedy,square,success,14,13.026372931,14,14,50,28209,808,34091,0.028643340777765963,42.19183168316832
structured,,,,1,,genetic_stochastic,square,success,14,18.310921046,14,14,50,28325,1591,59375,0.05616946160635481,37.31929604022627
structured,,,,1,,beam_search,square,success,14,26.41288558,14,14,50,,,,,
structured,,,,1,,merge_greedy,square,success,31,40.248927345,31,31,50,,,,,
structured,,,,1,,greedy,square,success,32,0.041177051,32,32,50,,,,,
structured,,,,1,,stochastic_greedy,square,success,34,0.047627138,33,34,50,,,,,
structured,,,,1,,genetic_greedy,square,success,32,366.906460282,32,32,50,28429,885,39786,0.031130183967075873,44.95593220338983
structured,,,,1,,genetic_stochastic,square,success,32,626.277763758,32,32,50,28341,1755,72726,0.0619244204509368,41.43931623931624
structured,,,,1,,beam_search,square,success,31,183.280234859,31,31,50,,,,,
structured,,,,1,,merge_greedy,square,success,15,2.247182818,15,15,50,,,,,
structured,,,,1,,greedy,square,success,15,0.005565357,15,15,50,,,,,
structured,,,,1,,stochastic_greedy,square,success,17,0.005590529,17,16,50,,,,,
structured,,,,1,,genetic_greedy,square,success,15,14.334046732,15,15,50,28332,865,35839,0.03053084851051814,41.43236994219653
structured,,,,1,,genetic_stochastic,square,success,15,17.790066122,15,15,50,28428,1169,48296,0.0411214295764739,41.31394354148845
structured,,,,1,,beam_search,square,success,15,27.357561235,15,14,50,,,,,
structured,,,,1,,merge_greedy,square,success,40,96.513709471,28,40,50,,,,,
structured,,,,1,,greedy,square,success,35,0.059415134,34,35,50,,,,,
structured,,,,1,,stochastic_greedy,square,success,35,0.061199227,35,35,50,,,,,
structured,,,,1,,genetic_greedy,square,success,34,278.529706485,34,34,50,28337,680,30122,0.023996894519532765,44.29705882352941
structured,,,,1,,genetic_stochastic,square,success,34,318.484124139,34,34,50,28422,866,37356,0.030469354725212863,43.13625866050808
structured,,,,1,,beam_search,square,success,34,185.56757547,34,33,50,,,,,
