scale,source_height,source_width,optimal_area,tiles,n,m,run,seed,algorithm,objective_type,pattern,status,objective,runtime,bbox_width,bbox_height,num_tiles,compression_ratio
structured,14,14,196,50,3,3,1,42,merge_greedy,square,blocks,success,14,1.239882,10,14,50,14.0
structured,14,14,196,50,3,3,1,42,greedy,square,blocks,success,11,0.002848,10,11,50,17.818181818181817
structured,14,14,196,50,3,3,1,42,stochastic_greedy,square,blocks,success,13,0.003555,13,12,50,15.076923076923077
structured,14,14,196,50,3,3,1,42,genetic_greedy,square,blocks,success,10,7.169233,10,10,50,19.6
structured,14,14,196,50,3,3,1,42,genetic_stochastic,square,blocks,success,10,6.072311,10,10,50,19.6
structured,14,14,196,50,3,3,1,42,beam_search,square,blocks,success,10,23.845331,10,10,50,19.6
structured,14,14,196,50,5,5,1,42,merge_greedy,square,blocks,success,17,6.645328,17,12,50,11.529411764705882
structured,14,14,196,50,5,5,1,42,greedy,square,blocks,success,16,0.007729,15,16,50,12.25
structured,14,14,196,50,5,5,1,42,stochastic_greedy,square,blocks,success,14,0.006964,14,14,50,14.0
structured,14,14,196,50,5,5,1,42,genetic_greedy,square,blocks,success,14,47.635092,14,14,50,14.0
structured,14,14,196,50,5,5,1,42,genetic_stochastic,square,blocks,success,14,29.031173,14,14,50,14.0
structured,14,14,196,50,5,5,1,42,beam_search,square,blocks,success,15,107.678063,15,14,50,13.066666666666666
structured,36,36,1296,50,3,3,1,42,merge_greedy,square,blocks,success,19,1.766456,19,12,50,68.21052631578948
structured,36,36,1296,50,3,3,1,42,greedy,square,blocks,success,17,0.004141,16,17,50,76.23529411764706
structured,36,36,1296,50,3,3,1,42,stochastic_greedy,square,blocks,success,18,0.005472,18,18,50,72.0
structured,36,36,1296,50,3,3,1,42,genetic_greedy,square,blocks,success,15,10.325539,15,15,50,86.4
structured,36,36,1296,50,3,3,1,42,genetic_stochastic,square,blocks,success,15,15.246032,15,15,50,86.4
structured,36,36,1296,50,3,3,1,42,beam_search,square,blocks,success,16,23.641701,16,16,50,81.0
structured,36,36,1296,50,5,5,1,42,merge_greedy,square,blocks,success,30,9.75868,30,18,50,43.2
structured,36,36,1296,50,5,5,1,42,greedy,square,blocks,success,27,0.017693,26,27,50,48.0
structured,36,36,1296,50,5,5,1,42,stochastic_greedy,square,blocks,success,24,0.0213,24,24,50,54.0
structured,36,36,1296,50,5,5,1,42,genetic_greedy,square,blocks,success,23,123.868952,23,23,50,56.34782608695652
structured,36,36,1296,50,5,5,1,42,genetic_stochastic,square,blocks,success,22,202.259035,21,22,50,58.90909090909091
structured,36,36,1296,50,5,5,1,42,beam_search,square,blocks,success,24,93.724942,22,24,50,54.0
structured,64,64,4096,50,3,3,1,42,merge_greedy,square,blocks,success,19,3.090626,19,15,50,215.57894736842104
structured,64,64,4096,50,3,3,1,42,greedy,square,blocks,success,19,0.008082,19,19,50,215.57894736842104
structured,64,64,4096,50,3,3,1,42,stochastic_greedy,square,blocks,success,20,0.009204,20,20,50,204.8
structured,64,64,4096,50,3,3,1,42,genetic_greedy,square,blocks,success,18,17.51075,18,18,50,227.55555555555554
structured,64,64,4096,50,3,3,1,42,genetic_stochastic,square,blocks,success,18,23.353778,18,18,50,227.55555555555554
structured,64,64,4096,50,3,3,1,42,beam_search,square,blocks,success,18,22.119181,18,18,50,227.55555555555554
structured,64,64,4096,50,5,5,1,42,merge_greedy,square,blocks,success,29,16.643887,25,29,50,141.24137931034483
structured,64,64,4096,50,5,5,1,42,greedy,square,blocks,success,31,0.034655,31,31,50,132.1290322580645
structured,64,64,4096,50,5,5,1,42,stochastic_greedy,square,blocks,success,29,0.040877,29,29,50,141.24137931034483
structured,64,64,4096,50,5,5,1,42,genetic_greedy,square,blocks,success,28,101.58617,28,28,50,146.28571428571428
structured,64,64,4096,50,5,5,1,42,genetic_stochastic,square,blocks,success,28,257.300857,27,28,50,146.28571428571428
structured,64,64,4096,50,5,5,1,42,beam_search,square,blocks,success,28,101.078555,28,28,50,146.28571428571428
