algorithm,source_height,source_width,optimal_area,tiles,n,m,num_runs,successful_runs,obj_mean,obj_min,obj_max,obj_std,runtime_mean,runtime_min,runtime_max,runtime_std,compression_mean,compression_min,compression_max
merge_greedy,14,14,196,50,3,3,1,1,14.0,14,14,0,1.239882,1.239882,1.239882,0,14.0,14.0,14.0
greedy,14,14,196,50,3,3,1,1,11.0,11,11,0,0.002848,0.002848,0.002848,0,17.818181818181817,17.818181818181817,17.818181818181817
stochastic_greedy,14,14,196,50,3,3,1,1,13.0,13,13,0,0.003555,0.003555,0.003555,0,15.076923076923077,15.076923076923077,15.076923076923077
genetic_greedy,14,14,196,50,3,3,1,1,10.0,10,10,0,7.169233,7.169233,7.169233,0,19.6,19.6,19.6
genetic_stochastic,14,14,196,50,3,3,1,1,10.0,10,10,0,6.072311,6.072311,6.072311,0,19.6,19.6,19.6
beam_search,14,14,196,50,3,3,1,1,10.0,10,10,0,23.845331,23.845331,23.845331,0,19.6,19.6,19.6
merge_greedy,14,14,196,50,5,5,1,1,17.0,17,17,0,6.645328,6.645328,6.645328,0,11.529411764705882,11.529411764705882,11.529411764705882
greedy,14,14,196,50,5,5,1,1,16.0,16,16,0,0.007729,0.007729,0.007729,0,12.25,12.25,12.25
stochastic_greedy,14,14,196,50,5,5,1,1,14.0,14,14,0,0.006964,0.006964,0.006964,0,14.0,14.0,14.0
genetic_greedy,14,14,196,50,5,5,1,1,14.0,14,14,0,47.635092,47.635092,47.635092,0,14.0,14.0,14.0
genetic_stochastic,14,14,196,50,5,5,1,1,14.0,14,14,0,29.031173,29.031173,29.031173,0,14.0,14.0,14.0
beam_search,14,14,196,50,5,5,1,1,15.0,15,15,0,107.678063,107.678063,107.678063,0,13.066666666666666,13.066666666666666,13.066666666666666
merge_greedy,36,36,1296,50,3,3,1,1,19.0,19,19,0,1.766456,1.766456,1.766456,0,68.21052631578948,68.21052631578948,68.21052631578948
greedy,36,36,1296,50,3,3,1,1,17.0,17,17,0,0.004141,0.004141,0.004141,0,76.23529411764706,76.23529411764706,76.23529411764706
stochastic_greedy,36,36,1296,50,3,3,1,1,18.0,18,18,0,0.005472,0.005472,0.005472,0,72.0,72.0,72.0
genetic_greedy,36,36,1296,50,3,3,1,1,15.0,15,15,0,10.325539,10.325539,10.325539,0,86.4,86.4,86.4
genetic_stochastic,36,36,1296,50,3,3,1,1,15.0,15,15,0,15.246032,15.246032,15.246032,0,86.4,86.4,86.4
beam_search,36,36,1296,50,3,3,1,1,16.0,16,16,0,23.641701,23.641701,23.641701,0,81.0,81.0,81.0
merge_greedy,36,36,1296,50,5,5,1,1,30.0,30,30,0,9.75868,9.75868,9.75868,0,43.2,43.2,43.2
greedy,36,36,1296,50,5,5,1,1,27.0,27,27,0,0.017693,0.017693,0.017693,0,48.0,48.0,48.0
stochastic_greedy,36,36,1296,50,5,5,1,1,24.0,24,24,0,0.0213,0.0213,0.0213,0,54.0,54.0,54.0
genetic_greedy,36,36,1296,50,5,5,1,1,23.0,23,23,0,123.868952,123.868952,123.868952,0,56.34782608695652,56.34782608695652,56.34782608695652
genetic_stochastic,36,36,1296,50,5,5,1,1,22.0,22,22,0,202.259035,202.259035,202.259035,0,58.90909090909091,58.90909090909091,58.90909090909091
beam_search,36,36,1296,50,5,5,1,1,24.0,24,24,0,93.724942,93.724942,93.724942,0,54.0,54.0,54.0
merge_greedy,64,64,4096,50,3,3,1,1,19.0,19,19,0,3.090626,3.090626,3.090626,0,215.57894736842104,215.57894736842104,215.57894736842104
greedy,64,64,4096,50,3,3,1,1,19.0,19,19,0,0.008082,0.008082,0.008082,0,215.57894736842104,215.57894736842104,215.57894736842104
stochastic_greedy,64,64,4096,50,3,3,1,1,20.0,20,20,0,0.009204,0.009204,0.009204,0,204.8,204.8,204.8
genetic_greedy,64,64,4096,50,3,3,1,1,18.0,18,18,0,17.51075,17.51075,17.51075,0,227.55555555555554,227.55555555555554,227.55555555555554
genetic_stochastic,64,64,4096,50,3,3,1,1,18.0,18,18,0,23.353778,23.353778,23.353778,0,227.55555555555554,227.55555555555554,227.55555555555554
beam_search,64,64,4096,50,3,3,1,1,18.0,18,18,0,22.119181,22.119181,22.119181,0,227.55555555555554,227.55555555555554,227.55555555555554
merge_greedy,64,64,4096,50,5,5,1,1,29.0,29,29,0,16.643887,16.643887,16.643887,0,141.24137931034483,141.24137931034483,141.24137931034483
greedy,64,64,4096,50,5,5,1,1,31.0,31,31,0,0.034655,0.034655,0.034655,0,132.1290322580645,132.1290322580645,132.1290322580645
stochastic_greedy,64,64,4096,50,5,5,1,1,29.0,29,29,0,0.040877,0.040877,0.040877,0,141.24137931034483,141.24137931034483,141.24137931034483
genetic_greedy,64,64,4096,50,5,5,1,1,28.0,28,28,0,101.58617,101.58617,101.58617,0,146.28571428571428,146.28571428571428,146.28571428571428
genetic_stochastic,64,64,4096,50,5,5,1,1,28.0,28,28,0,257.300857,257.300857,257.300857,0,146.28571428571428,146.28571428571428,146.28571428571428
beam_search,64,64,4096,50,5,5,1,1,28.0,28,28,0,101.078555,101.078555,101.078555,0,146.28571428571428,146.28571428571428,146.28571428571428
