scale,source_height,source_width,optimal_area,tiles,n,m,run,seed,algorithm,objective_type,pattern,status,objective,runtime,bbox_width,bbox_height,num_tiles,compression_ratio
structured,14,14,196,50,3,3,1,42,merge_greedy,square,checkerboard,success,17,1.169528,17,6,50,11.529411764705882
structured,14,14,196,50,3,3,1,42,greedy,square,checkerboard,success,11,0.00384,9,11,50,17.818181818181817
structured,14,14,196,50,3,3,1,42,stochastic_greedy,square,checkerboard,success,10,0.003795,10,10,50,19.6
structured,14,14,196,50,3,3,1,42,genetic_greedy,square,checkerboard,success,10,5.446928,10,10,50,19.6
structured,14,14,196,50,3,3,1,42,genetic_stochastic,square,checkerboard,success,9,4.936217,9,9,50,21.77777777777778
structured,14,14,196,50,3,3,1,42,beam_search,square,checkerboard,success,10,24.171375,10,10,50,19.6
structured,14,14,196,50,5,5,1,42,merge_greedy,square,checkerboard,success,20,5.615251,20,6,50,9.8
structured,14,14,196,50,5,5,1,42,greedy,square,checkerboard,success,13,0.00662,13,13,50,15.076923076923077
structured,14,14,196,50,5,5,1,42,stochastic_greedy,square,checkerboard,success,13,0.005321,13,13,50,15.076923076923077
structured,14,14,196,50,5,5,1,42,genetic_greedy,square,checkerboard,success,12,11.33718,12,12,50,16.333333333333332
structured,14,14,196,50,5,5,1,42,genetic_stochastic,square,checkerboard,success,12,24.316104,12,12,50,16.333333333333332
structured,14,14,196,50,5,5,1,42,beam_search,square,checkerboard,success,13,131.939908,13,13,50,15.076923076923077
structured,36,36,1296,50,3,3,1,42,merge_greedy,square,checkerboard,success,21,1.879075,21,10,50,61.714285714285715
structured,36,36,1296,50,3,3,1,42,greedy,square,checkerboard,success,15,0.004571,15,15,50,86.4
structured,36,36,1296,50,3,3,1,42,stochastic_greedy,square,checkerboard,success,17,0.005386,15,17,50,76.23529411764706
structured,36,36,1296,50,3,3,1,42,genetic_greedy,square,checkerboard,success,15,10.729648,15,15,50,86.4
structured,36,36,1296,50,3,3,1,42,genetic_stochastic,square,checkerboard,success,15,16.771583,15,15,50,86.4
structured,36,36,1296,50,3,3,1,42,beam_search,square,checkerboard,success,15,20.706149,15,15,50,86.4
structured,36,36,1296,50,5,5,1,42,merge_greedy,square,checkerboard,success,24,7.818956,24,16,50,54.0
structured,36,36,1296,50,5,5,1,42,greedy,square,checkerboard,success,23,0.01402,23,23,50,56.34782608695652
structured,36,36,1296,50,5,5,1,42,stochastic_greedy,square,checkerboard,success,22,0.017011,20,22,50,58.90909090909091
structured,36,36,1296,50,5,5,1,42,genetic_greedy,square,checkerboard,success,20,34.36872,20,20,50,64.8
structured,36,36,1296,50,5,5,1,42,genetic_stochastic,square,checkerboard,success,19,84.279554,19,19,50,68.21052631578948
structured,36,36,1296,50,5,5,1,42,beam_search,square,checkerboard,success,22,100.764215,22,20,50,58.90909090909091
structured,64,64,4096,50,3,3,1,42,merge_greedy,square,checkerboard,success,23,1.816565,23,10,50,178.08695652173913
structured,64,64,4096,50,3,3,1,42,greedy,square,checkerboard,success,17,0.004821,17,17,50,240.94117647058823
structured,64,64,4096,50,3,3,1,42,stochastic_greedy,square,checkerboard,success,18,0.006406,18,18,50,227.55555555555554
structured,64,64,4096,50,3,3,1,42,genetic_greedy,square,checkerboard,success,16,17.342427,16,16,50,256.0
structured,64,64,4096,50,3,3,1,42,genetic_stochastic,square,checkerboard,success,15,11.612551,15,15,50,273.06666666666666
structured,64,64,4096,50,3,3,1,42,beam_search,square,checkerboard,success,15,22.476545,15,15,50,273.06666666666666
structured,64,64,4096,50,5,5,1,42,merge_greedy,square,checkerboard,success,20,6.793323,20,18,50,204.8
structured,64,64,4096,50,5,5,1,42,greedy,square,checkerboard,success,20,0.014425,20,20,50,204.8
structured,64,64,4096,50,5,5,1,42,stochastic_greedy,square,checkerboard,success,22,0.014658,21,22,50,186.1818181818182
structured,64,64,4096,50,5,5,1,42,genetic_greedy,square,checkerboard,success,20,57.429417,20,19,50,204.8
structured,64,64,4096,50,5,5,1,42,genetic_stochastic,square,checkerboard,success,19,70.609287,19,19,50,215.57894736842104
structured,64,64,4096,50,5,5,1,42,beam_search,square,checkerboard,success,20,95.772163,20,20,50,204.8
