algorithm,source_height,source_width,optimal_area,tiles,n,m,num_runs,successful_runs,obj_mean,obj_min,obj_max,obj_std,runtime_mean,runtime_min,runtime_max,runtime_std,compression_mean,compression_min,compression_max
merge_greedy,14,14,196,50,3,3,1,1,17.0,17,17,0,1.169528,1.169528,1.169528,0,11.529411764705882,11.529411764705882,11.529411764705882
greedy,14,14,196,50,3,3,1,1,11.0,11,11,0,0.00384,0.00384,0.00384,0,17.818181818181817,17.818181818181817,17.818181818181817
stochastic_greedy,14,14,196,50,3,3,1,1,10.0,10,10,0,0.003795,0.003795,0.003795,0,19.6,19.6,19.6
genetic_greedy,14,14,196,50,3,3,1,1,10.0,10,10,0,5.446928,5.446928,5.446928,0,19.6,19.6,19.6
genetic_stochastic,14,14,196,50,3,3,1,1,9.0,9,9,0,4.936217,4.936217,4.936217,0,21.77777777777778,21.77777777777778,21.77777777777778
beam_search,14,14,196,50,3,3,1,1,10.0,10,10,0,24.171375,24.171375,24.171375,0,19.6,19.6,19.6
merge_greedy,14,14,196,50,5,5,1,1,20.0,20,20,0,5.615251,5.615251,5.615251,0,9.8,9.8,9.8
greedy,14,14,196,50,5,5,1,1,13.0,13,13,0,0.00662,0.00662,0.00662,0,15.076923076923077,15.076923076923077,15.076923076923077
stochastic_greedy,14,14,196,50,5,5,1,1,13.0,13,13,0,0.005321,0.005321,0.005321,0,15.076923076923077,15.076923076923077,15.076923076923077
genetic_greedy,14,14,196,50,5,5,1,1,12.0,12,12,0,11.33718,11.33718,11.33718,0,16.333333333333332,16.333333333333332,16.333333333333332
genetic_stochastic,14,14,196,50,5,5,1,1,12.0,12,12,0,24.316104,24.316104,24.316104,0,16.333333333333332,16.333333333333332,16.333333333333332
beam_search,14,14,196,50,5,5,1,1,13.0,13,13,0,131.939908,131.939908,131.939908,0,15.076923076923077,15.076923076923077,15.076923076923077
merge_greedy,36,36,1296,50,3,3,1,1,21.0,21,21,0,1.879075,1.879075,1.879075,0,61.714285714285715,61.714285714285715,61.714285714285715
greedy,36,36,1296,50,3,3,1,1,15.0,15,15,0,0.004571,0.004571,0.004571,0,86.4,86.4,86.4
stochastic_greedy,36,36,1296,50,3,3,1,1,17.0,17,17,0,0.005386,0.005386,0.005386,0,76.23529411764706,76.23529411764706,76.23529411764706
genetic_greedy,36,36,1296,50,3,3,1,1,15.0,15,15,0,10.729648,10.729648,10.729648,0,86.4,86.4,86.4
genetic_stochastic,36,36,1296,50,3,3,1,1,15.0,15,15,0,16.771583,16.771583,16.771583,0,86.4,86.4,86.4
beam_search,36,36,1296,50,3,3,1,1,15.0,15,15,0,20.706149,20.706149,20.706149,0,86.4,86.4,86.4
merge_greedy,36,36,1296,50,5,5,1,1,24.0,24,24,0,7.818956,7.818956,7.818956,0,54.0,54.0,54.0
greedy,36,36,1296,50,5,5,1,1,23.0,23,23,0,0.01402,0.01402,0.01402,0,56.34782608695652,56.34782608695652,56.34782608695652
stochastic_greedy,36,36,1296,50,5,5,1,1,22.0,22,22,0,0.017011,0.017011,0.017011,0,58.90909090909091,58.90909090909091,58.90909090909091
genetic_greedy,36,36,1296,50,5,5,1,1,20.0,20,20,0,34.36872,34.36872,34.36872,0,64.8,64.8,64.8
genetic_stochastic,36,36,1296,50,5,5,1,1,19.0,19,19,0,84.279554,84.279554,84.279554,0,68.21052631578948,68.21052631578948,68.21052631578948
beam_search,36,36,1296,50,5,5,1,1,22.0,22,22,0,100.764215,100.764215,100.764215,0,58.90909090909091,58.90909090909091,58.90909090909091
merge_greedy,64,64,4096,50,3,3,1,1,23.0,23,23,0,1.816565,1.816565,1.816565,0,178.08695652173913,178.08695652173913,178.08695652173913
greedy,64,64,4096,50,3,3,1,1,17.0,17,17,0,0.004821,0.004821,0.004821,0,240.94117647058823,240.94117647058823,240.94117647058823
stochastic_greedy,64,64,4096,50,3,3,1,1,18.0,18,18,0,0.006406,0.006406,0.006406,0,227.55555555555554,227.55555555555554,227.55555555555554
genetic_greedy,64,64,4096,50,3,3,1,1,16.0,16,16,0,17.342427,17.342427,17.342427,0,256.0,256.0,256.0
genetic_stochastic,64,64,4096,50,3,3,1,1,15.0,15,15,0,11.612551,11.612551,11.612551,0,273.06666666666666,273.06666666666666,273.06666666666666
beam_search,64,64,4096,50,3,3,1,1,15.0,15,15,0,22.476545,22.476545,22.476545,0,273.06666666666666,273.06666666666666,273.06666666666666
merge_greedy,64,64,4096,50,5,5,1,1,20.0,20,20,0,6.793323,6.793323,6.793323,0,204.8,204.8,204.8
greedy,64,64,4096,50,5,5,1,1,20.0,20,20,0,0.014425,0.014425,0.014425,0,204.8,204.8,204.8
stochastic_greedy,64,64,4096,50,5,5,1,1,22.0,22,22,0,0.014658,0.014658,0.014658,0,186.1818181818182,186.1818181818182,186.1818181818182
genetic_greedy,64,64,4096,50,5,5,1,1,20.0,20,20,0,57.429417,57.429417,57.429417,0,204.8,204.8,204.8
genetic_stochastic,64,64,4096,50,5,5,1,1,19.0,19,19,0,70.609287,70.609287,70.609287,0,215.57894736842104,215.57894736842104,215.57894736842104
beam_search,64,64,4096,50,5,5,1,1,20.0,20,20,0,95.772163,95.772163,95.772163,0,204.8,204.8,204.8
