scale,source_height,source_width,optimal_area,tiles,n,m,run,seed,algorithm,objective_type,pattern,status,objective,runtime,bbox_width,bbox_height,num_tiles,compression_ratio
structured,14,14,196,50,3,3,1,42,merge_greedy,square,diagonal,success,17,1.195881,17,6,50,11.529411764705882
structured,14,14,196,50,3,3,1,42,greedy,square,diagonal,success,11,0.006501,10,11,50,17.818181818181817
structured,14,14,196,50,3,3,1,42,stochastic_greedy,square,diagonal,success,11,0.005472,11,11,50,17.818181818181817
structured,14,14,196,50,3,3,1,42,genetic_greedy,square,diagonal,success,10,2.515359,10,10,50,19.6
structured,14,14,196,50,3,3,1,42,genetic_stochastic,square,diagonal,success,9,5.69003,9,9,50,21.77777777777778
structured,14,14,196,50,3,3,1,42,beam_search,square,diagonal,success,10,23.763907,10,10,50,19.6
structured,14,14,196,50,5,5,1,42,merge_greedy,square,diagonal,success,20,5.632654,20,6,50,9.8
structured,14,14,196,50,5,5,1,42,greedy,square,diagonal,success,13,0.004653,13,13,50,15.076923076923077
structured,14,14,196,50,5,5,1,42,stochastic_greedy,square,diagonal,success,13,0.004643,13,13,50,15.076923076923077
structured,14,14,196,50,5,5,1,42,genetic_greedy,square,diagonal,success,12,7.212636,12,12,50,16.333333333333332
structured,14,14,196,50,5,5,1,42,genetic_stochastic,square,diagonal,success,12,37.576844,12,12,50,16.333333333333332
structured,14,14,196,50,5,5,1,42,beam_search,square,diagonal,success,13,131.175637,13,13,50,15.076923076923077
structured,36,36,1296,50,3,3,1,42,merge_greedy,square,diagonal,success,21,1.867034,21,10,50,61.714285714285715
structured,36,36,1296,50,3,3,1,42,greedy,square,diagonal,success,16,0.005084,16,16,50,81.0
structured,36,36,1296,50,3,3,1,42,stochastic_greedy,square,diagonal,success,16,0.004501,16,15,50,81.0
structured,36,36,1296,50,3,3,1,42,genetic_greedy,square,diagonal,success,15,17.464469,15,15,50,86.4
structured,36,36,1296,50,3,3,1,42,genetic_stochastic,square,diagonal,success,14,30.662335,14,14,50,92.57142857142857
structured,36,36,1296,50,3,3,1,42,beam_search,square,diagonal,success,15,20.610615,15,15,50,86.4
structured,36,36,1296,50,5,5,1,42,merge_greedy,square,diagonal,success,24,7.17256,24,16,50,54.0
structured,36,36,1296,50,5,5,1,42,greedy,square,diagonal,success,23,0.012131,23,23,50,56.34782608695652
structured,36,36,1296,50,5,5,1,42,stochastic_greedy,square,diagonal,success,21,0.011461,20,21,50,61.714285714285715
structured,36,36,1296,50,5,5,1,42,genetic_greedy,square,diagonal,success,20,37.770941,20,20,50,64.8
structured,36,36,1296,50,5,5,1,42,genetic_stochastic,square,diagonal,success,20,82.406028,20,20,50,64.8
structured,36,36,1296,50,5,5,1,42,beam_search,square,diagonal,success,22,101.436618,22,20,50,58.90909090909091
structured,64,64,4096,50,3,3,1,42,merge_greedy,square,diagonal,success,23,1.844824,23,10,50,178.08695652173913
structured,64,64,4096,50,3,3,1,42,greedy,square,diagonal,success,16,0.007602,14,16,50,256.0
structured,64,64,4096,50,3,3,1,42,stochastic_greedy,square,diagonal,success,17,0.008999,17,17,50,240.94117647058823
structured,64,64,4096,50,3,3,1,42,genetic_greedy,square,diagonal,success,16,25.053749,16,16,50,256.0
structured,64,64,4096,50,3,3,1,42,genetic_stochastic,square,diagonal,success,15,10.690801,15,15,50,273.06666666666666
structured,64,64,4096,50,3,3,1,42,beam_search,square,diagonal,success,15,22.833155,15,15,50,273.06666666666666
structured,64,64,4096,50,5,5,1,42,merge_greedy,square,diagonal,success,20,6.776577,20,18,50,204.8
structured,64,64,4096,50,5,5,1,42,greedy,square,diagonal,success,24,0.01628,24,24,50,170.66666666666666
structured,64,64,4096,50,5,5,1,42,stochastic_greedy,square,diagonal,success,22,0.014884,22,21,50,186.1818181818182
structured,64,64,4096,50,5,5,1,42,genetic_greedy,square,diagonal,success,19,59.442559,19,19,50,215.57894736842104
structured,64,64,4096,50,5,5,1,42,genetic_stochastic,square,diagonal,success,19,69.840805,19,19,50,215.57894736842104
structured,64,64,4096,50,5,5,1,42,beam_search,square,diagonal,success,20,95.438426,20,20,50,204.8
