algorithm,source_height,source_width,optimal_area,tiles,n,m,num_runs,successful_runs,obj_mean,obj_min,obj_max,obj_std,runtime_mean,runtime_min,runtime_max,runtime_std,compression_mean,compression_min,compression_max
merge_greedy,14,14,196,50,3,3,1,1,17.0,17,17,0,1.195881,1.195881,1.195881,0,11.529411764705882,11.529411764705882,11.529411764705882
greedy,14,14,196,50,3,3,1,1,11.0,11,11,0,0.006501,0.006501,0.006501,0,17.818181818181817,17.818181818181817,17.818181818181817
stochastic_greedy,14,14,196,50,3,3,1,1,11.0,11,11,0,0.005472,0.005472,0.005472,0,17.818181818181817,17.818181818181817,17.818181818181817
genetic_greedy,14,14,196,50,3,3,1,1,10.0,10,10,0,2.515359,2.515359,2.515359,0,19.6,19.6,19.6
genetic_stochastic,14,14,196,50,3,3,1,1,9.0,9,9,0,5.69003,5.69003,5.69003,0,21.77777777777778,21.77777777777778,21.77777777777778
beam_search,14,14,196,50,3,3,1,1,10.0,10,10,0,23.763907,23.763907,23.763907,0,19.6,19.6,19.6
merge_greedy,14,14,196,50,5,5,1,1,20.0,20,20,0,5.632654,5.632654,5.632654,0,9.8,9.8,9.8
greedy,14,14,196,50,5,5,1,1,13.0,13,13,0,0.004653,0.004653,0.004653,0,15.076923076923077,15.076923076923077,15.076923076923077
stochastic_greedy,14,14,196,50,5,5,1,1,13.0,13,13,0,0.004643,0.004643,0.004643,0,15.076923076923077,15.076923076923077,15.076923076923077
genetic_greedy,14,14,196,50,5,5,1,1,12.0,12,12,0,7.212636,7.212636,7.212636,0,16.333333333333332,16.333333333333332,16.333333333333332
genetic_stochastic,14,14,196,50,5,5,1,1,12.0,12,12,0,37.576844,37.576844,37.576844,0,16.333333333333332,16.333333333333332,16.333333333333332
beam_search,14,14,196,50,5,5,1,1,13.0,13,13,0,131.175637,131.175637,131.175637,0,15.076923076923077,15.076923076923077,15.076923076923077
merge_greedy,36,36,1296,50,3,3,1,1,21.0,21,21,0,1.867034,1.867034,1.867034,0,61.714285714285715,61.714285714285715,61.714285714285715
greedy,36,36,1296,50,3,3,1,1,16.0,16,16,0,0.005084,0.005084,0.005084,0,81.0,81.0,81.0
stochastic_greedy,36,36,1296,50,3,3,1,1,16.0,16,16,0,0.004501,0.004501,0.004501,0,81.0,81.0,81.0
genetic_greedy,36,36,1296,50,3,3,1,1,15.0,15,15,0,17.464469,17.464469,17.464469,0,86.4,86.4,86.4
genetic_stochastic,36,36,1296,50,3,3,1,1,14.0,14,14,0,30.662335,30.662335,30.662335,0,92.57142857142857,92.57142857142857,92.57142857142857
beam_search,36,36,1296,50,3,3,1,1,15.0,15,15,0,20.610615,20.610615,20.610615,0,86.4,86.4,86.4
merge_greedy,36,36,1296,50,5,5,1,1,24.0,24,24,0,7.17256,7.17256,7.17256,0,54.0,54.0,54.0
greedy,36,36,1296,50,5,5,1,1,23.0,23,23,0,0.012131,0.012131,0.012131,0,56.34782608695652,56.34782608695652,56.34782608695652
stochastic_greedy,36,36,1296,50,5,5,1,1,21.0,21,21,0,0.011461,0.011461,0.011461,0,61.714285714285715,61.714285714285715,61.714285714285715
genetic_greedy,36,36,1296,50,5,5,1,1,20.0,20,20,0,37.770941,37.770941,37.770941,0,64.8,64.8,64.8
genetic_stochastic,36,36,1296,50,5,5,1,1,20.0,20,20,0,82.406028,82.406028,82.406028,0,64.8,64.8,64.8
beam_search,36,36,1296,50,5,5,1,1,22.0,22,22,0,101.436618,101.436618,101.436618,0,58.90909090909091,58.90909090909091,58.90909090909091
merge_greedy,64,64,4096,50,3,3,1,1,23.0,23,23,0,1.844824,1.844824,1.844824,0,178.08695652173913,178.08695652173913,178.08695652173913
greedy,64,64,4096,50,3,3,1,1,16.0,16,16,0,0.007602,0.007602,0.007602,0,256.0,256.0,256.0
stochastic_greedy,64,64,4096,50,3,3,1,1,17.0,17,17,0,0.008999,0.008999,0.008999,0,240.94117647058823,240.94117647058823,240.94117647058823
genetic_greedy,64,64,4096,50,3,3,1,1,16.0,16,16,0,25.053749,25.053749,25.053749,0,256.0,256.0,256.0
genetic_stochastic,64,64,4096,50,3,3,1,1,15.0,15,15,0,10.690801,10.690801,10.690801,0,273.06666666666666,273.06666666666666,273.06666666666666
beam_search,64,64,4096,50,3,3,1,1,15.0,15,15,0,22.833155,22.833155,22.833155,0,273.06666666666666,273.06666666666666,273.06666666666666
merge_greedy,64,64,4096,50,5,5,1,1,20.0,20,20,0,6.776577,6.776577,6.776577,0,204.8,204.8,204.8
greedy,64,64,4096,50,5,5,1,1,24.0,24,24,0,0.01628,0.01628,0.01628,0,170.66666666666666,170.66666666666666,170.66666666666666
stochastic_greedy,64,64,4096,50,5,5,1,1,22.0,22,22,0,0.014884,0.014884,0.014884,0,186.1818181818182,186.1818181818182,186.1818181818182
genetic_greedy,64,64,4096,50,5,5,1,1,19.0,19,19,0,59.442559,59.442559,59.442559,0,215.57894736842104,215.57894736842104,215.57894736842104
genetic_stochastic,64,64,4096,50,5,5,1,1,19.0,19,19,0,69.840805,69.840805,69.840805,0,215.57894736842104,215.57894736842104,215.57894736842104
beam_search,64,64,4096,50,5,5,1,1,20.0,20,20,0,95.438426,95.438426,95.438426,0,204.8,204.8,204.8
