scale,source_height,source_width,optimal_area,tiles,n,m,run,seed,algorithm,objective_type,pattern,status,objective,runtime,bbox_width,bbox_height,num_tiles,compression_ratio
structured,14,14,196,50,3,3,1,42,merge_greedy,square,gradient,success,16,1.378084,13,16,50,12.25
structured,14,14,196,50,3,3,1,42,greedy,square,gradient,success,14,0.003808,14,14,50,14.0
structured,14,14,196,50,3,3,1,42,stochastic_greedy,square,gradient,success,15,0.00367,15,14,50,13.066666666666666
structured,14,14,196,50,3,3,1,42,genetic_greedy,square,gradient,success,14,13.772889,14,14,50,14.0
structured,14,14,196,50,3,3,1,42,genetic_stochastic,square,gradient,success,14,29.511588,14,14,50,14.0
structured,14,14,196,50,3,3,1,42,beam_search,square,gradient,success,14,21.889847,14,14,50,14.0
structured,14,14,196,50,5,5,1,42,merge_greedy,square,gradient,success,14,6.706128,14,14,50,14.0
structured,14,14,196,50,5,5,1,42,greedy,square,gradient,success,14,0.008246,14,14,50,14.0
structured,14,14,196,50,5,5,1,42,stochastic_greedy,square,gradient,success,14,0.008209,14,14,50,14.0
structured,14,14,196,50,5,5,1,42,genetic_greedy,square,gradient,success,14,27.963376,14,14,50,14.0
structured,14,14,196,50,5,5,1,42,genetic_stochastic,square,gradient,success,14,176.924169,14,14,50,14.0
structured,14,14,196,50,5,5,1,42,beam_search,square,gradient,success,14,105.843073,14,14,50,14.0
structured,36,36,1296,50,3,3,1,42,merge_greedy,square,gradient,success,19,1.614818,19,11,50,68.21052631578948
structured,36,36,1296,50,3,3,1,42,greedy,square,gradient,success,16,0.004936,14,16,50,81.0
structured,36,36,1296,50,3,3,1,42,stochastic_greedy,square,gradient,success,17,0.004671,17,17,50,76.23529411764706
structured,36,36,1296,50,3,3,1,42,genetic_greedy,square,gradient,success,15,9.636023,15,15,50,86.4
structured,36,36,1296,50,3,3,1,42,genetic_stochastic,square,gradient,success,15,20.087632,15,15,50,86.4
structured,36,36,1296,50,3,3,1,42,beam_search,square,gradient,success,15,25.732306,15,15,50,86.4
structured,36,36,1296,50,5,5,1,42,merge_greedy,square,gradient,success,31,29.896339,29,31,50,41.806451612903224
structured,36,36,1296,50,5,5,1,42,greedy,square,gradient,success,32,0.032864,32,31,50,40.5
structured,36,36,1296,50,5,5,1,42,stochastic_greedy,square,gradient,success,33,0.047602,33,33,50,39.27272727272727
structured,36,36,1296,50,5,5,1,42,genetic_greedy,square,gradient,success,30,143.766675,30,30,50,43.2
structured,36,36,1296,50,5,5,1,42,genetic_stochastic,square,gradient,success,30,161.588539,29,30,50,43.2
structured,36,36,1296,50,5,5,1,42,beam_search,square,gradient,success,30,127.214262,30,30,50,43.2
structured,64,64,4096,50,3,3,1,42,merge_greedy,square,gradient,success,18,2.018311,18,14,50,227.55555555555554
structured,64,64,4096,50,3,3,1,42,greedy,square,gradient,success,17,0.004732,17,17,50,240.94117647058823
structured,64,64,4096,50,3,3,1,42,stochastic_greedy,square,gradient,success,17,0.005337,17,17,50,240.94117647058823
structured,64,64,4096,50,3,3,1,42,genetic_greedy,square,gradient,success,15,9.999523,15,15,50,273.06666666666666
structured,64,64,4096,50,3,3,1,42,genetic_stochastic,square,gradient,success,15,40.594434,15,15,50,273.06666666666666
structured,64,64,4096,50,3,3,1,42,beam_search,square,gradient,success,15,20.943523,15,15,50,273.06666666666666
structured,64,64,4096,50,5,5,1,42,merge_greedy,square,gradient,success,34,56.009415,30,34,50,120.47058823529412
structured,64,64,4096,50,5,5,1,42,greedy,square,gradient,success,34,0.056096,34,34,50,120.47058823529412
structured,64,64,4096,50,5,5,1,42,stochastic_greedy,square,gradient,success,36,0.06939,36,36,50,113.77777777777777
structured,64,64,4096,50,5,5,1,42,genetic_greedy,square,gradient,success,33,166.578011,33,33,50,124.12121212121212
structured,64,64,4096,50,5,5,1,42,genetic_stochastic,square,gradient,success,33,287.607085,33,33,50,124.12121212121212
structured,64,64,4096,50,5,5,1,42,beam_search,square,gradient,success,32,143.634902,32,32,50,128.0
