algorithm,source_height,source_width,optimal_area,tiles,n,m,num_runs,successful_runs,obj_mean,obj_min,obj_max,obj_std,runtime_mean,runtime_min,runtime_max,runtime_std,compression_mean,compression_min,compression_max
merge_greedy,14,14,196,50,3,3,1,1,16.0,16,16,0,1.378084,1.378084,1.378084,0,12.25,12.25,12.25
greedy,14,14,196,50,3,3,1,1,14.0,14,14,0,0.003808,0.003808,0.003808,0,14.0,14.0,14.0
stochastic_greedy,14,14,196,50,3,3,1,1,15.0,15,15,0,0.00367,0.00367,0.00367,0,13.066666666666666,13.066666666666666,13.066666666666666
genetic_greedy,14,14,196,50,3,3,1,1,14.0,14,14,0,13.772889,13.772889,13.772889,0,14.0,14.0,14.0
genetic_stochastic,14,14,196,50,3,3,1,1,14.0,14,14,0,29.511588,29.511588,29.511588,0,14.0,14.0,14.0
beam_search,14,14,196,50,3,3,1,1,14.0,14,14,0,21.889847,21.889847,21.889847,0,14.0,14.0,14.0
merge_greedy,14,14,196,50,5,5,1,1,14.0,14,14,0,6.706128,6.706128,6.706128,0,14.0,14.0,14.0
greedy,14,14,196,50,5,5,1,1,14.0,14,14,0,0.008246,0.008246,0.008246,0,14.0,14.0,14.0
stochastic_greedy,14,14,196,50,5,5,1,1,14.0,14,14,0,0.008209,0.008209,0.008209,0,14.0,14.0,14.0
genetic_greedy,14,14,196,50,5,5,1,1,14.0,14,14,0,27.963376,27.963376,27.963376,0,14.0,14.0,14.0
genetic_stochastic,14,14,196,50,5,5,1,1,14.0,14,14,0,176.924169,176.924169,176.924169,0,14.0,14.0,14.0
beam_search,14,14,196,50,5,5,1,1,14.0,14,14,0,105.843073,105.843073,105.843073,0,14.0,14.0,14.0
merge_greedy,36,36,1296,50,3,3,1,1,19.0,19,19,0,1.614818,1.614818,1.614818,0,68.21052631578948,68.21052631578948,68.21052631578948
greedy,36,36,1296,50,3,3,1,1,16.0,16,16,0,0.004936,0.004936,0.004936,0,81.0,81.0,81.0
stochastic_greedy,36,36,1296,50,3,3,1,1,17.0,17,17,0,0.004671,0.004671,0.004671,0,76.23529411764706,76.23529411764706,76.23529411764706
genetic_greedy,36,36,1296,50,3,3,1,1,15.0,15,15,0,9.636023,9.636023,9.636023,0,86.4,86.4,86.4
genetic_stochastic,36,36,1296,50,3,3,1,1,15.0,15,15,0,20.087632,20.087632,20.087632,0,86.4,86.4,86.4
beam_search,36,36,1296,50,3,3,1,1,15.0,15,15,0,25.732306,25.732306,25.732306,0,86.4,86.4,86.4
merge_greedy,36,36,1296,50,5,5,1,1,31.0,31,31,0,29.896339,29.896339,29.896339,0,41.806451612903224,41.806451612903224,41.806451612903224
greedy,36,36,1296,50,5,5,1,1,32.0,32,32,0,0.032864,0.032864,0.032864,0,40.5,40.5,40.5
stochastic_greedy,36,36,1296,50,5,5,1,1,33.0,33,33,0,0.047602,0.047602,0.047602,0,39.27272727272727,39.27272727272727,39.27272727272727
genetic_greedy,36,36,1296,50,5,5,1,1,30.0,30,30,0,143.766675,143.766675,143.766675,0,43.2,43.2,43.2
genetic_stochastic,36,36,1296,50,5,5,1,1,30.0,30,30,0,161.588539,161.588539,161.588539,0,43.2,43.2,43.2
beam_search,36,36,1296,50,5,5,1,1,30.0,30,30,0,127.214262,127.214262,127.214262,0,43.2,43.2,43.2
merge_greedy,64,64,4096,50,3,3,1,1,18.0,18,18,0,2.018311,2.018311,2.018311,0,227.55555555555554,227.55555555555554,227.55555555555554
greedy,64,64,4096,50,3,3,1,1,17.0,17,17,0,0.004732,0.004732,0.004732,0,240.94117647058823,240.94117647058823,240.94117647058823
stochastic_greedy,64,64,4096,50,3,3,1,1,17.0,17,17,0,0.005337,0.005337,0.005337,0,240.94117647058823,240.94117647058823,240.94117647058823
genetic_greedy,64,64,4096,50,3,3,1,1,15.0,15,15,0,9.999523,9.999523,9.999523,0,273.06666666666666,273.06666666666666,273.06666666666666
genetic_stochastic,64,64,4096,50,3,3,1,1,15.0,15,15,0,40.594434,40.594434,40.594434,0,273.06666666666666,273.06666666666666,273.06666666666666
beam_search,64,64,4096,50,3,3,1,1,15.0,15,15,0,20.943523,20.943523,20.943523,0,273.06666666666666,273.06666666666666,273.06666666666666
merge_greedy,64,64,4096,50,5,5,1,1,34.0,34,34,0,56.009415,56.009415,56.009415,0,120.47058823529412,120.47058823529412,120.47058823529412
greedy,64,64,4096,50,5,5,1,1,34.0,34,34,0,0.056096,0.056096,0.056096,0,120.47058823529412,120.47058823529412,120.47058823529412
stochastic_greedy,64,64,4096,50,5,5,1,1,36.0,36,36,0,0.06939,0.06939,0.06939,0,113.77777777777777,113.77777777777777,113.77777777777777
genetic_greedy,64,64,4096,50,5,5,1,1,33.0,33,33,0,166.578011,166.578011,166.578011,0,124.12121212121212,124.12121212121212,124.12121212121212
genetic_stochastic,64,64,4096,50,5,5,1,1,33.0,33,33,0,287.607085,287.607085,287.607085,0,124.12121212121212,124.12121212121212,124.12121212121212
beam_search,64,64,4096,50,5,5,1,1,32.0,32,32,0,143.634902,143.634902,143.634902,0,128.0,128.0,128.0
