scale,source_height,source_width,optimal_area,tiles,n,m,run,seed,algorithm,objective_type,pattern,status,objective,runtime,bbox_width,bbox_height,num_tiles,compression_ratio
structured,14,14,196,50,3,3,1,42,merge_greedy,square,qrcode,success,13,1.362761,11,13,50,15.076923076923077
structured,14,14,196,50,3,3,1,42,greedy,square,qrcode,success,13,0.003097,12,13,50,15.076923076923077
structured,14,14,196,50,3,3,1,42,stochastic_greedy,square,qrcode,success,14,0.003793,14,14,50,14.0
structured,14,14,196,50,3,3,1,42,genetic_greedy,square,qrcode,success,12,7.443774,12,12,50,16.333333333333332
structured,14,14,196,50,3,3,1,42,genetic_stochastic,square,qrcode,success,12,8.063868,12,12,50,16.333333333333332
structured,14,14,196,50,3,3,1,42,beam_search,square,qrcode,success,12,25.196433,12,12,50,16.333333333333332
structured,14,14,196,50,5,5,1,42,merge_greedy,square,qrcode,success,16,6.990003,14,16,50,12.25
structured,14,14,196,50,5,5,1,42,greedy,square,qrcode,success,15,0.008445,14,15,50,13.066666666666666
structured,14,14,196,50,5,5,1,42,stochastic_greedy,square,qrcode,success,15,0.008428,15,15,50,13.066666666666666
structured,14,14,196,50,5,5,1,42,genetic_greedy,square,qrcode,success,14,23.852374,14,14,50,14.0
structured,14,14,196,50,5,5,1,42,genetic_stochastic,square,qrcode,success,14,18.018736,14,14,50,14.0
structured,14,14,196,50,5,5,1,42,beam_search,square,qrcode,success,15,114.575297,15,15,50,13.066666666666666
structured,36,36,1296,50,3,3,1,42,merge_greedy,square,qrcode,success,30,12.982974,30,13,50,43.2
structured,36,36,1296,50,3,3,1,42,greedy,square,qrcode,success,22,0.008422,22,22,50,58.90909090909091
structured,36,36,1296,50,3,3,1,42,stochastic_greedy,square,qrcode,success,23,0.011808,23,23,50,56.34782608695652
structured,36,36,1296,50,3,3,1,42,genetic_greedy,square,qrcode,success,21,18.261077,21,21,50,61.714285714285715
structured,36,36,1296,50,3,3,1,42,genetic_stochastic,square,qrcode,success,21,29.665589,21,21,50,61.714285714285715
structured,36,36,1296,50,3,3,1,42,beam_search,square,qrcode,success,22,27.2524,21,22,50,58.90909090909091
structured,36,36,1296,50,5,5,1,42,merge_greedy,square,qrcode,success,35,41.296202,35,30,50,37.02857142857143
structured,36,36,1296,50,5,5,1,42,greedy,square,qrcode,success,38,0.047486,38,38,50,34.10526315789474
structured,36,36,1296,50,5,5,1,42,stochastic_greedy,square,qrcode,success,36,0.074358,36,36,50,36.0
structured,36,36,1296,50,5,5,1,42,genetic_greedy,square,qrcode,success,34,156.395182,34,34,50,38.11764705882353
structured,36,36,1296,50,5,5,1,42,genetic_stochastic,square,qrcode,success,35,422.208597,35,35,50,37.02857142857143
structured,36,36,1296,50,5,5,1,42,beam_search,square,qrcode,success,35,131.227186,35,35,50,37.02857142857143
structured,64,64,4096,50,3,3,1,42,merge_greedy,square,qrcode,success,36,41.460408,15,36,50,113.77777777777777
structured,64,64,4096,50,3,3,1,42,greedy,square,qrcode,success,23,0.014688,23,23,50,178.08695652173913
structured,64,64,4096,50,3,3,1,42,stochastic_greedy,square,qrcode,success,24,0.014581,23,24,50,170.66666666666666
structured,64,64,4096,50,3,3,1,42,genetic_greedy,square,qrcode,success,22,39.957548,22,22,50,186.1818181818182
structured,64,64,4096,50,3,3,1,42,genetic_stochastic,square,qrcode,success,22,29.313175,22,22,50,186.1818181818182
structured,64,64,4096,50,3,3,1,42,beam_search,square,qrcode,success,24,31.778223,24,24,50,170.66666666666666
structured,64,64,4096,50,5,5,1,42,merge_greedy,square,qrcode,success,61,171.863972,61,20,50,67.14754098360656
structured,64,64,4096,50,5,5,1,42,greedy,square,qrcode,success,38,0.060173,38,38,50,107.78947368421052
structured,64,64,4096,50,5,5,1,42,stochastic_greedy,square,qrcode,success,41,0.088888,38,41,50,99.90243902439025
structured,64,64,4096,50,5,5,1,42,genetic_greedy,square,qrcode,success,37,435.949049,37,37,50,110.70270270270271
structured,64,64,4096,50,5,5,1,42,genetic_stochastic,square,qrcode,success,37,565.332528,37,37,50,110.70270270270271
structured,64,64,4096,50,5,5,1,42,beam_search,square,qrcode,success,38,138.27214,37,38,50,107.78947368421052
