algorithm,source_height,source_width,optimal_area,tiles,n,m,num_runs,successful_runs,obj_mean,obj_min,obj_max,obj_std,runtime_mean,runtime_min,runtime_max,runtime_std,compression_mean,compression_min,compression_max
merge_greedy,14,14,196,50,3,3,1,1,13.0,13,13,0,1.362761,1.362761,1.362761,0,15.076923076923077,15.076923076923077,15.076923076923077
greedy,14,14,196,50,3,3,1,1,13.0,13,13,0,0.003097,0.003097,0.003097,0,15.076923076923077,15.076923076923077,15.076923076923077
stochastic_greedy,14,14,196,50,3,3,1,1,14.0,14,14,0,0.003793,0.003793,0.003793,0,14.0,14.0,14.0
genetic_greedy,14,14,196,50,3,3,1,1,12.0,12,12,0,7.443774,7.443774,7.443774,0,16.333333333333332,16.333333333333332,16.333333333333332
genetic_stochastic,14,14,196,50,3,3,1,1,12.0,12,12,0,8.063868,8.063868,8.063868,0,16.333333333333332,16.333333333333332,16.333333333333332
beam_search,14,14,196,50,3,3,1,1,12.0,12,12,0,25.196433,25.196433,25.196433,0,16.333333333333332,16.333333333333332,16.333333333333332
merge_greedy,14,14,196,50,5,5,1,1,16.0,16,16,0,6.990003,6.990003,6.990003,0,12.25,12.25,12.25
greedy,14,14,196,50,5,5,1,1,15.0,15,15,0,0.008445,0.008445,0.008445,0,13.066666666666666,13.066666666666666,13.066666666666666
stochastic_greedy,14,14,196,50,5,5,1,1,15.0,15,15,0,0.008428,0.008428,0.008428,0,13.066666666666666,13.066666666666666,13.066666666666666
genetic_greedy,14,14,196,50,5,5,1,1,14.0,14,14,0,23.852374,23.852374,23.852374,0,14.0,14.0,14.0
genetic_stochastic,14,14,196,50,5,5,1,1,14.0,14,14,0,18.018736,18.018736,18.018736,0,14.0,14.0,14.0
beam_search,14,14,196,50,5,5,1,1,15.0,15,15,0,114.575297,114.575297,114.575297,0,13.066666666666666,13.066666666666666,13.066666666666666
merge_greedy,36,36,1296,50,3,3,1,1,30.0,30,30,0,12.982974,12.982974,12.982974,0,43.2,43.2,43.2
greedy,36,36,1296,50,3,3,1,1,22.0,22,22,0,0.008422,0.008422,0.008422,0,58.90909090909091,58.90909090909091,58.90909090909091
stochastic_greedy,36,36,1296,50,3,3,1,1,23.0,23,23,0,0.011808,0.011808,0.011808,0,56.34782608695652,56.34782608695652,56.34782608695652
genetic_greedy,36,36,1296,50,3,3,1,1,21.0,21,21,0,18.261077,18.261077,18.261077,0,61.714285714285715,61.714285714285715,61.714285714285715
genetic_stochastic,36,36,1296,50,3,3,1,1,21.0,21,21,0,29.665589,29.665589,29.665589,0,61.714285714285715,61.714285714285715,61.714285714285715
beam_search,36,36,1296,50,3,3,1,1,22.0,22,22,0,27.2524,27.2524,27.2524,0,58.90909090909091,58.90909090909091,58.90909090909091
merge_greedy,36,36,1296,50,5,5,1,1,35.0,35,35,0,41.296202,41.296202,41.296202,0,37.02857142857143,37.02857142857143,37.02857142857143
greedy,36,36,1296,50,5,5,1,1,38.0,38,38,0,0.047486,0.047486,0.047486,0,34.10526315789474,34.10526315789474,34.10526315789474
stochastic_greedy,36,36,1296,50,5,5,1,1,36.0,36,36,0,0.074358,0.074358,0.074358,0,36.0,36.0,36.0
genetic_greedy,36,36,1296,50,5,5,1,1,34.0,34,34,0,156.395182,156.395182,156.395182,0,38.11764705882353,38.11764705882353,38.11764705882353
genetic_stochastic,36,36,1296,50,5,5,1,1,35.0,35,35,0,422.208597,422.208597,422.208597,0,37.02857142857143,37.02857142857143,37.02857142857143
beam_search,36,36,1296,50,5,5,1,1,35.0,35,35,0,131.227186,131.227186,131.227186,0,37.02857142857143,37.02857142857143,37.02857142857143
merge_greedy,64,64,4096,50,3,3,1,1,36.0,36,36,0,41.460408,41.460408,41.460408,0,113.77777777777777,113.77777777777777,113.77777777777777
greedy,64,64,4096,50,3,3,1,1,23.0,23,23,0,0.014688,0.014688,0.014688,0,178.08695652173913,178.08695652173913,178.08695652173913
stochastic_greedy,64,64,4096,50,3,3,1,1,24.0,24,24,0,0.014581,0.014581,0.014581,0,170.66666666666666,170.66666666666666,170.66666666666666
genetic_greedy,64,64,4096,50,3,3,1,1,22.0,22,22,0,39.957548,39.957548,39.957548,0,186.1818181818182,186.1818181818182,186.1818181818182
genetic_stochastic,64,64,4096,50,3,3,1,1,22.0,22,22,0,29.313175,29.313175,29.313175,0,186.1818181818182,186.1818181818182,186.1818181818182
beam_search,64,64,4096,50,3,3,1,1,24.0,24,24,0,31.778223,31.778223,31.778223,0,170.66666666666666,170.66666666666666,170.66666666666666
merge_greedy,64,64,4096,50,5,5,1,1,61.0,61,61,0,171.863972,171.863972,171.863972,0,67.14754098360656,67.14754098360656,67.14754098360656
greedy,64,64,4096,50,5,5,1,1,38.0,38,38,0,0.060173,0.060173,0.060173,0,107.78947368421052,107.78947368421052,107.78947368421052
stochastic_greedy,64,64,4096,50,5,5,1,1,41.0,41,41,0,0.088888,0.088888,0.088888,0,99.90243902439025,99.90243902439025,99.90243902439025
genetic_greedy,64,64,4096,50,5,5,1,1,37.0,37,37,0,435.949049,435.949049,435.949049,0,110.70270270270271,110.70270270270271,110.70270270270271
genetic_stochastic,64,64,4096,50,5,5,1,1,37.0,37,37,0,565.332528,565.332528,565.332528,0,110.70270270270271,110.70270270270271,110.70270270270271
beam_search,64,64,4096,50,5,5,1,1,38.0,38,38,0,138.27214,138.27214,138.27214,0,107.78947368421052,107.78947368421052,107.78947368421052
