scale,source_height,source_width,optimal_area,tiles,n,m,run,seed,algorithm,objective_type,pattern,status,objective,runtime,bbox_width,bbox_height,num_tiles,compression_ratio
structured,14,14,196,50,3,3,1,42,merge_greedy,square,random,success,19,2.056958,19,11,50,10.31578947368421
structured,14,14,196,50,3,3,1,42,greedy,square,random,success,17,0.004988,17,17,50,11.529411764705882
structured,14,14,196,50,3,3,1,42,stochastic_greedy,square,random,success,19,0.007349,19,19,50,10.31578947368421
structured,14,14,196,50,3,3,1,42,genetic_greedy,square,random,success,14,3.076797,14,14,50,14.0
structured,14,14,196,50,3,3,1,42,genetic_stochastic,square,random,success,14,20.988321,14,14,50,14.0
structured,14,14,196,50,3,3,1,42,beam_search,square,random,success,16,20.773688,16,16,50,12.25
structured,14,14,196,50,5,5,1,42,merge_greedy,square,random,success,14,7.208953,14,14,50,14.0
structured,14,14,196,50,5,5,1,42,greedy,square,random,success,14,0.00798,14,14,50,14.0
structured,14,14,196,50,5,5,1,42,stochastic_greedy,square,random,success,14,0.007818,14,14,50,14.0
structured,14,14,196,50,5,5,1,42,genetic_greedy,square,random,success,14,52.074335,14,14,50,14.0
structured,14,14,196,50,5,5,1,42,genetic_stochastic,square,random,success,14,46.703897,14,14,50,14.0
structured,14,14,196,50,5,5,1,42,beam_search,square,random,success,14,108.682848,14,14,50,14.0
structured,36,36,1296,50,3,3,1,42,merge_greedy,square,random,success,24,11.919321,24,19,50,54.0
structured,36,36,1296,50,3,3,1,42,greedy,square,random,success,23,0.063299,23,23,50,56.34782608695652
structured,36,36,1296,50,3,3,1,42,stochastic_greedy,square,random,success,24,0.048624,24,23,50,54.0
structured,36,36,1296,50,3,3,1,42,genetic_greedy,square,random,success,21,19.629104,21,21,50,61.714285714285715
structured,36,36,1296,50,3,3,1,42,genetic_stochastic,square,random,success,21,39.711186,21,21,50,61.714285714285715
structured,36,36,1296,50,3,3,1,42,beam_search,square,random,success,22,30.84724,22,22,50,58.90909090909091
structured,36,36,1296,50,5,5,1,42,merge_greedy,square,random,success,46,65.606699,21,46,50,28.17391304347826
structured,36,36,1296,50,5,5,1,42,greedy,square,random,success,34,0.316745,34,34,50,38.11764705882353
structured,36,36,1296,50,5,5,1,42,stochastic_greedy,square,random,success,36,0.2856,36,34,50,36.0
structured,36,36,1296,50,5,5,1,42,genetic_greedy,square,random,success,34,188.280615,34,34,50,38.11764705882353
structured,36,36,1296,50,5,5,1,42,genetic_stochastic,square,random,success,35,415.336201,35,35,50,37.02857142857143
structured,36,36,1296,50,5,5,1,42,beam_search,square,random,success,34,122.299042,34,33,50,38.11764705882353
structured,64,64,4096,50,3,3,1,42,merge_greedy,square,random,success,39,52.254051,12,39,50,105.02564102564102
structured,64,64,4096,50,3,3,1,42,greedy,square,random,success,24,0.009309,24,24,50,170.66666666666666
structured,64,64,4096,50,3,3,1,42,stochastic_greedy,square,random,success,24,0.014119,24,24,50,170.66666666666666
structured,64,64,4096,50,3,3,1,42,genetic_greedy,square,random,success,22,56.769464,22,21,50,186.1818181818182
structured,64,64,4096,50,3,3,1,42,genetic_stochastic,square,random,success,22,57.023153,22,22,50,186.1818181818182
structured,64,64,4096,50,3,3,1,42,beam_search,square,random,success,23,37.762986,23,23,50,178.08695652173913
structured,64,64,4096,50,5,5,1,42,merge_greedy,square,random,success,60,169.190409,60,20,50,68.26666666666667
structured,64,64,4096,50,5,5,1,42,greedy,square,random,success,40,0.05627,40,40,50,102.4
structured,64,64,4096,50,5,5,1,42,stochastic_greedy,square,random,success,41,0.091201,41,40,50,99.90243902439025
structured,64,64,4096,50,5,5,1,42,genetic_greedy,square,random,success,37,163.942072,37,37,50,110.70270270270271
structured,64,64,4096,50,5,5,1,42,genetic_stochastic,square,random,success,36,391.055044,36,36,50,113.77777777777777
structured,64,64,4096,50,5,5,1,42,beam_search,square,random,success,37,148.526017,37,37,50,110.70270270270271
