algorithm,source_height,source_width,optimal_area,tiles,n,m,num_runs,successful_runs,obj_mean,obj_min,obj_max,obj_std,runtime_mean,runtime_min,runtime_max,runtime_std,compression_mean,compression_min,compression_max
merge_greedy,14,14,196,50,3,3,1,1,19.0,19,19,0,2.056958,2.056958,2.056958,0,10.31578947368421,10.31578947368421,10.31578947368421
greedy,14,14,196,50,3,3,1,1,17.0,17,17,0,0.004988,0.004988,0.004988,0,11.529411764705882,11.529411764705882,11.529411764705882
stochastic_greedy,14,14,196,50,3,3,1,1,19.0,19,19,0,0.007349,0.007349,0.007349,0,10.31578947368421,10.31578947368421,10.31578947368421
genetic_greedy,14,14,196,50,3,3,1,1,14.0,14,14,0,3.076797,3.076797,3.076797,0,14.0,14.0,14.0
genetic_stochastic,14,14,196,50,3,3,1,1,14.0,14,14,0,20.988321,20.988321,20.988321,0,14.0,14.0,14.0
beam_search,14,14,196,50,3,3,1,1,16.0,16,16,0,20.773688,20.773688,20.773688,0,12.25,12.25,12.25
merge_greedy,14,14,196,50,5,5,1,1,14.0,14,14,0,7.208953,7.208953,7.208953,0,14.0,14.0,14.0
greedy,14,14,196,50,5,5,1,1,14.0,14,14,0,0.00798,0.00798,0.00798,0,14.0,14.0,14.0
stochastic_greedy,14,14,196,50,5,5,1,1,14.0,14,14,0,0.007818,0.007818,0.007818,0,14.0,14.0,14.0
genetic_greedy,14,14,196,50,5,5,1,1,14.0,14,14,0,52.074335,52.074335,52.074335,0,14.0,14.0,14.0
genetic_stochastic,14,14,196,50,5,5,1,1,14.0,14,14,0,46.703897,46.703897,46.703897,0,14.0,14.0,14.0
beam_search,14,14,196,50,5,5,1,1,14.0,14,14,0,108.682848,108.682848,108.682848,0,14.0,14.0,14.0
merge_greedy,36,36,1296,50,3,3,1,1,24.0,24,24,0,11.919321,11.919321,11.919321,0,54.0,54.0,54.0
greedy,36,36,1296,50,3,3,1,1,23.0,23,23,0,0.063299,0.063299,0.063299,0,56.34782608695652,56.34782608695652,56.34782608695652
stochastic_greedy,36,36,1296,50,3,3,1,1,24.0,24,24,0,0.048624,0.048624,0.048624,0,54.0,54.0,54.0
genetic_greedy,36,36,1296,50,3,3,1,1,21.0,21,21,0,19.629104,19.629104,19.629104,0,61.714285714285715,61.714285714285715,61.714285714285715
genetic_stochastic,36,36,1296,50,3,3,1,1,21.0,21,21,0,39.711186,39.711186,39.711186,0,61.714285714285715,61.714285714285715,61.714285714285715
beam_search,36,36,1296,50,3,3,1,1,22.0,22,22,0,30.84724,30.84724,30.84724,0,58.90909090909091,58.90909090909091,58.90909090909091
merge_greedy,36,36,1296,50,5,5,1,1,46.0,46,46,0,65.606699,65.606699,65.606699,0,28.17391304347826,28.17391304347826,28.17391304347826
greedy,36,36,1296,50,5,5,1,1,34.0,34,34,0,0.316745,0.316745,0.316745,0,38.11764705882353,38.11764705882353,38.11764705882353
stochastic_greedy,36,36,1296,50,5,5,1,1,36.0,36,36,0,0.2856,0.2856,0.2856,0,36.0,36.0,36.0
genetic_greedy,36,36,1296,50,5,5,1,1,34.0,34,34,0,188.280615,188.280615,188.280615,0,38.11764705882353,38.11764705882353,38.11764705882353
genetic_stochastic,36,36,1296,50,5,5,1,1,35.0,35,35,0,415.336201,415.336201,415.336201,0,37.02857142857143,37.02857142857143,37.02857142857143
beam_search,36,36,1296,50,5,5,1,1,34.0,34,34,0,122.299042,122.299042,122.299042,0,38.11764705882353,38.11764705882353,38.11764705882353
merge_greedy,64,64,4096,50,3,3,1,1,39.0,39,39,0,52.254051,52.254051,52.254051,0,105.02564102564102,105.02564102564102,105.02564102564102
greedy,64,64,4096,50,3,3,1,1,24.0,24,24,0,0.009309,0.009309,0.009309,0,170.66666666666666,170.66666666666666,170.66666666666666
stochastic_greedy,64,64,4096,50,3,3,1,1,24.0,24,24,0,0.014119,0.014119,0.014119,0,170.66666666666666,170.66666666666666,170.66666666666666
genetic_greedy,64,64,4096,50,3,3,1,1,22.0,22,22,0,56.769464,56.769464,56.769464,0,186.1818181818182,186.1818181818182,186.1818181818182
genetic_stochastic,64,64,4096,50,3,3,1,1,22.0,22,22,0,57.023153,57.023153,57.023153,0,186.1818181818182,186.1818181818182,186.1818181818182
beam_search,64,64,4096,50,3,3,1,1,23.0,23,23,0,37.762986,37.762986,37.762986,0,178.08695652173913,178.08695652173913,178.08695652173913
merge_greedy,64,64,4096,50,5,5,1,1,60.0,60,60,0,169.190409,169.190409,169.190409,0,68.26666666666667,68.26666666666667,68.26666666666667
greedy,64,64,4096,50,5,5,1,1,40.0,40,40,0,0.05627,0.05627,0.05627,0,102.4,102.4,102.4
stochastic_greedy,64,64,4096,50,5,5,1,1,41.0,41,41,0,0.091201,0.091201,0.091201,0,99.90243902439025,99.90243902439025,99.90243902439025
genetic_greedy,64,64,4096,50,5,5,1,1,37.0,37,37,0,163.942072,163.942072,163.942072,0,110.70270270270271,110.70270270270271,110.70270270270271
genetic_stochastic,64,64,4096,50,5,5,1,1,36.0,36,36,0,391.055044,391.055044,391.055044,0,113.77777777777777,113.77777777777777,113.77777777777777
beam_search,64,64,4096,50,5,5,1,1,37.0,37,37,0,148.526017,148.526017,148.526017,0,110.70270270270271,110.70270270270271,110.70270270270271
