scale,source_height,source_width,optimal_area,tiles,n,m,run,seed,algorithm,objective_type,pattern,status,objective,runtime,bbox_width,bbox_height,num_tiles,compression_ratio
structured,14,14,196,50,3,3,1,42,merge_greedy,square,sparse,success,16,1.597895,16,14,50,12.25
structured,14,14,196,50,3,3,1,42,greedy,square,sparse,success,15,0.004023,15,15,50,13.066666666666666
structured,14,14,196,50,3,3,1,42,stochastic_greedy,square,sparse,success,17,0.006497,17,17,50,11.529411764705882
structured,14,14,196,50,3,3,1,42,genetic_greedy,square,sparse,success,14,9.170333,14,14,50,14.0
structured,14,14,196,50,3,3,1,42,genetic_stochastic,square,sparse,success,14,12.2664,14,14,50,14.0
structured,14,14,196,50,3,3,1,42,beam_search,square,sparse,success,14,24.54705,14,14,50,14.0
structured,14,14,196,50,5,5,1,42,merge_greedy,square,sparse,success,14,6.710284,14,14,50,14.0
structured,14,14,196,50,5,5,1,42,greedy,square,sparse,success,14,0.008008,14,14,50,14.0
structured,14,14,196,50,5,5,1,42,stochastic_greedy,square,sparse,success,14,0.007446,14,14,50,14.0
structured,14,14,196,50,5,5,1,42,genetic_greedy,square,sparse,success,14,202.470854,14,14,50,14.0
structured,14,14,196,50,5,5,1,42,genetic_stochastic,square,sparse,success,14,78.21591,14,14,50,14.0
structured,14,14,196,50,5,5,1,42,beam_search,square,sparse,success,14,124.733587,14,14,50,14.0
structured,36,36,1296,50,3,3,1,42,merge_greedy,square,sparse,success,16,2.009175,15,16,50,81.0
structured,36,36,1296,50,3,3,1,42,greedy,square,sparse,success,15,0.004331,15,15,50,86.4
structured,36,36,1296,50,3,3,1,42,stochastic_greedy,square,sparse,success,16,0.006277,16,16,50,81.0
structured,36,36,1296,50,3,3,1,42,genetic_greedy,square,sparse,success,15,11.831341,15,15,50,86.4
structured,36,36,1296,50,3,3,1,42,genetic_stochastic,square,sparse,success,15,11.344928,15,15,50,86.4
structured,36,36,1296,50,3,3,1,42,beam_search,square,sparse,success,15,25.062123,15,15,50,86.4
structured,36,36,1296,50,5,5,1,42,merge_greedy,square,sparse,success,36,37.930943,36,26,50,36.0
structured,36,36,1296,50,5,5,1,42,greedy,square,sparse,success,33,0.043802,33,33,50,39.27272727272727
structured,36,36,1296,50,5,5,1,42,stochastic_greedy,square,sparse,success,34,0.071272,33,34,50,38.11764705882353
structured,36,36,1296,50,5,5,1,42,genetic_greedy,square,sparse,success,31,401.097309,31,30,50,41.806451612903224
structured,36,36,1296,50,5,5,1,42,genetic_stochastic,square,sparse,success,32,304.00357,32,32,50,40.5
structured,36,36,1296,50,5,5,1,42,beam_search,square,sparse,success,32,173.564239,32,31,50,40.5
structured,64,64,4096,50,3,3,1,42,merge_greedy,square,sparse,success,21,2.195606,12,21,50,195.04761904761904
structured,64,64,4096,50,3,3,1,42,greedy,square,sparse,success,15,0.004167,14,15,50,273.06666666666666
structured,64,64,4096,50,3,3,1,42,stochastic_greedy,square,sparse,success,17,0.004566,17,16,50,240.94117647058823
structured,64,64,4096,50,3,3,1,42,genetic_greedy,square,sparse,success,15,8.943968,15,15,50,273.06666666666666
structured,64,64,4096,50,3,3,1,42,genetic_stochastic,square,sparse,success,15,13.091531,15,15,50,273.06666666666666
structured,64,64,4096,50,3,3,1,42,beam_search,square,sparse,success,15,23.488263,15,15,50,273.06666666666666
structured,64,64,4096,50,5,5,1,42,merge_greedy,square,sparse,success,36,86.546267,36,32,50,113.77777777777777
structured,64,64,4096,50,5,5,1,42,greedy,square,sparse,success,35,0.054044,34,35,50,117.02857142857142
structured,64,64,4096,50,5,5,1,42,stochastic_greedy,square,sparse,success,36,0.083221,36,34,50,113.77777777777777
structured,64,64,4096,50,5,5,1,42,genetic_greedy,square,sparse,success,34,198.318686,34,34,50,120.47058823529412
structured,64,64,4096,50,5,5,1,42,genetic_stochastic,square,sparse,success,34,252.423422,34,34,50,120.47058823529412
structured,64,64,4096,50,5,5,1,42,beam_search,square,sparse,success,33,171.737746,33,33,50,124.12121212121212
