algorithm,source_height,source_width,optimal_area,tiles,n,m,num_runs,successful_runs,obj_mean,obj_min,obj_max,obj_std,runtime_mean,runtime_min,runtime_max,runtime_std,compression_mean,compression_min,compression_max
merge_greedy,14,14,196,50,3,3,1,1,16.0,16,16,0,1.597895,1.597895,1.597895,0,12.25,12.25,12.25
greedy,14,14,196,50,3,3,1,1,15.0,15,15,0,0.004023,0.004023,0.004023,0,13.066666666666666,13.066666666666666,13.066666666666666
stochastic_greedy,14,14,196,50,3,3,1,1,17.0,17,17,0,0.006497,0.006497,0.006497,0,11.529411764705882,11.529411764705882,11.529411764705882
genetic_greedy,14,14,196,50,3,3,1,1,14.0,14,14,0,9.170333,9.170333,9.170333,0,14.0,14.0,14.0
genetic_stochastic,14,14,196,50,3,3,1,1,14.0,14,14,0,12.2664,12.2664,12.2664,0,14.0,14.0,14.0
beam_search,14,14,196,50,3,3,1,1,14.0,14,14,0,24.54705,24.54705,24.54705,0,14.0,14.0,14.0
merge_greedy,14,14,196,50,5,5,1,1,14.0,14,14,0,6.710284,6.710284,6.710284,0,14.0,14.0,14.0
greedy,14,14,196,50,5,5,1,1,14.0,14,14,0,0.008008,0.008008,0.008008,0,14.0,14.0,14.0
stochastic_greedy,14,14,196,50,5,5,1,1,14.0,14,14,0,0.007446,0.007446,0.007446,0,14.0,14.0,14.0
genetic_greedy,14,14,196,50,5,5,1,1,14.0,14,14,0,202.470854,202.470854,202.470854,0,14.0,14.0,14.0
genetic_stochastic,14,14,196,50,5,5,1,1,14.0,14,14,0,78.21591,78.21591,78.21591,0,14.0,14.0,14.0
beam_search,14,14,196,50,5,5,1,1,14.0,14,14,0,124.733587,124.733587,124.733587,0,14.0,14.0,14.0
merge_greedy,36,36,1296,50,3,3,1,1,16.0,16,16,0,2.009175,2.009175,2.009175,0,81.0,81.0,81.0
greedy,36,36,1296,50,3,3,1,1,15.0,15,15,0,0.004331,0.004331,0.004331,0,86.4,86.4,86.4
stochastic_greedy,36,36,1296,50,3,3,1,1,16.0,16,16,0,0.006277,0.006277,0.006277,0,81.0,81.0,81.0
genetic_greedy,36,36,1296,50,3,3,1,1,15.0,15,15,0,11.831341,11.831341,11.831341,0,86.4,86.4,86.4
genetic_stochastic,36,36,1296,50,3,3,1,1,15.0,15,15,0,11.344928,11.344928,11.344928,0,86.4,86.4,86.4
beam_search,36,36,1296,50,3,3,1,1,15.0,15,15,0,25.062123,25.062123,25.062123,0,86.4,86.4,86.4
merge_greedy,36,36,1296,50,5,5,1,1,36.0,36,36,0,37.930943,37.930943,37.930943,0,36.0,36.0,36.0
greedy,36,36,1296,50,5,5,1,1,33.0,33,33,0,0.043802,0.043802,0.043802,0,39.27272727272727,39.27272727272727,39.27272727272727
stochastic_greedy,36,36,1296,50,5,5,1,1,34.0,34,34,0,0.071272,0.071272,0.071272,0,38.11764705882353,38.11764705882353,38.11764705882353
genetic_greedy,36,36,1296,50,5,5,1,1,31.0,31,31,0,401.097309,401.097309,401.097309,0,41.806451612903224,41.806451612903224,41.806451612903224
genetic_stochastic,36,36,1296,50,5,5,1,1,32.0,32,32,0,304.00357,304.00357,304.00357,0,40.5,40.5,40.5
beam_search,36,36,1296,50,5,5,1,1,32.0,32,32,0,173.564239,173.564239,173.564239,0,40.5,40.5,40.5
merge_greedy,64,64,4096,50,3,3,1,1,21.0,21,21,0,2.195606,2.195606,2.195606,0,195.04761904761904,195.04761904761904,195.04761904761904
greedy,64,64,4096,50,3,3,1,1,15.0,15,15,0,0.004167,0.004167,0.004167,0,273.06666666666666,273.06666666666666,273.06666666666666
stochastic_greedy,64,64,4096,50,3,3,1,1,17.0,17,17,0,0.004566,0.004566,0.004566,0,240.94117647058823,240.94117647058823,240.94117647058823
genetic_greedy,64,64,4096,50,3,3,1,1,15.0,15,15,0,8.943968,8.943968,8.943968,0,273.06666666666666,273.06666666666666,273.06666666666666
genetic_stochastic,64,64,4096,50,3,3,1,1,15.0,15,15,0,13.091531,13.091531,13.091531,0,273.06666666666666,273.06666666666666,273.06666666666666
beam_search,64,64,4096,50,3,3,1,1,15.0,15,15,0,23.488263,23.488263,23.488263,0,273.06666666666666,273.06666666666666,273.06666666666666
merge_greedy,64,64,4096,50,5,5,1,1,36.0,36,36,0,86.546267,86.546267,86.546267,0,113.77777777777777,113.77777777777777,113.77777777777777
greedy,64,64,4096,50,5,5,1,1,35.0,35,35,0,0.054044,0.054044,0.054044,0,117.02857142857142,117.02857142857142,117.02857142857142
stochastic_greedy,64,64,4096,50,5,5,1,1,36.0,36,36,0,0.083221,0.083221,0.083221,0,113.77777777777777,113.77777777777777,113.77777777777777
genetic_greedy,64,64,4096,50,5,5,1,1,34.0,34,34,0,198.318686,198.318686,198.318686,0,120.47058823529412,120.47058823529412,120.47058823529412
genetic_stochastic,64,64,4096,50,5,5,1,1,34.0,34,34,0,252.423422,252.423422,252.423422,0,120.47058823529412,120.47058823529412,120.47058823529412
beam_search,64,64,4096,50,5,5,1,1,33.0,33,33,0,171.737746,171.737746,171.737746,0,124.12121212121212,124.12121212121212,124.12121212121212
