scale,source_height,source_width,optimal_area,tiles,n,m,run,seed,algorithm,objective_type,pattern,status,objective,runtime,bbox_width,bbox_height,num_tiles,compression_ratio
structured,14,14,196,50,3,3,1,42,merge_greedy,square,stripes_h,success,13,1.099866,6,13,50,15.076923076923077
structured,14,14,196,50,3,3,1,42,greedy,square,stripes_h,success,8,0.002402,8,8,50,24.5
structured,14,14,196,50,3,3,1,42,stochastic_greedy,square,stripes_h,success,10,0.003171,10,10,50,19.6
structured,14,14,196,50,3,3,1,42,genetic_greedy,square,stripes_h,success,9,12.331254,6,9,50,21.77777777777778
structured,14,14,196,50,3,3,1,42,genetic_stochastic,square,stripes_h,success,8,3.378103,8,8,50,24.5
structured,14,14,196,50,3,3,1,42,beam_search,square,stripes_h,success,10,24.94836,9,10,50,19.6
structured,14,14,196,50,5,5,1,42,merge_greedy,square,stripes_h,success,14,5.544251,5,14,50,14.0
structured,14,14,196,50,5,5,1,42,greedy,square,stripes_h,success,11,0.00493,11,11,50,17.818181818181817
structured,14,14,196,50,5,5,1,42,stochastic_greedy,square,stripes_h,success,14,0.006048,14,14,50,14.0
structured,14,14,196,50,5,5,1,42,genetic_greedy,square,stripes_h,success,11,4.971505,10,11,50,17.818181818181817
structured,14,14,196,50,5,5,1,42,genetic_stochastic,square,stripes_h,success,11,17.390104,11,11,50,17.818181818181817
structured,14,14,196,50,5,5,1,42,beam_search,square,stripes_h,success,14,147.78928,14,14,50,14.0
structured,36,36,1296,50,3,3,1,42,merge_greedy,square,stripes_h,success,19,1.218776,9,19,50,68.21052631578948
structured,36,36,1296,50,3,3,1,42,greedy,square,stripes_h,success,15,0.003738,15,15,50,86.4
structured,36,36,1296,50,3,3,1,42,stochastic_greedy,square,stripes_h,success,16,0.005526,16,16,50,81.0
structured,36,36,1296,50,3,3,1,42,genetic_greedy,square,stripes_h,success,12,4.724862,12,12,50,108.0
structured,36,36,1296,50,3,3,1,42,genetic_stochastic,square,stripes_h,success,12,9.581598,12,12,50,108.0
structured,36,36,1296,50,3,3,1,42,beam_search,square,stripes_h,success,13,24.70485,13,13,50,99.6923076923077
structured,36,36,1296,50,5,5,1,42,merge_greedy,square,stripes_h,success,36,5.693863,5,36,50,36.0
structured,36,36,1296,50,5,5,1,42,greedy,square,stripes_h,success,22,0.012541,22,22,50,58.90909090909091
structured,36,36,1296,50,5,5,1,42,stochastic_greedy,square,stripes_h,success,23,0.017034,23,21,50,56.34782608695652
structured,36,36,1296,50,5,5,1,42,genetic_greedy,square,stripes_h,success,18,66.687656,18,18,50,72.0
structured,36,36,1296,50,5,5,1,42,genetic_stochastic,square,stripes_h,success,16,65.65774,16,16,50,81.0
structured,36,36,1296,50,5,5,1,42,beam_search,square,stripes_h,success,21,109.287839,21,21,50,61.714285714285715
structured,64,64,4096,50,3,3,1,42,merge_greedy,square,stripes_h,success,29,1.655377,9,29,50,141.24137931034483
structured,64,64,4096,50,3,3,1,42,greedy,square,stripes_h,success,17,0.006738,16,17,50,240.94117647058823
structured,64,64,4096,50,3,3,1,42,stochastic_greedy,square,stripes_h,success,17,0.007763,17,17,50,240.94117647058823
structured,64,64,4096,50,3,3,1,42,genetic_greedy,square,stripes_h,success,16,14.734023,16,16,50,256.0
structured,64,64,4096,50,3,3,1,42,genetic_stochastic,square,stripes_h,success,15,17.124117,15,15,50,273.06666666666666
structured,64,64,4096,50,3,3,1,42,beam_search,square,stripes_h,success,16,23.212464,16,16,50,256.0
structured,64,64,4096,50,5,5,1,42,merge_greedy,square,stripes_h,success,38,6.622588,10,38,50,107.78947368421052
structured,64,64,4096,50,5,5,1,42,greedy,square,stripes_h,success,27,0.019328,27,27,50,151.7037037037037
structured,64,64,4096,50,5,5,1,42,stochastic_greedy,square,stripes_h,success,26,0.031031,25,26,50,157.53846153846155
structured,64,64,4096,50,5,5,1,42,genetic_greedy,square,stripes_h,success,21,76.898452,21,21,50,195.04761904761904
structured,64,64,4096,50,5,5,1,42,genetic_stochastic,square,stripes_h,success,20,123.58122,20,20,50,204.8
structured,64,64,4096,50,5,5,1,42,beam_search,square,stripes_h,success,25,108.821613,25,25,50,163.84
