algorithm,source_height,source_width,optimal_area,tiles,n,m,num_runs,successful_runs,obj_mean,obj_min,obj_max,obj_std,runtime_mean,runtime_min,runtime_max,runtime_std,compression_mean,compression_min,compression_max
merge_greedy,14,14,196,50,3,3,1,1,13.0,13,13,0,1.099866,1.099866,1.099866,0,15.076923076923077,15.076923076923077,15.076923076923077
greedy,14,14,196,50,3,3,1,1,8.0,8,8,0,0.002402,0.002402,0.002402,0,24.5,24.5,24.5
stochastic_greedy,14,14,196,50,3,3,1,1,10.0,10,10,0,0.003171,0.003171,0.003171,0,19.6,19.6,19.6
genetic_greedy,14,14,196,50,3,3,1,1,9.0,9,9,0,12.331254,12.331254,12.331254,0,21.77777777777778,21.77777777777778,21.77777777777778
genetic_stochastic,14,14,196,50,3,3,1,1,8.0,8,8,0,3.378103,3.378103,3.378103,0,24.5,24.5,24.5
beam_search,14,14,196,50,3,3,1,1,10.0,10,10,0,24.94836,24.94836,24.94836,0,19.6,19.6,19.6
merge_greedy,14,14,196,50,5,5,1,1,14.0,14,14,0,5.544251,5.544251,5.544251,0,14.0,14.0,14.0
greedy,14,14,196,50,5,5,1,1,11.0,11,11,0,0.00493,0.00493,0.00493,0,17.818181818181817,17.818181818181817,17.818181818181817
stochastic_greedy,14,14,196,50,5,5,1,1,14.0,14,14,0,0.006048,0.006048,0.006048,0,14.0,14.0,14.0
genetic_greedy,14,14,196,50,5,5,1,1,11.0,11,11,0,4.971505,4.971505,4.971505,0,17.818181818181817,17.818181818181817,17.818181818181817
genetic_stochastic,14,14,196,50,5,5,1,1,11.0,11,11,0,17.390104,17.390104,17.390104,0,17.818181818181817,17.818181818181817,17.818181818181817
beam_search,14,14,196,50,5,5,1,1,14.0,14,14,0,147.78928,147.78928,147.78928,0,14.0,14.0,14.0
merge_greedy,36,36,1296,50,3,3,1,1,19.0,19,19,0,1.218776,1.218776,1.218776,0,68.21052631578948,68.21052631578948,68.21052631578948
greedy,36,36,1296,50,3,3,1,1,15.0,15,15,0,0.003738,0.003738,0.003738,0,86.4,86.4,86.4
stochastic_greedy,36,36,1296,50,3,3,1,1,16.0,16,16,0,0.005526,0.005526,0.005526,0,81.0,81.0,81.0
genetic_greedy,36,36,1296,50,3,3,1,1,12.0,12,12,0,4.724862,4.724862,4.724862,0,108.0,108.0,108.0
genetic_stochastic,36,36,1296,50,3,3,1,1,12.0,12,12,0,9.581598,9.581598,9.581598,0,108.0,108.0,108.0
beam_search,36,36,1296,50,3,3,1,1,13.0,13,13,0,24.70485,24.70485,24.70485,0,99.6923076923077,99.6923076923077,99.6923076923077
merge_greedy,36,36,1296,50,5,5,1,1,36.0,36,36,0,5.693863,5.693863,5.693863,0,36.0,36.0,36.0
greedy,36,36,1296,50,5,5,1,1,22.0,22,22,0,0.012541,0.012541,0.012541,0,58.90909090909091,58.90909090909091,58.90909090909091
stochastic_greedy,36,36,1296,50,5,5,1,1,23.0,23,23,0,0.017034,0.017034,0.017034,0,56.34782608695652,56.34782608695652,56.34782608695652
genetic_greedy,36,36,1296,50,5,5,1,1,18.0,18,18,0,66.687656,66.687656,66.687656,0,72.0,72.0,72.0
genetic_stochastic,36,36,1296,50,5,5,1,1,16.0,16,16,0,65.65774,65.65774,65.65774,0,81.0,81.0,81.0
beam_search,36,36,1296,50,5,5,1,1,21.0,21,21,0,109.287839,109.287839,109.287839,0,61.714285714285715,61.714285714285715,61.714285714285715
merge_greedy,64,64,4096,50,3,3,1,1,29.0,29,29,0,1.655377,1.655377,1.655377,0,141.24137931034483,141.24137931034483,141.24137931034483
greedy,64,64,4096,50,3,3,1,1,17.0,17,17,0,0.006738,0.006738,0.006738,0,240.94117647058823,240.94117647058823,240.94117647058823
stochastic_greedy,64,64,4096,50,3,3,1,1,17.0,17,17,0,0.007763,0.007763,0.007763,0,240.94117647058823,240.94117647058823,240.94117647058823
genetic_greedy,64,64,4096,50,3,3,1,1,16.0,16,16,0,14.734023,14.734023,14.734023,0,256.0,256.0,256.0
genetic_stochastic,64,64,4096,50,3,3,1,1,15.0,15,15,0,17.124117,17.124117,17.124117,0,273.06666666666666,273.06666666666666,273.06666666666666
beam_search,64,64,4096,50,3,3,1,1,16.0,16,16,0,23.212464,23.212464,23.212464,0,256.0,256.0,256.0
merge_greedy,64,64,4096,50,5,5,1,1,38.0,38,38,0,6.622588,6.622588,6.622588,0,107.78947368421052,107.78947368421052,107.78947368421052
greedy,64,64,4096,50,5,5,1,1,27.0,27,27,0,0.019328,0.019328,0.019328,0,151.7037037037037,151.7037037037037,151.7037037037037
stochastic_greedy,64,64,4096,50,5,5,1,1,26.0,26,26,0,0.031031,0.031031,0.031031,0,157.53846153846155,157.53846153846155,157.53846153846155
genetic_greedy,64,64,4096,50,5,5,1,1,21.0,21,21,0,76.898452,76.898452,76.898452,0,195.04761904761904,195.04761904761904,195.04761904761904
genetic_stochastic,64,64,4096,50,5,5,1,1,20.0,20,20,0,123.58122,123.58122,123.58122,0,204.8,204.8,204.8
beam_search,64,64,4096,50,5,5,1,1,25.0,25,25,0,108.821613,108.821613,108.821613,0,163.84,163.84,163.84
