scale,source_height,source_width,optimal_area,tiles,n,m,run,seed,algorithm,objective_type,pattern,status,objective,runtime,bbox_width,bbox_height,num_tiles,compression_ratio
structured,14,14,196,50,3,3,1,42,merge_greedy,square,stripes_v,success,14,1.13454,14,3,50,14.0
structured,14,14,196,50,3,3,1,42,greedy,square,stripes_v,success,9,0.002771,9,9,50,21.77777777777778
structured,14,14,196,50,3,3,1,42,stochastic_greedy,square,stripes_v,success,10,0.003991,10,10,50,19.6
structured,14,14,196,50,3,3,1,42,genetic_greedy,square,stripes_v,success,8,2.957876,8,6,50,24.5
structured,14,14,196,50,3,3,1,42,genetic_stochastic,square,stripes_v,success,8,3.454224,8,7,50,24.5
structured,14,14,196,50,3,3,1,42,beam_search,square,stripes_v,success,10,25.373853,10,10,50,19.6
structured,14,14,196,50,5,5,1,42,merge_greedy,square,stripes_v,success,14,5.371129,14,5,50,14.0
structured,14,14,196,50,5,5,1,42,greedy,square,stripes_v,success,13,0.004889,12,13,50,15.076923076923077
structured,14,14,196,50,5,5,1,42,stochastic_greedy,square,stripes_v,success,14,0.005799,14,13,50,14.0
structured,14,14,196,50,5,5,1,42,genetic_greedy,square,stripes_v,success,10,6.016671,10,10,50,19.6
structured,14,14,196,50,5,5,1,42,genetic_stochastic,square,stripes_v,success,11,42.895063,11,11,50,17.818181818181817
structured,14,14,196,50,5,5,1,42,beam_search,square,stripes_v,success,13,158.842211,13,13,50,15.076923076923077
structured,36,36,1296,50,3,3,1,42,merge_greedy,square,stripes_v,success,35,1.262461,35,3,50,37.02857142857143
structured,36,36,1296,50,3,3,1,42,greedy,square,stripes_v,success,15,0.004085,15,15,50,86.4
structured,36,36,1296,50,3,3,1,42,stochastic_greedy,square,stripes_v,success,15,0.004754,14,15,50,86.4
structured,36,36,1296,50,3,3,1,42,genetic_greedy,square,stripes_v,success,12,8.464631,12,12,50,108.0
structured,36,36,1296,50,3,3,1,42,genetic_stochastic,square,stripes_v,success,12,10.046633,12,12,50,108.0
structured,36,36,1296,50,3,3,1,42,beam_search,square,stripes_v,success,14,24.563375,14,14,50,92.57142857142857
structured,36,36,1296,50,5,5,1,42,merge_greedy,square,stripes_v,success,36,5.826786,36,5,50,36.0
structured,36,36,1296,50,5,5,1,42,greedy,square,stripes_v,success,22,0.014066,22,22,50,58.90909090909091
structured,36,36,1296,50,5,5,1,42,stochastic_greedy,square,stripes_v,success,23,0.019626,23,22,50,56.34782608695652
structured,36,36,1296,50,5,5,1,42,genetic_greedy,square,stripes_v,success,18,43.388554,18,17,50,72.0
structured,36,36,1296,50,5,5,1,42,genetic_stochastic,square,stripes_v,success,16,42.89406,16,15,50,81.0
structured,36,36,1296,50,5,5,1,42,beam_search,square,stripes_v,success,20,118.033496,20,20,50,64.8
structured,64,64,4096,50,3,3,1,42,merge_greedy,square,stripes_v,success,51,1.579138,51,3,50,80.31372549019608
structured,64,64,4096,50,3,3,1,42,greedy,square,stripes_v,success,18,0.005342,17,18,50,227.55555555555554
structured,64,64,4096,50,3,3,1,42,stochastic_greedy,square,stripes_v,success,18,0.006233,18,18,50,227.55555555555554
structured,64,64,4096,50,3,3,1,42,genetic_greedy,square,stripes_v,success,15,8.774887,15,15,50,273.06666666666666
structured,64,64,4096,50,3,3,1,42,genetic_stochastic,square,stripes_v,success,15,15.033227,15,15,50,273.06666666666666
structured,64,64,4096,50,3,3,1,42,beam_search,square,stripes_v,success,15,26.630204,15,15,50,273.06666666666666
structured,64,64,4096,50,5,5,1,42,merge_greedy,square,stripes_v,success,64,7.221504,64,5,50,64.0
structured,64,64,4096,50,5,5,1,42,greedy,square,stripes_v,success,30,0.031101,28,30,50,136.53333333333333
structured,64,64,4096,50,5,5,1,42,stochastic_greedy,square,stripes_v,success,29,0.043144,29,29,50,141.24137931034483
structured,64,64,4096,50,5,5,1,42,genetic_greedy,square,stripes_v,success,22,124.727116,22,22,50,186.1818181818182
structured,64,64,4096,50,5,5,1,42,genetic_stochastic,square,stripes_v,success,22,151.846836,22,22,50,186.1818181818182
structured,64,64,4096,50,5,5,1,42,beam_search,square,stripes_v,success,23,125.013785,23,23,50,178.08695652173913
