algorithm,source_height,source_width,optimal_area,tiles,n,m,num_runs,successful_runs,obj_mean,obj_min,obj_max,obj_std,runtime_mean,runtime_min,runtime_max,runtime_std,compression_mean,compression_min,compression_max
merge_greedy,14,14,196,50,3,3,1,1,14.0,14,14,0,1.13454,1.13454,1.13454,0,14.0,14.0,14.0
greedy,14,14,196,50,3,3,1,1,9.0,9,9,0,0.002771,0.002771,0.002771,0,21.77777777777778,21.77777777777778,21.77777777777778
stochastic_greedy,14,14,196,50,3,3,1,1,10.0,10,10,0,0.003991,0.003991,0.003991,0,19.6,19.6,19.6
genetic_greedy,14,14,196,50,3,3,1,1,8.0,8,8,0,2.957876,2.957876,2.957876,0,24.5,24.5,24.5
genetic_stochastic,14,14,196,50,3,3,1,1,8.0,8,8,0,3.454224,3.454224,3.454224,0,24.5,24.5,24.5
beam_search,14,14,196,50,3,3,1,1,10.0,10,10,0,25.373853,25.373853,25.373853,0,19.6,19.6,19.6
merge_greedy,14,14,196,50,5,5,1,1,14.0,14,14,0,5.371129,5.371129,5.371129,0,14.0,14.0,14.0
greedy,14,14,196,50,5,5,1,1,13.0,13,13,0,0.004889,0.004889,0.004889,0,15.076923076923077,15.076923076923077,15.076923076923077
stochastic_greedy,14,14,196,50,5,5,1,1,14.0,14,14,0,0.005799,0.005799,0.005799,0,14.0,14.0,14.0
genetic_greedy,14,14,196,50,5,5,1,1,10.0,10,10,0,6.016671,6.016671,6.016671,0,19.6,19.6,19.6
genetic_stochastic,14,14,196,50,5,5,1,1,11.0,11,11,0,42.895063,42.895063,42.895063,0,17.818181818181817,17.818181818181817,17.818181818181817
beam_search,14,14,196,50,5,5,1,1,13.0,13,13,0,158.842211,158.842211,158.842211,0,15.076923076923077,15.076923076923077,15.076923076923077
merge_greedy,36,36,1296,50,3,3,1,1,35.0,35,35,0,1.262461,1.262461,1.262461,0,37.02857142857143,37.02857142857143,37.02857142857143
greedy,36,36,1296,50,3,3,1,1,15.0,15,15,0,0.004085,0.004085,0.004085,0,86.4,86.4,86.4
stochastic_greedy,36,36,1296,50,3,3,1,1,15.0,15,15,0,0.004754,0.004754,0.004754,0,86.4,86.4,86.4
genetic_greedy,36,36,1296,50,3,3,1,1,12.0,12,12,0,8.464631,8.464631,8.464631,0,108.0,108.0,108.0
genetic_stochastic,36,36,1296,50,3,3,1,1,12.0,12,12,0,10.046633,10.046633,10.046633,0,108.0,108.0,108.0
beam_search,36,36,1296,50,3,3,1,1,14.0,14,14,0,24.563375,24.563375,24.563375,0,92.57142857142857,92.57142857142857,92.57142857142857
merge_greedy,36,36,1296,50,5,5,1,1,36.0,36,36,0,5.826786,5.826786,5.826786,0,36.0,36.0,36.0
greedy,36,36,1296,50,5,5,1,1,22.0,22,22,0,0.014066,0.014066,0.014066,0,58.90909090909091,58.90909090909091,58.90909090909091
stochastic_greedy,36,36,1296,50,5,5,1,1,23.0,23,23,0,0.019626,0.019626,0.019626,0,56.34782608695652,56.34782608695652,56.34782608695652
genetic_greedy,36,36,1296,50,5,5,1,1,18.0,18,18,0,43.388554,43.388554,43.388554,0,72.0,72.0,72.0
genetic_stochastic,36,36,1296,50,5,5,1,1,16.0,16,16,0,42.89406,42.89406,42.89406,0,81.0,81.0,81.0
beam_search,36,36,1296,50,5,5,1,1,20.0,20,20,0,118.033496,118.033496,118.033496,0,64.8,64.8,64.8
merge_greedy,64,64,4096,50,3,3,1,1,51.0,51,51,0,1.579138,1.579138,1.579138,0,80.31372549019608,80.31372549019608,80.31372549019608
greedy,64,64,4096,50,3,3,1,1,18.0,18,18,0,0.005342,0.005342,0.005342,0,227.55555555555554,227.55555555555554,227.55555555555554
stochastic_greedy,64,64,4096,50,3,3,1,1,18.0,18,18,0,0.006233,0.006233,0.006233,0,227.55555555555554,227.55555555555554,227.55555555555554
genetic_greedy,64,64,4096,50,3,3,1,1,15.0,15,15,0,8.774887,8.774887,8.774887,0,273.06666666666666,273.06666666666666,273.06666666666666
genetic_stochastic,64,64,4096,50,3,3,1,1,15.0,15,15,0,15.033227,15.033227,15.033227,0,273.06666666666666,273.06666666666666,273.06666666666666
beam_search,64,64,4096,50,3,3,1,1,15.0,15,15,0,26.630204,26.630204,26.630204,0,273.06666666666666,273.06666666666666,273.06666666666666
merge_greedy,64,64,4096,50,5,5,1,1,64.0,64,64,0,7.221504,7.221504,7.221504,0,64.0,64.0,64.0
greedy,64,64,4096,50,5,5,1,1,30.0,30,30,0,0.031101,0.031101,0.031101,0,136.53333333333333,136.53333333333333,136.53333333333333
stochastic_greedy,64,64,4096,50,5,5,1,1,29.0,29,29,0,0.043144,0.043144,0.043144,0,141.24137931034483,141.24137931034483,141.24137931034483
genetic_greedy,64,64,4096,50,5,5,1,1,22.0,22,22,0,124.727116,124.727116,124.727116,0,186.1818181818182,186.1818181818182,186.1818181818182
genetic_stochastic,64,64,4096,50,5,5,1,1,22.0,22,22,0,151.846836,151.846836,151.846836,0,186.1818181818182,186.1818181818182,186.1818181818182
beam_search,64,64,4096,50,5,5,1,1,23.0,23,23,0,125.013785,125.013785,125.013785,0,178.08695652173913,178.08695652173913,178.08695652173913
