scale,tiles,n,m,run,seed,algorithm,objective_type,status,objective,runtime,bbox_width,bbox_height,num_tiles,total_crossovers,crossovers_needing_completion,total_tiles_completed,completion_rate,avg_tiles_per_incomplete
1d,10,1,8,1,42,greedy,,success,48,0.015395023,48,1,10,,,,,
1d,10,1,8,1,42,stochastic_greedy,,success,48,0.022511264,48,1,10,,,,,
1d,10,1,8,1,42,genetic_greedy,,success,44,0.252365802,44,1,10,12644,81,648,0.006406200569440051,8.0
1d,10,1,8,1,42,genetic_stochastic,,success,44,0.240411031,44,1,10,12564,63,354,0.00501432664756447,5.619047619047619
1d,10,1,8,2,142,greedy,,success,48,0.006243076,48,1,10,,,,,
1d,10,1,8,2,142,stochastic_greedy,,success,42,0.005889088,42,1,10,,,,,
1d,10,1,8,2,142,genetic_greedy,,success,41,0.27138564,41,1,10,12673,173,476,0.013651069202240984,2.7514450867052025
1d,10,1,8,2,142,genetic_stochastic,,success,41,0.217787276,41,1,10,12579,91,636,0.007234279354479688,6.989010989010989
1d,10,1,8,3,242,greedy,,success,51,0.007150259,51,1,10,,,,,
1d,10,1,8,3,242,stochastic_greedy,,success,51,0.007033895,51,1,10,,,,,
1d,10,1,8,3,242,genetic_greedy,,success,51,0.575777822,51,1,10,12514,358,979,0.028607959085823878,2.7346368715083798
1d,10,1,8,3,242,genetic_stochastic,,success,51,0.371644279,51,1,10,12598,270,1548,0.02143197332909986,5.733333333333333
1d,10,1,8,4,342,greedy,,success,50,0.00644602,50,1,10,,,,,
1d,10,1,8,4,342,stochastic_greedy,,success,50,0.006444772,50,1,10,,,,,
1d,10,1,8,4,342,genetic_greedy,,success,42,0.269303658,42,1,10,12630,66,412,0.005225653206650831,6.242424242424242
1d,10,1,8,4,342,genetic_stochastic,,success,40,0.282488272,40,1,10,12590,213,1371,0.016918189038919777,6.436619718309859
1d,10,1,8,5,442,greedy,,success,52,0.007092374,52,1,10,,,,,
1d,10,1,8,5,442,stochastic_greedy,,success,52,0.007464759,52,1,10,,,,,
1d,10,1,8,5,442,genetic_greedy,,success,46,0.234035225,46,1,10,12504,37,116,0.002959053103007038,3.135135135135135
1d,10,1,8,5,442,genetic_stochastic,,success,46,0.260473297,46,1,10,12580,155,1148,0.01232114467408585,7.406451612903226
1d,10,1,8,6,542,greedy,,success,50,0.006678257,50,1,10,,,,,
1d,10,1,8,6,542,stochastic_greedy,,success,50,0.007287309,50,1,10,,,,,
1d,10,1,8,6,542,genetic_greedy,,success,48,0.245348183,48,1,10,12510,42,261,0.003357314148681055,6.214285714285714
1d,10,1,8,6,542,genetic_stochastic,,success,47,0.354847514,47,1,10,12539,276,1931,0.02201132466703884,6.996376811594203
1d,10,1,8,7,642,greedy,,success,47,0.005962736,47,1,10,,,,,
1d,10,1,8,7,642,stochastic_greedy,,success,47,0.006010645,47,1,10,,,,,
1d,10,1,8,7,642,genetic_greedy,,success,46,0.245651157,46,1,10,12556,52,360,0.00414144632048423,6.923076923076923
1d,10,1,8,7,642,genetic_stochastic,,success,45,0.543039888,45,1,10,12511,468,2528,0.03740708176804412,5.401709401709402
1d,10,1,8,8,742,greedy,,success,53,0.007431899,53,1,10,,,,,
1d,10,1,8,8,742,stochastic_greedy,,success,54,0.009163541,54,1,10,,,,,
1d,10,1,8,8,742,genetic_greedy,,success,53,0.371109791,53,1,10,12614,122,413,0.009671793245600127,3.3852459016393444
1d,10,1,8,8,742,genetic_stochastic,,success,53,0.517360299,53,1,10,12511,513,2908,0.04100391655343298,5.668615984405458
1d,10,1,8,9,842,greedy,,success,42,0.005056652,42,1,10,,,,,
1d,10,1,8,9,842,stochastic_greedy,,success,42,0.004905405,42,1,10,,,,,
1d,10,1,8,9,842,genetic_greedy,,success,39,0.158003565,39,1,10,12683,2,10,0.0001576913979342427,5.0
1d,10,1,8,9,842,genetic_stochastic,,success,39,0.267287425,39,1,10,12627,265,1964,0.020986774372376654,7.411320754716981
1d,10,1,8,10,942,greedy,,success,43,0.004787056,43,1,10,,,,,
1d,10,1,8,10,942,stochastic_greedy,,success,43,0.004949418,43,1,10,,,,,
1d,10,1,8,10,942,genetic_greedy,,success,43,0.180500769,43,1,10,12688,57,350,0.004492433795712484,6.140350877192983
1d,10,1,8,10,942,genetic_stochastic,,success,42,0.436991709,42,1,10,12547,439,2468,0.03498844345261815,5.621867881548975
1d,10,1,8,2,142,cplex,,feasible,47,313.454181955,47,1,10,,,,,
1d,100,1,8,1,42,greedy,,success,199,0.406352385,199,1,100,,,,,
