scale,case_name,tiles,n,m,r,L,num_input_strings,total_generated,duplicates_removed,run,seed,algorithm,objective_type,status,objective,runtime,bbox_width,bbox_height,num_tiles_placed
2d_covering_original,2_5_1_175,142,2,5,1,175,14,154,12,1,42,genetic_greedy,area,success,302,137.370679399,151,2,142
2d_covering_original,2_5_1_175,142,2,5,1,175,14,154,12,1,42,genetic_stochastic,area,success,298,477.465855432,149,2,142
2d_covering_original,2_5_1_175,142,2,5,1,175,14,154,12,1,42,genetic_greedy,square,success,21,438.178424914,21,21,142
2d_covering_original,2_5_1_175,142,2,5,1,175,14,154,12,1,42,genetic_stochastic,square,success,21,297.425105267,21,21,142
2d_covering_original,2_5_1_177,143,2,5,1,177,13,143,0,1,42,genetic_greedy,area,success,306,311.678749015,153,2,143
2d_covering_original,2_5_1_177,143,2,5,1,177,13,143,0,1,42,genetic_stochastic,area,success,302,333.990479566,151,2,143
2d_covering_original,2_5_1_177,143,2,5,1,177,13,143,0,1,42,genetic_greedy,square,success,21,293.086163136,21,21,143
2d_covering_original,2_5_1_177,143,2,5,1,177,13,143,0,1,42,genetic_stochastic,square,success,21,270.02879196,21,21,143
2d_covering_original,2_6_2_161,117,2,6,2,161,9,117,0,1,42,genetic_greedy,area,success,270,170.565076827,135,2,117
2d_covering_original,2_6_2_161,117,2,6,2,161,9,117,0,1,42,genetic_stochastic,area,success,268,369.443936935,134,2,117
2d_covering_original,2_6_2_161,117,2,6,2,161,9,117,0,1,42,genetic_greedy,square,success,20,204.577616562,20,20,117
2d_covering_original,2_6_2_161,117,2,6,2,161,9,117,0,1,42,genetic_stochastic,square,success,20,221.51151525,20,20,117
2d_covering_original,2_7_3_239,149,2,7,3,239,10,150,1,1,42,genetic_greedy,area,success,354,507.692102048,177,2,149
2d_covering_original,2_7_3_239,149,2,7,3,239,10,150,1,1,42,genetic_stochastic,area,success,352,693.710514597,176,2,149
2d_covering_original,2_7_3_239,149,2,7,3,239,10,150,1,1,42,genetic_greedy,square,success,23,540.746825869,23,23,149
2d_covering_original,2_7_3_239,149,2,7,3,239,10,150,1,1,42,genetic_stochastic,square,success,22,556.217967188,22,22,149
2d_covering_original,3_3_1_102,67,3,3,1,102,8,80,13,1,42,genetic_greedy,area,success,210,32.019286687,3,70,67
2d_covering_original,3_3_1_102,67,3,3,1,102,8,80,13,1,42,genetic_stochastic,area,success,196,46.016412711,14,14,67
2d_covering_original,3_3_1_102,67,3,3,1,102,8,80,13,1,42,genetic_greedy,square,success,14,29.155215029,14,14,67
2d_covering_original,3_3_1_102,67,3,3,1,102,8,80,13,1,42,genetic_stochastic,square,success,14,32.842831769,14,14,67
2d_covering_original,3_4_2_161,117,3,4,2,161,9,117,0,1,42,genetic_greedy,area,success,384,239.735592404,128,3,117
2d_covering_original,3_4_2_161,117,3,4,2,161,9,117,0,1,42,genetic_stochastic,area,success,378,461.048877212,126,3,117
2d_covering_original,3_4_2_161,117,3,4,2,161,9,117,0,1,42,genetic_greedy,square,success,19,151.587152017,19,19,117
2d_covering_original,3_4_2_161,117,3,4,2,161,9,117,0,1,42,genetic_stochastic,square,success,20,211.24336872,20,20,117
