algorithm,tiles,n,m,objective_type,avg_objective,stdev_objective,avg_runtime,stdev_runtime
genetic_greedy,117,2,6,area,270.0,0,170.5651,0
genetic_greedy,117,2,6,square,20.0,0,204.5776,0
genetic_greedy,117,3,4,area,384.0,0,239.7356,0
genetic_greedy,117,3,4,square,19.0,0,151.5872,0
genetic_greedy,142,2,5,area,302.0,0,137.3707,0
genetic_greedy,142,2,5,square,21.0,0,438.1784,0
genetic_greedy,143,2,5,area,306.0,0,311.6787,0
genetic_greedy,143,2,5,square,21.0,0,293.0862,0
genetic_greedy,149,2,7,area,354.0,0,507.6921,0
genetic_greedy,149,2,7,square,23.0,0,540.7468,0
genetic_greedy,67,3,3,area,210.0,0,32.0193,0
genetic_greedy,67,3,3,square,14.0,0,29.1552,0
genetic_stochastic,117,2,6,area,268.0,0,369.4439,0
genetic_stochastic,117,2,6,square,20.0,0,221.5115,0
genetic_stochastic,117,3,4,area,378.0,0,461.0489,0
genetic_stochastic,117,3,4,square,20.0,0,211.2434,0
genetic_stochastic,142,2,5,area,298.0,0,477.4659,0
genetic_stochastic,142,2,5,square,21.0,0,297.4251,0
genetic_stochastic,143,2,5,area,302.0,0,333.9905,0
genetic_stochastic,143,2,5,square,21.0,0,270.0288,0
genetic_stochastic,149,2,7,area,352.0,0,693.7105,0
genetic_stochastic,149,2,7,square,22.0,0,556.218,0
genetic_stochastic,67,3,3,area,196.0,0,46.0164,0
genetic_stochastic,67,3,3,square,14.0,0,32.8428,0
