scale,tiles,n,m,run,seed,algorithm,objective_type,status,objective,runtime,bbox_width,bbox_height,num_tiles,total_crossovers,crossovers_needing_completion,total_tiles_completed,completion_rate,avg_tiles_per_incomplete,iterations,states_explored,improvements_found
2d_covering_original,142,2,5,1,42,genetic_greedy,area,success,302,137.370679399,151,2,,,,,,,,,
2d_covering_original,142,2,5,1,42,genetic_stochastic,area,success,298,477.465855432,149,2,,,,,,,,,
2d_covering_original,142,2,5,1,42,genetic_greedy,square,success,21,438.178425,21,21,,,,,,,,,
2d_covering_original,142,2,5,1,42,genetic_stochastic,square,success,21,297.425105,21,21,,,,,,,,,
2d_covering_original,143,2,5,1,42,genetic_greedy,area,success,306,311.678749015,153,2,,,,,,,,,
2d_covering_original,143,2,5,1,42,genetic_stochastic,area,success,302,333.990479566,151,2,,,,,,,,,
2d_covering_original,143,2,5,1,42,genetic_greedy,square,success,21,293.086163,21,21,,,,,,,,,
2d_covering_original,143,2,5,1,42,genetic_stochastic,square,success,21,270.028792,21,21,,,,,,,,,
2d_covering_original,117,2,6,1,42,genetic_greedy,area,success,270,170.565076827,135,2,,,,,,,,,
2d_covering_original,117,2,6,1,42,genetic_stochastic,area,success,268,369.443936935,134,2,,,,,,,,,
2d_covering_original,117,2,6,1,42,genetic_greedy,square,success,20,204.577617,20,20,,,,,,,,,
2d_covering_original,117,2,6,1,42,genetic_stochastic,square,success,20,221.511515,20,20,,,,,,,,,
2d_covering_original,149,2,7,1,42,genetic_greedy,area,success,354,507.692102048,177,2,,,,,,,,,
2d_covering_original,149,2,7,1,42,genetic_stochastic,area,success,352,693.710514597,176,2,,,,,,,,,
2d_covering_original,149,2,7,1,42,genetic_greedy,square,success,23,540.746826,23,23,,,,,,,,,
2d_covering_original,149,2,7,1,42,genetic_stochastic,square,success,22,556.217967,22,22,,,,,,,,,
2d_covering_original,67,3,3,1,42,genetic_greedy,area,success,210,32.019286687,3,70,,,,,,,,,
2d_covering_original,67,3,3,1,42,genetic_stochastic,area,success,196,46.016412711,14,14,,,,,,,,,
2d_covering_original,67,3,3,1,42,genetic_greedy,square,success,14,29.155215,14,14,,,,,,,,,
2d_covering_original,67,3,3,1,42,genetic_stochastic,square,success,14,32.842832,14,14,,,,,,,,,
2d_covering_original,117,3,4,1,42,genetic_greedy,area,success,384,239.735592404,128,3,,,,,,,,,
2d_covering_original,117,3,4,1,42,genetic_stochastic,area,success,378,461.048877212,126,3,,,,,,,,,
2d_covering_original,117,3,4,1,42,genetic_greedy,square,success,19,151.587152,19,19,,,,,,,,,
2d_covering_original,117,3,4,1,42,genetic_stochastic,square,success,20,211.243369,20,20,,,,,,,,,
2d_covering_original,150,3,5,1,42,genetic_greedy,area,success,510,924.870714003,170,3,,,,,,,,,
2d_covering_original,150,3,5,1,42,genetic_stochastic,area,success,507,677.127716007,169,3,,,,,,,,,
2d_covering_original,150,3,5,1,42,genetic_greedy,square,success,22,498.212959,22,22,,,,,,,,,
2d_covering_original,150,3,5,1,42,genetic_stochastic,square,success,24,607.166256,24,23,,,,,,,,,
