scale,tiles,n,m,run,seed,algorithm,objective,runtime,bbox_width,bbox_height,num_tiles,total_crossovers,crossovers_needing_completion,total_tiles_completed,completion_rate,avg_tiles_per_incomplete
large,60,3,3,1,42,greedy,16,2.165303873,15,16,60,,,,,
large,60,3,3,1,42,stochastic_greedy,16,2.086799861,16,16,60,,,,,
large,60,3,3,1,42,genetic_greedy,15,81.834425399,15,15,60,28323,917,43267,0.03237651378738128,47.18320610687023
large,60,3,3,1,42,genetic_stochastic,15,83.822567156,15,15,60,28305,946,47086,0.03342165695106872,49.77378435517971
large,60,3,3,2,142,greedy,15,0.179576861,14,15,60,,,,,
large,60,3,3,2,142,stochastic_greedy,16,2.03454093,16,16,60,,,,,
large,60,3,3,2,142,genetic_greedy,15,111.460261405,15,15,60,28279,1108,57720,0.0391810177163266,52.09386281588448
large,60,3,3,2,142,genetic_stochastic,15,52.02149018,15,15,60,28288,461,22919,0.016296662895927603,49.71583514099783
large,60,3,3,3,242,greedy,16,1.419151079,16,16,60,,,,,
large,60,3,3,3,242,stochastic_greedy,17,1.905176497,17,17,60,,,,,
large,60,3,3,3,242,genetic_greedy,15,63.510575202,15,15,60,28555,430,22336,0.015058658728769042,51.944186046511625
large,60,3,3,3,242,genetic_stochastic,15,89.688034419,15,15,60,28342,912,45022,0.03217839249170842,49.36622807017544
large,60,3,3,4,342,greedy,15,1.900695321,14,15,60,,,,,
large,60,3,3,4,342,stochastic_greedy,16,0.651553233,16,16,60,,,,,
large,60,3,3,4,342,genetic_greedy,15,100.311612649,14,15,60,28301,1372,65722,0.048478852337373236,47.90233236151604
large,60,3,3,4,342,genetic_stochastic,15,86.547145202,15,15,60,28264,1089,52541,0.0385295782621002,48.24701561065197
large,60,3,3,5,442,greedy,15,1.126282,15,15,60,,,,,
large,60,3,3,5,442,stochastic_greedy,16,1.969759069,16,16,60,,,,,
large,60,3,3,5,442,genetic_greedy,15,50.922877021,15,15,60,28301,367,19234,0.01296773965584255,52.40871934604905
