algorithm,tiles,n,m,num_runs,obj_mean,obj_min,obj_max,obj_std,runtime_mean,runtime_min,runtime_max,runtime_std,crossovers_mean,completion_rate_mean,tiles_completed_mean
greedy,60,3,3,20,15.95,15,18,0.6689544080129827,1.53670863585,0.179576861,2.165303873,0.5590586083792536,,,
stochastic_greedy,60,3,3,20,16.6,16,18,0.58309518948453,1.6290843881000001,0.477806756,2.086799861,0.493682720666451,,,
genetic_greedy,60,3,3,20,15.0,15,15,0.0,69.53873819475,45.035050588,111.460261405,16.868318047528042,28351.25,0.02397399775737025,34217.3
genetic_stochastic,60,3,3,20,15.1,15,16,0.3,92.3409708466,52.02149018,166.890016527,26.439341624252375,28355.4,0.06376393088224842,56374.05
greedy,80,3,3,20,17.3,16,18,0.5567764362830022,2.38024678245,0.404390787,4.666323,0.9720403852900009,,,
stochastic_greedy,80,3,3,20,18.2,17,19,0.5099019513592785,2.4244725853,0.034303949,5.785485,1.093849164618026,,,
genetic_greedy,80,3,3,20,16.2,16,17,0.4,163.00094264700002,86.93991205,287.373880922,53.49003814431139,28352.55,0.03426481363479647,62120.8
genetic_stochastic,80,3,3,20,16.8,16,17,0.4,253.12753585069999,160.691776824,378.014344041,65.74677306804887,28337.5,0.07842136274415816,106139.55
greedy,100,3,3,20,18.6,18,20,0.58309518948453,3.38427855,2.431644,3.998172,0.4059500143618023,,,
stochastic_greedy,100,3,3,20,19.55,18,20,0.5894913061275798,3.40063355,2.75379,4.264899,0.4458461309529863,,,
genetic_greedy,100,3,3,20,17.5,17,18,0.5,275.99941935000004,130.085862,447.532559,66.83884589548462,28367.7,0.034804751533714165,79915.9
genetic_stochastic,100,3,3,17,17.941176470588236,17,18,0.23529411764705882,351.7363506470588,184.850279,532.435637,103.73739420662365,28370.352941176472,0.045191723836542366,107810.05882352941
