scale,tiles,n,m,run,seed,algorithm,objective,runtime,bbox_width,bbox_height,num_tiles,total_crossovers,crossovers_needing_completion,total_tiles_completed,completion_rate,avg_tiles_per_incomplete
medium,20,3,3,1,42,greedy,11,0.741029802,11,11,20,,,,,
medium,20,3,3,1,42,stochastic_greedy,11,0.413085338,10,11,20,,,,,
medium,20,3,3,1,42,genetic_greedy,11,16.963178717,11,11,20,12553,2045,23598,0.1629092647175974,11.539364303178484
medium,20,3,3,1,42,genetic_stochastic,10,9.700507526,10,10,20,12669,402,4464,0.0317309969216197,11.104477611940299
medium,20,3,3,2,142,greedy,12,0.735528908,12,12,20,,,,,
medium,20,3,3,2,142,stochastic_greedy,11,0.623497473,11,11,20,,,,,
medium,20,3,3,2,142,genetic_greedy,10,10.102649586,10,10,20,12585,723,8516,0.05744934445768772,11.778699861687414
medium,20,3,3,2,142,genetic_stochastic,10,10.748757408,10,10,20,12602,1051,11059,0.08339946040311062,10.522359657469076
medium,20,3,3,3,242,greedy,12,0.759585113,11,12,20,,,,,
medium,20,3,3,3,242,stochastic_greedy,11,0.87049507,11,11,20,,,,,
medium,20,3,3,3,242,genetic_greedy,11,10.027966379,11,11,20,12583,305,4475,0.024239052690137486,14.672131147540984
medium,20,3,3,3,242,genetic_stochastic,10,9.612562624,10,10,20,12666,691,6165,0.05455550292120638,8.921852387843705
medium,20,3,3,4,342,greedy,11,0.839280859,11,11,20,,,,,
medium,20,3,3,4,342,stochastic_greedy,11,0.774541294,11,11,20,,,,,
medium,20,3,3,4,342,genetic_greedy,10,9.024917482,10,10,20,12547,229,3261,0.018251374830636807,14.240174672489083
medium,20,3,3,4,342,genetic_stochastic,10,10.616611231,10,10,20,12548,883,8663,0.07036978004462863,9.810872027180068
medium,20,3,3,5,442,greedy,12,0.840127395,12,12,20,,,,,
medium,20,3,3,5,442,stochastic_greedy,12,0.823634942,12,11,20,,,,,
medium,20,3,3,5,442,genetic_greedy,11,13.454145228,10,11,20,12542,2772,17518,0.2210173815978313,6.31962481962482
medium,20,3,3,5,442,genetic_stochastic,10,10.724659613,10,10,20,12590,725,8774,0.057585385226370134,12.102068965517242
medium,20,3,3,6,542,greedy,11,0.799760803,11,11,20,,,,,
medium,20,3,3,6,542,stochastic_greedy,12,0.809091224,11,12,20,,,,,
medium,20,3,3,6,542,genetic_greedy,10,7.912750804,10,10,20,12576,66,863,0.005248091603053435,13.075757575757576
medium,20,3,3,6,542,genetic_stochastic,10,9.299076939,10,10,20,12702,352,4298,0.027712171311604472,12.210227272727273
