algorithm,source_height,source_width,optimal_area,tiles,n,m,num_runs,successful_runs,obj_mean,obj_min,obj_max,obj_std,runtime_mean,runtime_min,runtime_max,runtime_std,compression_mean,compression_min,compression_max
simulated_annealing,20,20,400,50,5,5,1,1,24.0,24,24,0,1.007908,1.007908,1.007908,0,16.666666666666668,16.666666666666668,16.666666666666668
simulated_annealing,20,20,400,100,5,5,1,1,20.0,20,20,0,2.919021,2.919021,2.919021,0,20.0,20.0,20.0
simulated_annealing,20,20,400,50,7,7,1,1,20.0,20,20,0,2.529964,2.529964,2.529964,0,20.0,20.0,20.0
simulated_annealing,20,20,400,100,7,7,1,1,20.0,20,20,0,8.182878,8.182878,8.182878,0,20.0,20.0,20.0
simulated_annealing,30,30,900,50,5,5,1,1,32.0,32,32,0,1.054621,1.054621,1.054621,0,28.125,28.125,28.125
simulated_annealing,30,30,900,100,5,5,1,1,41.0,41,41,0,3.228699,3.228699,3.228699,0,21.951219512195124,21.951219512195124,21.951219512195124
simulated_annealing,30,30,900,50,7,7,1,1,39.0,39,39,0,2.669309,2.669309,2.669309,0,23.076923076923077,23.076923076923077,23.076923076923077
simulated_annealing,30,30,900,100,7,7,1,1,38.0,38,38,0,8.317961,8.317961,8.317961,0,23.68421052631579,23.68421052631579,23.68421052631579
simulated_annealing,40,40,1600,50,5,5,1,1,33.0,33,33,0,1.071558,1.071558,1.071558,0,48.484848484848484,48.484848484848484,48.484848484848484
simulated_annealing,40,40,1600,100,5,5,1,1,45.0,45,45,0,3.339412,3.339412,3.339412,0,35.55555555555556,35.55555555555556,35.55555555555556
simulated_annealing,40,40,1600,50,7,7,1,1,47.0,47,47,0,2.799564,2.799564,2.799564,0,34.04255319148936,34.04255319148936,34.04255319148936
simulated_annealing,40,40,1600,100,7,7,1,1,54.0,54,54,0,8.817872,8.817872,8.817872,0,29.62962962962963,29.62962962962963,29.62962962962963
