run,algorithm,seed,objective,runtime,bbox_width,bbox_height,bbox_area
1,Greedy,42,16,2.138265,16,16,256
1,GA (Greedy Init),42,16,49.806501,16,16,256
1,GA (Stochastic Init),42,16,31.628041,16,16,256
2,Greedy,142,16,2.16149,15,16,240
2,GA (Greedy Init),142,15,18.418744,15,15,225
2,GA (Stochastic Init),142,15,11.585086,15,15,225
3,Greedy,242,15,2.214188,15,15,225
3,GA (Greedy Init),242,15,15.314198,15,15,225
3,GA (Stochastic Init),242,15,28.09178,15,15,225
4,Greedy,342,15,2.009884,15,14,210
4,GA (Greedy Init),342,15,24.607162,14,15,210
4,GA (Stochastic Init),342,15,43.918675,15,15,225
5,Greedy,442,16,2.108885,15,16,240
5,GA (Greedy Init),442,16,38.28214,16,16,256
5,GA (Stochastic Init),442,16,52.260741,16,15,240
6,Greedy,542,16,2.222563,16,16,256
6,GA (Greedy Init),542,15,8.904508,15,15,225
6,GA (Stochastic Init),542,15,14.021109,15,15,225
7,Greedy,642,16,1.838863,16,16,256
7,GA (Greedy Init),642,15,42.299212,15,15,225
7,GA (Stochastic Init),642,15,12.162306,15,15,225
8,Greedy,742,15,1.532727,15,15,225
8,GA (Greedy Init),742,15,10.238058,15,15,225
8,GA (Stochastic Init),742,16,30.329029,16,16,256
9,Greedy,842,16,1.787015,16,16,256
9,GA (Greedy Init),842,15,10.758558,15,15,225
9,GA (Stochastic Init),842,16,32.947969,16,16,256
10,Greedy,942,16,1.75586,16,16,256
10,GA (Greedy Init),942,15,11.088029,15,15,225
10,GA (Stochastic Init),942,16,46.585176,16,16,256
