algorithm,tiles,n,m,num_runs,obj_mean,obj_min,obj_max,obj_std,runtime_mean,runtime_min,runtime_max,runtime_std,crossovers_mean,completion_rate_mean,tiles_completed_mean
greedy,20,3,3,30,11.333333333333334,10,12,0.5962847939999438,0.7689083404666667,0.644233326,0.877106918,0.0570203002631824,,,
stochastic_greedy,20,3,3,30,11.566666666666666,11,13,0.5587684871413403,0.7764295915333334,0.413085338,0.886641772,0.10448411244914205,,,
genetic_greedy,20,3,3,30,10.366666666666667,10,11,0.4818944098266987,10.242853481333333,7.912750804,16.963178717,1.9319786724961017,12591.933333333332,0.09961954026073426,7779.733333333334
genetic_stochastic,20,3,3,30,10.2,10,11,0.4,10.494705437433334,8.965370578,13.725611995,1.2657651374788665,12606.266666666666,0.09903531185882071,9506.033333333333
greedy,30,3,3,30,12.8,12,14,0.4760952285695233,0.9823820142666667,0.115744296,1.237506828,0.2216719901870301,,,
stochastic_greedy,30,3,3,30,13.433333333333334,13,14,0.49553562491061687,0.9861845137333333,0.247822139,1.194339027,0.2426723641465429,,,
genetic_greedy,30,3,3,30,11.933333333333334,11,12,0.2494438257849294,12.400105422933333,8.040561844,19.479209668,2.7762494570055662,12584.233333333334,0.05161236749418028,8848.7
genetic_stochastic,30,3,3,30,11.966666666666667,11,12,0.17950549357115014,15.679039341966668,10.683154734,29.906733119,3.786045851085206,12598.733333333334,0.07825822572005194,15436.6
greedy,50,3,3,30,15.366666666666667,14,16,0.5467073155618908,1.3377764605666667,0.178021202,2.094698455,0.5660338441819229,,,
stochastic_greedy,50,3,3,30,15.666666666666666,15,17,0.5962847939999438,1.6179028928,0.386431016,2.042984549,0.36136655101180115,,,
genetic_greedy,50,3,3,30,14.2,14,15,0.4,35.66103370566667,19.50640672,52.299853337,9.589338701275222,12606.733333333334,0.050457895777754176,23154.6
genetic_stochastic,50,3,3,30,14.3,14,15,0.458257569495584,58.25726672656666,25.103206336,188.41089104,39.94619903525349,12601.0,0.09095925249039444,41927.2
