algorithm,tiles,n,m,num_runs,obj_mean,obj_min,obj_max,obj_std,runtime_mean,runtime_min,runtime_max,runtime_std,crossovers_mean,completion_rate_mean,tiles_completed_mean
greedy,6,3,3,30,7.466666666666667,6,9,0.669991708074726,0.27696216766666665,0.151606289,0.344608424,0.04157453508717005,,,
stochastic_greedy,6,3,3,30,7.4,6,8,0.5537749241945383,0.2879936716666667,0.225092107,0.345193722,0.032307233901003464,,,
genetic_greedy,6,3,3,30,6.966666666666667,6,8,0.3144660377352201,3.918600526,3.586391384,4.249615268,0.18648555696939048,3152.133333333333,0.08110739458714425,483.92857142857144
genetic_stochastic,6,3,3,30,6.833333333333333,6,7,0.37267799624996495,3.8602151209,3.287509627,4.293901876,0.20502401992701993,3151.6666666666665,0.11988175146920606,686.0333333333333
cplex,6,3,3,30,6.733333333333333,6,7,0.4422166387140533,2.3205396131000002,1.948902032,2.766819893,0.22718943622063908,,,
greedy,8,3,3,30,8.266666666666667,7,9,0.6289320754704403,0.34625261243333333,0.218592984,0.416878885,0.042912057482818,,,
stochastic_greedy,8,3,3,30,8.466666666666667,8,10,0.5617433182117573,0.3796219778666667,0.249962722,0.494436203,0.04508012421473383,,,
genetic_greedy,8,3,3,30,7.766666666666667,7,8,0.4229525846816507,4.007846366833333,3.682680279,4.346073956,0.15947379546478882,3147.1,0.11719440443275768,1056.4333333333334
genetic_stochastic,8,3,3,30,7.5,7,8,0.5,3.999367926966667,3.447592442,4.394148723,0.22223696071020366,3152.4,0.12713430119806346,1051.4666666666667
cplex,8,3,3,30,7.233333333333333,7,8,0.4229525846816507,12.1313496368,10.711324546,13.79068525,0.7195372513868361,,,
greedy,10,3,3,30,9.0,8,10,0.3651483716701107,0.43599412586666664,0.339701929,0.503426233,0.041813332195840866,,,
stochastic_greedy,10,3,3,30,9.1,8,10,0.5972157622389639,0.43644361686666666,0.358489718,0.559905745,0.04599790264133446,,,
genetic_greedy,10,3,3,30,8.166666666666666,8,9,0.37267799624996495,3.7979147667666666,3.430706257,4.330762261,0.24569488763107156,3157.5333333333333,0.0778423280090902,793.4333333333333
genetic_stochastic,10,3,3,30,8.133333333333333,8,9,0.339934634239519,3.8895227631,3.124744966,4.767954986,0.33251687097186533,3148.0333333333333,0.13701787779343289,1467.0333333333333
cplex,10,3,3,30,8.0,8,8,0.0,43.87652671036667,35.680910421,53.462636821,4.521253192293186,,,
